Compound,A,B,C
2378-TCDD,-203.46,22516.33,26.73
12378-PCDD,-191.20,22179.74,24.96
123478-HxCDD,-185.37,22208.21,24.10
123678-HxCDD,-175.93,21606.29,22.78
123789-HxCDD,-165.54,20805.34,21.38
1234678-HPCDD,-42.07,11783.85,4.47
?CDD,380.38,-20211.33,-53.18
2378-TCDF,-199.61,22183.86,26.21
2378-PCDF,-181.58,21214.34,23.70
23478-PCDF,-176.53,21075.33,22.96
123478-HxCDF,-175.41,21241.59,22.79
123678-HxCDF,-165.18,20557.24,21.37
234678-HxCDF,-165.87,20801.51,21.43
123789-HxCDF,-163.69,20604.55,21.17
1234678-HpCDF,-164.08,20881.10,21.16
1234789-HpCDF,94.51,1308.00,-14.12
?CDF,463.94,-26635.14,-64.56
