Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHchar,DeltaSchar,DeltaHref,DeltaSref,Tref,beta0,lambertw_x,Cat_1
2378-TCDD,-203.46,22516.0,26.73,303.23,46.727,222.25,-59113.0,-56.651,-106500.0,-159.32,90.0,250.0,-0.33891,PCDD
12378-PCDD,-191.2,22180.0,24.96,322.52,48.528,207.53,-60793.0,-56.15,-109050.0,-158.85,90.0,250.0,-0.33561,PCDD
123478-HxCDD,-185.37,22208.0,24.1,340.86,50.873,200.38,-61615.0,-54.442,-111880.0,-159.68,90.0,250.0,-0.33461,PCDD
123678-HxCDD,-175.93,21606.0,22.78,340.13,49.257,189.4,-63487.0,-57.613,-110860.0,-156.86,90.0,250.0,-0.32939,PCDD
123789-HxCDD,-165.54,20805.0,21.38,344.97,50.341,177.76,-63106.0,-56.184,-108430.0,-150.73,90.0,250.0,-0.32612,PCDD
1234678-HPCDD,-42.07,11784.0,4.47,353.57,43.727,37.166,-74684.0,-73.258,-84480.0,-93.539,90.0,250.0,-0.062677,PCDD
?CDD,380.38,-20211.0,-53.18,-26.511,-8.5736,-442.16,58992.0,285.09,7474.8,114.02,90.0,250.0,-0.33004,PCDD
2378-TCDF,-199.61,22184.0,26.21,301.72,46.438,217.92,-59170.0,-57.02,-105310.0,-157.12,90.0,250.0,-0.33774,PCDF
12378-PCDF,-181.58,21214.0,23.7,319.96,49.148,197.05,-59512.0,-54.43,-104830.0,-151.1,90.0,250.0,-0.33366,PCDF
23478-PCDF,-176.53,21075.0,22.96,324.29,48.508,190.9,-61179.0,-56.495,-105900.0,-151.53,90.0,250.0,-0.33056,PCDF
123478-HxCDF,-175.41,21242.0,22.79,339.59,51.592,189.49,-60507.0,-52.84,-107800.0,-151.96,90.0,250.0,-0.33231,PCDF
123678-HxCDF,-165.18,20557.0,21.37,339.57,50.303,177.68,-62054.0,-55.368,-106400.0,-148.31,90.0,250.0,-0.32663,PCDF
234678-HxCDF,-165.87,20802.0,21.43,344.22,50.342,178.18,-62950.0,-56.057,-108250.0,-150.61,90.0,250.0,-0.32636,PCDF
123789-HxCDF,-163.69,20605.0,21.17,354.15,53.722,176.02,-60901.0,-51.177,-107400.0,-147.39,90.0,250.0,-0.3288,PCDF
1234678-HpCDF,-164.08,20881.0,21.16,353.45,51.509,175.93,-63376.0,-55.235,-109720.0,-151.2,90.0,250.0,-0.32605,PCDF
1234789-HpCDF,94.51,1308.0,-14.12,358.84,39.037,-117.4,-85072.0,-88.7,-53509.0,-23.653,90.0,250.0,0.16971,PCDF
?CDF,463.94,-26635.0,-64.56,11.484,-9.8093,-536.78,68671.0,287.17,26525.0,156.4,90.0,250.0,-0.34018,PCDF
