Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
2-chloroaniline,-7.6302,53.987,5349.8,3120.0,-0.014078,7.7102,131.04,0.36284,30.504,0.85725,-0.11705,64.106,-44528.0,1253.9,-64.26,3.0976,-44524.0,2914.2,-64.248,7.5297,90.0,250.0,0.99984,0.00029802,0.00029802,4
1-methylnaphthalene,2.076,21.908,5103.5,1341.1,-1.3762,3.0988,159.4,0.16605,32.831,0.24738,-11.442,25.765,-47383.0,358.86,-63.634,0.82644,-46588.0,1823.7,-61.633,4.581,90.0,250.0,0.99998,4.8139e-5,4.8139e-5,4
propiophenone,36.273,36.352,2958.8,2123.2,-6.3142,5.1822,136.27,0.25396,30.235,0.43195,-52.5,43.087,-46095.0,661.02,-66.68,1.61,-43666.0,2099.9,-60.384,5.4115,90.0,250.0,0.99993,0.00013463,0.00013463,4
2-naphthol,-78.719,10.053,10758.0,654.63,9.9367,1.4086,189.3,0.17175,34.7,0.36412,82.618,11.712,-51243.0,539.06,-64.9,1.1635,-59447.0,1282.3,-84.87,3.0612,90.0,250.0,1.0,9.9466e-6,9.9466e-6,4
2-methylanthracene,-121.41,20.319,14227.0,1505.6,15.922,2.7994,246.77,2.4941,45.441,2.8485,132.38,23.275,-49462.0,3136.7,-49.225,5.9809,-70216.0,4855.5,-96.733,10.321,90.0,250.0,0.99999,3.9286e-5,3.9286e-5,4
"2,3,5-trichlorophenol",-67.653,7.5619,9392.9,467.05,8.4999,1.0681,163.77,0.055135,33.614,0.11108,70.672,8.8805,-47219.0,156.49,-62.164,0.3574,-52433.0,673.63,-75.234,1.6809,90.0,250.0,1.0,5.719e-6,5.719e-6,4
1-decanol,13.083,43.1,4816.0,2592.5,-3.1278,6.1138,150.79,0.31918,29.262,0.26621,-26.006,50.833,-51068.0,470.91,-74.552,1.0996,-49487.0,3125.6,-70.526,7.9439,90.0,250.0,0.99992,0.00018739,0.00018739,4
4-methoxy-1-naphthaldehyde,-121.71,20.244,14227.0,1454.3,15.922,2.7994,233.74,1.7626,41.736,2.1059,132.38,23.275,-51187.0,2607.3,-55.074,5.1075,-70216.0,4267.5,-99.222,9.3204,90.0,250.0,0.99999,3.9286e-5,3.9286e-5,4
3-phenoxyphenol,-80.838,5.2205,11877.0,357.71,10.011,0.7262,213.24,0.21842,33.759,0.2692,83.239,6.038,-58267.0,467.58,-73.887,0.95679,-68526.0,880.11,-98.209,2.0084,90.0,250.0,1.0,2.6438e-6,2.6438e-6,4
methyl 2-naphthoate,-519.53,185.95,38229.0,14504.0,72.186,25.697,228.94,44.157,126.99,358.44,600.19,213.65,-16505.0,46677.0,13.035,92.829,-99896.0,62580.0,-181.41,128.45,90.0,250.0,0.99914,0.0033103,0.0033103,4
"biphenyl-2,5-diol",-75.758,724.87,8504.9,66773.0,10.482,97.911,318.24,747.96,151.66,1993.4,87.149,814.08,-19174.0,256660.0,13.485,428.15,-39065.0,333120.0,-29.013,601.75,90.0,250.0,0.95639,0.048059,0.048059,4
2-methoxy-1-naphthaldehyde,-49.439,23.334,9896.6,1644.0,5.6565,3.2337,226.34,1.4507,35.283,1.5097,47.031,26.886,-58793.0,2538.8,-71.799,5.0482,-65206.0,4464.8,-86.791,9.9525,90.0,250.0,0.99999,5.2421e-5,5.2421e-5,4
1-naphthalen-1-yl acetate,-38.581,40.855,8531.2,2704.5,4.2197,5.7103,197.25,0.97379,33.802,1.6183,35.085,47.478,-54429.0,2615.6,-69.799,5.5448,-58191.0,5725.9,-78.878,13.481,90.0,250.0,0.99994,0.00016347,0.00016347,4
methyl 1-naphthoate,-34.447,8.0249,8367.3,538.7,3.6365,1.1194,203.88,0.25081,34.308,0.36507,30.236,9.3074,-55146.0,589.67,-69.697,1.2316,-58589.0,1213.3,-77.943,2.822,90.0,250.0,1.0,6.2821e-6,6.2821e-6,4
4-phenoxyphenol,-84.764,38.231,12041.0,2623.6,10.595,5.3171,213.9,1.6657,34.473,2.0802,88.088,44.209,-57214.0,3474.6,-71.562,7.0999,-68128.0,6497.0,-97.42,14.804,90.0,250.0,0.99996,0.00014173,0.00014173,4
1-(2-hydroxynaphthalen-1-yl)ethanone,-43.382,140.35,8817.9,9721.0,4.9966,19.493,218.48,7.6802,37.996,9.6262,41.544,162.08,-52891.0,13502.0,-61.675,27.308,-58229.0,24841.0,-74.259,56.202,90.0,250.0,0.99933,0.001905,0.001905,4
naphthalen-2-yl acetate,4.2745,39.756,6058.7,2637.3,-1.8847,5.5549,198.37,0.93908,32.002,1.4135,-15.671,46.186,-57763.0,2561.7,-76.598,5.4164,-56065.0,5621.9,-72.506,13.221,90.0,250.0,0.99995,0.00015469,0.00015469,4
1-(1-hydroxynaphthalen-2-yl)ethanone,-31.65,41.139,8326.1,2824.6,3.247,5.7206,214.52,1.8681,35.272,2.2946,26.997,47.564,-56061.0,3672.2,-69.048,7.4913,-59423.0,6972.1,-77.008,15.902,90.0,250.0,0.99995,0.00016406,0.00016406,4
2-phenoxyphenol,-41.172,7.9267,8572.4,520.75,4.6092,1.1092,193.61,0.16206,33.929,0.29591,38.323,9.222,-53388.0,467.09,-68.472,0.99835,-57358.0,1063.7,-78.091,2.521,90.0,250.0,1.0,6.1674e-6,6.1674e-6,4
