Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
1-methylnaphthalene,-17.873,Inf,6366.7,Inf,1.4133,Inf,156.28,Inf,32.017,Inf,11.751,Inf,-47889.0,Inf,-65.61,Inf,-48668.0,Inf,-67.58,Inf,90.0,250.0,1.0,1.6363e-21,Inf,3
2-naphthol,-41.379,7.9099,8572.4,512.2,4.6092,1.1092,186.7,0.11204,32.769,0.23786,38.323,9.222,-53652.0,390.32,-70.767,0.84737,-57358.0,973.54,-79.814,2.3363,90.0,250.0,1.0,6.1674e-6,6.1674e-6,4
2-methylanthracene,-49.14,23.406,9896.6,1688.8,5.6565,3.2337,237.18,1.9506,37.152,1.8699,47.031,26.886,-58284.0,2967.1,-68.3,5.7648,-65206.0,4955.0,-84.302,10.821,90.0,250.0,0.99999,5.2421e-5,5.2421e-5,4
"2,3,5-trichlorophenol",3.1698,75.682,5185.1,4661.6,-1.5719,10.694,162.43,0.54009,32.323,0.96688,-13.07,88.918,-48804.0,1464.9,-66.136,3.3544,-47857.0,6604.7,-63.759,16.515,90.0,250.0,0.99973,0.00057336,0.00057336,4
1-decanol,-77.771,Inf,10124.0,Inf,9.809,Inf,148.65,Inf,29.719,Inf,81.556,Inf,-49775.0,Inf,-72.098,Inf,-54559.0,Inf,-84.308,Inf,90.0,250.0,1.0,4.7735e-24,Inf,3
4-methoxy-1-naphthaldehyde,-124.23,13.028,14268.0,934.77,16.312,1.8018,233.12,1.1434,42.645,1.412,135.62,14.981,-49973.0,1669.9,-52.799,3.2758,-69383.0,2734.9,-97.86,5.978,90.0,250.0,1.0,1.6275e-5,1.6275e-5,4
3-phenoxyphenol,-118.29,12.879,14063.0,883.08,15.339,1.7915,213.24,0.57195,35.831,0.76619,127.53,14.896,-54897.0,1180.9,-66.957,2.4171,-70614.0,2188.3,-104.22,4.9848,90.0,250.0,1.0,1.609e-5,1.609e-5,4
methyl 2-naphthoate,-102.84,28.018,12534.0,1890.8,13.319,3.9058,206.0,1.0264,37.316,1.6177,110.74,32.474,-51153.0,2228.3,-60.85,4.6337,-63998.0,4383.8,-91.546,10.132,90.0,250.0,0.99997,7.6476e-5,7.6476e-5,4
"biphenyl-2,5-diol",-146.37,2.1832,16003.0,155.73,19.304,0.30218,230.32,0.17031,40.34,0.20791,160.5,2.5124,-52246.0,271.58,-57.863,0.53599,-74768.0,448.03,-110.3,0.98378,90.0,250.0,1.0,4.5776e-7,4.5776e-7,4
2-methoxy-1-naphthaldehyde,-121.85,20.211,14227.0,1433.1,15.922,2.7994,228.08,1.4929,40.22,1.8348,132.38,23.275,-51936.0,2389.4,-57.709,4.737,-70216.0,4024.9,-100.37,8.8936,90.0,250.0,0.99999,3.9286e-5,3.9286e-5,4
1-naphthalen-1-yl acetate,-72.133,9.998,10553.0,659.12,8.964,1.3983,195.19,0.22297,34.515,0.40314,74.531,11.626,-52838.0,619.21,-66.912,1.3189,-60678.0,1371.5,-85.871,3.239,90.0,250.0,1.0,9.8021e-6,9.8021e-6,4
methyl 1-naphthoate,-39.789,Inf,8685.7,Inf,4.3836,Inf,201.59,Inf,34.125,Inf,36.447,Inf,-54914.0,Inf,-69.762,Inf,-58981.0,Inf,-79.529,Inf,90.0,250.0,1.0,1.9337999999999998e-28,Inf,3
4-phenoxyphenol,-155.68,31.003,16249.0,2140.4,20.666,4.3093,215.91,1.6178,38.941,2.3236,171.83,35.829,-51068.0,3065.9,-58.514,6.2403,-72703.0,5478.6,-109.66,12.386,90.0,250.0,0.99997,9.3093e-5,9.3093e-5,4
naphthalen-2-yl acetate,-72.041,10.008,10553.0,664.26,8.964,1.3983,198.4,0.25997,35.148,0.44416,74.531,11.626,-52599.0,667.21,-65.638,1.4109,-60678.0,1426.9,-85.106,3.3496,90.0,250.0,1.0,9.8021e-6,9.8021e-6,4
1-(1-hydroxynaphthalen-2-yl)ethanone,-39.525,107.19,8653.9,7370.2,4.4134,14.902,215.13,5.152,36.685,6.5534,36.695,123.91,-54035.0,9720.0,-64.758,19.804,-58627.0,18312.0,-75.622,41.701,90.0,250.0,0.99962,0.0011133,0.0011133,4
2-phenoxyphenol,-78.627,10.063,10758.0,659.74,9.9367,1.4086,192.53,0.20422,35.37,0.40567,82.618,11.712,-50976.0,586.38,-63.559,1.2565,-59447.0,1336.9,-84.104,3.1726,90.0,250.0,1.0,9.9466e-6,9.9466e-6,4
