Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
2-chloroaniline,-75.018,42.827,10594.0,2791.8,9.3535,5.9995,189.84,0.74098,34.223,1.5242,77.769,49.882,-52080.0,2325.5,-68.643,5.013,-59845.0,5498.6,-87.533,13.115,90.0,195.0,0.99994,0.00018044,0.00018044,4
1-methylnaphthalene,-135.72,28.209,13560.0,1822.1,18.182,3.9571,185.36,0.45817,40.252,1.284,151.18,32.901,-43425.0,1387.9,-50.867,3.0226,-57841.0,3433.2,-86.116,8.2485,90.0,195.0,0.99996,7.85e-5,7.85e-5,4
propiophenone,-176.09,78.482,15787.0,4872.9,23.899,11.076,166.33,0.60789,36.557,1.5382,198.71,92.091,-43928.0,1852.4,-56.112,4.208,-59096.0,7272.6,-94.023,18.071,90.0,195.0,0.9997,0.00061501,0.00061501,4
2-naphthol,-159.87,Inf,18528.0,Inf,20.91,Inf,299.49,Inf,50.029,Inf,173.85,Inf,-54497.0,Inf,-51.326,Inf,-90916.0,Inf,-130.5,Inf,90.0,195.0,1.0,1.4987999999999998e-29,Inf,3
2-methylanthracene,-94.789,20.843,13407.0,1699.5,12.031,2.8404,287.43,4.8311,47.169,4.0243,100.03,23.617,-55392.0,4821.5,-54.971,8.4735,-75142.0,6792.8,-98.401,13.384,90.0,195.0,0.99999,4.0447e-5,4.0447e-5,4
"2,3,5-trichlorophenol",-152.82,51.006,17286.0,3778.3,19.962,7.0279,246.39,5.3404,39.036,5.3023,165.97,58.433,-57492.0,7898.3,-66.818,15.074,-83449.0,12197.0,-126.26,25.922,90.0,195.0,0.99995,0.00024761,0.00024761,4
1-decanol,-127.35,4.6378,13313.0,288.55,16.82,0.65432,167.33,0.032178,32.861,0.076706,139.85,5.4403,-49091.0,114.81,-67.607,0.26028,-59906.0,436.19,-94.605,1.0822,90.0,195.0,1.0,2.1463e-6,2.1463e-6,4
4-methoxy-1-naphthaldehyde,-186.32,Inf,19391.0,Inf,24.898,Inf,326.26,Inf,80.435,Inf,207.01,Inf,-37140.0,Inf,-18.118,Inf,-86049.0,Inf,-121.86,Inf,90.0,195.0,1.0,1.5722000000000001e-27,Inf,3
methyl-2-naphthoate,-111.06,12.954,13858.0,975.18,14.366,1.7813,253.89,1.7507,44.184,1.7941,119.45,14.81,-52270.0,2150.7,-55.334,4.0406,-71846.0,3272.0,-99.823,6.8683,90.0,195.0,1.0,1.5906e-5,1.5906e-5,4
2-methoxy-1-naphthaldehyde,-179.84,Inf,19175.0,Inf,23.901,Inf,308.7,Inf,64.258,Inf,198.72,Inf,-43805.0,Inf,-31.444,Inf,-87266.0,Inf,-125.12,Inf,90.0,195.0,1.0,1.818e-21,Inf,3
1-naphthalen-1-yl acetate,-107.25,46.257,13694.0,3426.3,13.783,6.3722,247.32,5.2429,41.544,5.3247,114.6,52.981,-54215.0,7034.0,-60.323,13.392,-72244.0,10983.0,-101.57,23.382,90.0,195.0,0.99995,0.00020356,0.00020356,4
methyl-1-naphthoate,-42.71,23.531,9691.5,1726.2,4.6838,3.2439,244.85,2.266,36.933,1.973,38.944,26.972,-60406.0,3269.9,-72.772,6.2504,-66437.0,5313.9,-86.603,11.447,90.0,195.0,0.99999,5.2754e-5,5.2754e-5,4
1-(2-hydroxynaphthalen-1-yl)ethanone,-91.07,12.805,13243.0,1012.9,11.448,1.7504,275.62,2.3447,43.267,1.9233,95.185,14.554,-57871.0,2619.6,-61.614,4.7094,-75540.0,3798.9,-100.91,7.6692,90.0,195.0,1.0,1.5361e-5,1.5361e-5,4
naphthalen-2-yl acetate,-108.63,20.486,13817.0,1527.5,13.977,2.8199,250.07,2.4707,42.091,2.4814,116.21,23.446,-54077.0,3228.6,-59.512,6.1124,-72679.0,4988.5,-101.95,10.56,90.0,195.0,0.99999,3.9864e-5,3.9864e-5,4
1-(1-hydroxynaphthalen-2-yl)ethanone,-73.257,5.3716,11672.0,413.37,9.0387,0.73647,264.82,0.82971,42.499,0.71413,75.152,6.1234,-56619.0,967.29,-61.405,1.7759,-69757.0,1451.6,-90.938,2.9993,90.0,195.0,1.0,2.7191e-6,2.7191e-6,4
2- phenoxyphenol,-151.07,15.761,17163.0,1204.0,19.768,2.1642,258.73,2.2195,42.549,2.1672,164.36,17.994,-55280.0,2853.1,-60.091,5.3114,-83013.0,4222.4,-122.81,8.7422,90.0,195.0,1.0,2.3481e-5,2.3481e-5,4
