Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
2-Chloroaniline,-21.77,22.352,5924.0,1430.1,2.5145,3.1399,180.92,0.30816,43.112,1.0048,20.906,26.106,-39762.0,928.32,-32.19,2.0419,-41663.0,2548.7,-36.861,6.1801,90.0,781.0,0.99997,4.9424e-5,4.9424e-5,4
1-Methylnaphthalene,0.94673,10.754,5267.5,750.08,-0.79301,1.4921,222.16,0.74016,43.343,0.97289,-6.5935,12.406,-47062.0,1065.7,-39.636,2.1374,-46190.0,1955.2,-37.589,4.4037,90.0,781.0,0.99999,1.1161e-5,1.1161e-5,4
Propiophenone,26.082,37.087,3369.1,2393.9,-4.3689,5.2028,185.24,0.58185,39.116,1.5062,-36.325,43.258,-44663.0,1723.5,-42.055,3.7538,-41204.0,4465.5,-33.595,10.751,90.0,781.0,0.99992,0.0001357,0.0001357,4
2-Naphthol,-55.588,41.21,9146.6,3035.0,7.1377,5.6795,245.82,5.4136,49.488,6.4305,59.346,47.222,-45250.0,5955.2,-31.813,11.366,-54497.0,9503.5,-53.001,20.37,90.0,781.0,0.99993,0.00016171,0.00016171,4
"2,3,5-Trichlorophenol",-33.964,25.791,7412.1,1811.6,4.145,3.5755,224.95,2.0386,46.397,2.8404,34.464,29.729,-44462.0,2746.1,-33.882,5.4766,-49113.0,4867.6,-44.773,10.88,90.0,781.0,0.99997,6.4091e-5,6.4091e-5,4
1-Decanol,-65.593,7.6434,9392.9,506.94,8.4999,1.0681,198.01,0.22914,41.201,0.46435,70.672,8.8805,-44799.0,506.78,-39.703,1.0726,-52433.0,1085.6,-58.105,2.5499,90.0,781.0,1.0,5.719e-6,5.719e-6,4
4-Methoxy-1-Naphthaldehyde,-49.21,10.049,9937.8,825.32,6.046,1.3675,293.37,2.6089,49.281,2.0755,50.269,11.37,-54149.0,2334.4,-40.202,4.0495,-64372.0,3308.2,-62.557,6.4978,90.0,781.0,1.0,9.3749e-6,9.3749e-6,4
3-Phenoxyphenol,-97.661,5.0871,12493.0,404.19,12.929,0.6954,275.49,1.1981,55.751,1.3175,107.5,5.7819,-44891.0,1078.9,-26.443,1.9419,-64832.0,1543.1,-70.801,3.0987,90.0,781.0,1.0,2.4243e-6,2.4243e-6,4
Methyl 2-Naphthoate,-48.005,Inf,9404.1,Inf,5.925,Inf,268.11,Inf,47.275,Inf,49.263,Inf,-51526.0,Inf,-39.816,Inf,-60300.0,Inf,-59.477,Inf,90.0,781.0,1.0,1.7237e-28,Inf,3
"Biphenyl-2,5-diol",-90.845,5.1853,12288.0,429.57,11.957,0.70567,292.44,1.5645,57.897,1.5827,99.413,5.8672,-45938.0,1281.3,-25.843,2.2317,-66063.0,1776.4,-69.888,3.455,90.0,781.0,1.0,2.4964e-6,2.4964e-6,4
2-Methoxy-1-Naphthaldehyde,-28.996,Inf,8750.5,Inf,3.1524,Inf,283.18,Inf,44.236,Inf,26.21,Inf,-58174.0,Inf,-49.189,Inf,-63238.0,Inf,-60.368,Inf,90.0,781.0,1.0,1.7355000000000002e-29,Inf,3
1-Naphthalen-1-yl Acetate,-75.922,10.259,10758.0,780.91,9.9367,1.4086,259.3,1.7766,51.852,1.9982,82.618,11.712,-45460.0,1778.0,-29.999,3.3026,-59447.0,2683.9,-61.615,5.588,90.0,781.0,1.0,9.9466e-6,9.9466e-6,4
Methyl 1-Naphthoate,-70.649,56.938,10676.0,4451.2,9.1577,7.7938,270.83,11.729,51.968,11.946,76.142,64.801,-47345.0,11073.0,-31.654,20.095,-61114.0,16260.0,-62.423,33.142,90.0,781.0,0.9999,0.00030451,0.00030451,4
4-Phenoxyphenol,-62.704,10.14,10348.0,790.98,7.9913,1.388,270.58,1.9724,49.249,1.8806,66.444,11.541,-49911.0,1940.0,-36.416,3.5211,-61909.0,2866.8,-63.234,5.8579,90.0,781.0,1.0,9.6586e-6,9.6586e-6,4
1-(2-hydroxynaphthalen-1-yl)ethanone,-66.4,23.488,10512.0,1900.0,8.5745,3.2029,285.2,6.1187,54.461,5.8675,71.293,26.63,-47595.0,5232.9,-29.864,9.2313,-61511.0,7450.1,-60.531,14.782,90.0,781.0,0.99998,5.1427e-5,5.1427e-5,4
Naphthalen-2-yl Acetate,-54.766,Inf,9612.8,Inf,6.9062,Inf,258.38,Inf,47.547,Inf,57.421,Inf,-49404.0,Inf,-37.569,Inf,-59073.0,Inf,-59.443,Inf,90.0,781.0,1.0,8.4369e-28,Inf,3
1-(1-hydroxynaphthalen-2-yl)ethanone,-62.382,10.184,10348.0,826.81,7.9913,1.388,287.11,2.6659,53.468,2.459,66.444,11.541,-48812.0,2292.5,-31.745,4.0282,-61909.0,3259.8,-60.554,6.452,90.0,781.0,1.0,9.6586e-6,9.6586e-6,4
2-Phenoxyphenol,-61.412,Inf,9821.5,Inf,7.8873,Inf,253.64,Inf,48.973,Inf,65.579,Inf,-47114.0,Inf,-34.057,Inf,-57845.0,Inf,-58.452,Inf,90.0,781.0,1.0,9.3727e-29,Inf,3
