Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
2-chloroaniline,-111.02,4.9103,12903.0,371.99,14.875,0.67486,255.45,0.85438,55.437,1.1153,123.68,5.6111,-41907.0,853.92,-23.901,1.6001,-62369.0,1277.0,-70.33,2.6625,90.0,781.0,1.0,2.2832e-6,2.2832e-6,4
1-methylnaphthalene,-95.496,10.466,11374.0,787.94,12.855,1.4394,253.16,1.9008,60.111,2.7245,106.88,11.968,-38314.0,1758.5,-17.419,3.3099,-55753.0,2656.8,-57.079,5.5704,90.0,781.0,1.0,1.0386e-5,1.0386e-5,4
propiophenone,-64.995,7.7037,9392.9,541.3,8.4999,1.0681,224.62,0.62473,48.0,0.93054,70.672,8.8805,-42919.0,838.98,-30.843,1.675,-52433.0,1464.4,-53.127,3.2671,90.0,781.0,1.0,5.719e-6,5.719e-6,4
"2,3,5-trichlorophenol",-118.41,Inf,15045.0,Inf,15.597,Inf,313.21,Inf,58.282,Inf,129.68,Inf,-49049.0,Inf,-28.27,Inf,-77995.0,Inf,-90.403,Inf,90.0,781.0,1.0,9.1626e-22,Inf,3
1-decanol,-76.889,10.132,10758.0,697.23,9.9367,1.4086,215.14,0.53602,40.367,0.77147,82.618,11.712,-49108.0,944.7,-45.193,1.9253,-59447.0,1746.9,-69.655,3.9698,90.0,781.0,1.0,9.9466e-6,9.9466e-6,4
methyl-2-naphthoate,-138.09,Inf,15692.0,Inf,18.588,Inf,354.19,Inf,97.641,Inf,154.55,Inf,-33513.0,Inf,1.9587,Inf,-74344.0,Inf,-82.53,Inf,90.0,781.0,1.0,1.6422e-25,Inf,3
1-naphthalen-1-yl acetate,-58.577,Inf,10914.0,Inf,7.2931,Inf,306.16,Inf,50.172,Inf,60.638,Inf,-55616.0,Inf,-40.625,Inf,-68724.0,Inf,-68.945,Inf,90.0,781.0,1.0,5.7587e-29,Inf,3
methyl-1-naphthoate,-138.16,Inf,15692.0,Inf,18.588,Inf,347.62,Inf,92.792,Inf,154.55,Inf,-34529.0,Inf,-0.2438,Inf,-74344.0,Inf,-83.104,Inf,90.0,781.0,1.0,6.322499999999999e-26,Inf,3
1-(2-hydroxynaphthalen-1-yl)ethanone,-117.61,Inf,15045.0,Inf,15.597,Inf,368.54,Inf,81.759,Inf,129.68,Inf,-41874.0,Inf,-9.8769,Inf,-77995.0,Inf,-83.702,Inf,90.0,781.0,1.0,7.108000000000001e-25,Inf,3
naphthalen-2-yl acetate,-131.56,Inf,15476.0,Inf,17.591,Inf,334.52,Inf,77.146,Inf,146.26,Inf,-39797.0,Inf,-10.113,Inf,-75561.0,Inf,-85.41,Inf,90.0,781.0,1.0,1.3665e-27,Inf,3
1-(1-hydroxynaphthalen-2-yl)ethanone,-58.093,Inf,10914.0,Inf,7.2931,Inf,331.85,Inf,56.297,Inf,60.638,Inf,-54058.0,Inf,-33.973,Inf,-68724.0,Inf,-64.924,Inf,90.0,781.0,1.0,1.8459e-28,Inf,3
2- phenoxyphenol,-104.89,Inf,14613.0,Inf,13.603,Inf,316.92,Inf,52.861,Inf,113.1,Inf,-54764.0,Inf,-37.431,Inf,-80429.0,Inf,-92.333,Inf,90.0,781.0,1.0,5.1276e-29,Inf,3
