Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
2-chloroaniline,32.554,4.1564,3122.8,245.66,-5.731,0.59133,142.13,0.032307,31.34,0.037757,-47.651,4.9166,-45752.0,55.578,-64.265,0.13301,-43268.0,262.22,-57.873,0.67273,90.0,250.0,1.0,1.7529e-6,1.7529e-6,4
1-methylnaphthalene,7.2572,43.269,5021.1,2694.6,-2.1551,6.1035,167.81,0.2974,32.563,0.7147,-17.919,50.748,-49650.0,1091.8,-66.686,2.4724,-48255.0,4096.8,-63.207,10.158,90.0,250.0,0.99992,0.00018676,0.00018676,4
propiophenone,4.068,10.57,5062.3,628.2,-1.7657,1.5024,144.87,0.08053,30.125,0.077258,-14.681,12.491,-48227.0,125.07,-69.464,0.29671,-47422.0,696.66,-67.398,1.7825,90.0,250.0,0.99999,1.1315e-5,1.1315e-5,4
2-naphthol,-65.34,9.963,10348.0,674.99,7.9913,1.388,208.05,0.37332,35.609,0.52857,66.444,11.541,-54066.0,806.9,-66.448,1.67,-61909.0,1584.9,-85.15,3.6541,90.0,250.0,1.0,9.6586e-6,9.6586e-6,4
2-methylanthracene,-54.178,Inf,10698.0,Inf,6.2961,Inf,256.12,Inf,38.029,Inf,52.349,Inf,-61245.0,Inf,-69.809,Inf,-69941.0,Inf,-89.527,Inf,90.0,250.0,1.0,4.2616000000000004e-27,Inf,3
"2,3,5-trichlorophenol",-64.925,40.254,9351.7,2532.6,8.1104,5.6692,172.77,0.31488,34.672,0.91529,67.434,47.137,-47684.0,1260.6,-61.027,2.824,-53266.0,4100.6,-74.873,10.082,90.0,250.0,0.99993,0.00016113,0.00016113,4
1-decanol,-55.449,7.6648,8982.7,457.58,6.5545,1.0886,147.08,0.055351,28.353,0.046072,54.497,9.0513,-51785.0,85.246,-77.322,0.2009,-54895.0,523.7,-85.278,1.3366,90.0,250.0,1.0,5.9411e-6,5.9411e-6,4
4-methoxy-1-naphthaldehyde,-127.39,Inf,15260.0,Inf,16.594,Inf,255.68,Inf,43.125,Inf,137.97,Inf,-53919.0,Inf,-56.05,Inf,-76778.0,Inf,-107.91,Inf,90.0,250.0,1.0,1.2849e-26,Inf,3
3-phenoxyphenol,-102.35,20.462,13612.0,1465.3,13.004,2.8302,232.94,1.5284,36.431,1.5678,108.12,23.531,-58455.0,2540.2,-69.594,4.9828,-73910.0,4232.2,-105.48,9.2824,90.0,250.0,0.99999,4.0155e-5,4.0155e-5,4
methyl 2-naphthoate,-87.033,5.16,12082.0,360.53,10.984,0.71594,222.07,0.30173,36.917,0.35801,91.326,5.9526,-55233.0,539.85,-65.626,1.0838,-67294.0,955.99,-93.953,2.1434,90.0,250.0,1.0,2.5696e-6,2.5696e-6,4
2-methoxy-1-naphthaldehyde,25.194,Inf,5920.8,Inf,-4.9988,Inf,240.47,Inf,31.079,Inf,-41.562,Inf,-70575.0,Inf,-91.499,Inf,-64321.0,Inf,-77.091,Inf,90.0,250.0,1.0,3.6012e-28,Inf,3
1-naphthalen-1-yl acetate,-56.324,23.158,10102.0,1579.0,6.6292,3.2234,211.11,0.91488,34.028,1.164,55.118,26.801,-57299.0,1971.9,-72.415,4.0535,-63974.0,3801.0,-88.278,8.7169,90.0,250.0,0.99998,5.2089e-5,5.2089e-5,4
methyl 1-naphthoate,-56.094,23.212,10102.0,1610.2,6.6292,3.2234,219.1,1.2047,35.434,1.4027,55.118,26.801,-56858.0,2268.0,-69.598,4.5813,-63974.0,4142.1,-86.364,9.3563,90.0,250.0,0.99998,5.2089e-5,5.2089e-5,4
4-phenoxyphenol,-67.39,5.3972,11467.0,385.14,8.066,0.74674,231.95,0.37365,34.51,0.35762,67.065,6.2088,-61468.0,643.44,-75.786,1.2643,-70988.0,1093.6,-97.914,2.4097,90.0,250.0,1.0,2.7955e-6,2.7955e-6,4
naphthalen-2-yl acetate,-56.232,23.179,10102.0,1591.2,6.6292,3.2234,214.27,1.0241,34.579,1.2553,55.118,26.801,-57125.0,2087.6,-71.291,4.2616,-63974.0,3934.5,-87.513,8.9692,90.0,250.0,0.99998,5.2089e-5,5.2089e-5,4
1-(1-hydroxynaphthalen-2-yl)ethanone,-51.777,9.8849,9937.8,705.8,6.046,1.3675,232.38,0.74351,37.139,0.75601,50.269,11.37,-57215.0,1176.8,-67.269,2.3099,-64372.0,2004.9,-83.898,4.4172,90.0,250.0,1.0,9.3749e-6,9.3749e-6,4
2-phenoxyphenol,-96.37,27.956,12329.0,1892.1,12.346,3.8955,207.41,1.0398,36.109,1.5364,102.65,32.389,-53177.0,2274.3,-64.748,4.7143,-65229.0,4437.8,-93.505,10.233,90.0,250.0,0.99998,7.6075e-5,7.6075e-5,4
