Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
2-Chloroaniline,96.976,63.382,-879.96,3727.4,-14.83,9.0248,139.68,0.49779,32.51,0.70538,-123.3,75.036,-43587.0,951.56,-59.674,2.2944,-37462.0,3846.0,-43.865,9.8897,90.0,250.0,0.99978,0.00040831,0.00040831,4
1-Methylnaphthalene,-33.986,58.014,7371.0,3632.1,3.7556,8.1767,170.39,0.42991,34.483,1.1921,31.225,67.985,-47436.0,1642.5,-61.039,3.6988,-49946.0,5707.2,-67.283,14.09,90.0,250.0,0.99984,0.00033517,0.00033517,4
Propiophenone,-2.2647,10.501,5267.5,625.23,-0.79301,1.4921,145.76,0.083547,31.339,0.079977,-6.5934,12.406,-46558.0,120.26,-65.232,0.28449,-46190.0,702.16,-64.291,1.7948,90.0,250.0,0.99999,1.1161e-5,1.1161e-5,4
2-Naphthol,-75.852,22.881,10717.0,1533.7,9.5472,3.1926,202.99,0.74154,36.736,1.2033,79.38,26.545,-51311.0,1688.3,-61.856,3.5338,-60280.0,3445.1,-83.36,8.0159,90.0,250.0,0.99998,5.1098e-5,5.1098e-5,4
2-Methylanthracene,-60.798,Inf,10914.0,Inf,7.2931,Inf,257.72,Inf,40.018,Inf,60.638,Inf,-58554.0,Inf,-64.389,Inf,-68724.0,Inf,-87.414,Inf,90.0,250.0,1.0,9.746600000000001e-27,Inf,3
"2,3,5-Trichlorophenol",-29.922,25.48,7207.0,1611.2,3.1724,3.5858,175.21,0.2166,34.752,0.62914,26.376,29.814,-48096.0,871.96,-61.364,1.9427,-50344.0,2686.0,-66.923,6.5778,90.0,250.0,0.99997,6.446e-5,6.446e-5,4
1-Decanol,-24.096,25.403,7001.9,1547.4,2.1997,3.5961,156.99,0.1854,30.554,0.21804,18.289,29.899,-50350.0,361.92,-71.146,0.83685,-51575.0,2035.6,-74.242,5.1308,90.0,250.0,0.99997,6.483e-5,6.483e-5,4
4-Methoxy-1-Naphthaldehyde,-73.446,5.3456,11672.0,394.77,9.0387,0.73647,247.05,0.56343,38.823,0.51834,75.152,6.1234,-57954.0,783.89,-65.5,1.4923,-69757.0,1245.7,-92.51,2.6639,90.0,250.0,1.0,2.7191e-6,2.7191e-6,4
3-Phenoxyphenol,-115.38,20.289,14022.0,1439.8,14.949,2.8096,228.64,1.4576,38.615,1.694,124.3,23.361,-54215.0,2399.2,-62.136,4.7502,-71448.0,4048.7,-102.33,8.9434,90.0,250.0,0.99999,3.9575e-5,3.9575e-5,4
Methyl 2-Naphthoate,-25.087,41.263,8121.0,2858.1,2.2744,5.7309,218.69,2.0649,34.547,2.3133,18.91,47.649,-58221.0,3929.0,-72.464,7.9419,-60654.0,7285.6,-78.2,16.495,90.0,250.0,0.99995,0.00016465,0.00016465,4
"Biphenyl-2,5-diol",-8.6431,Inf,6999.2,Inf,-0.013709,Inf,218.04,Inf,34.438,Inf,-0.11398,Inf,-58251.0,Inf,-72.683,Inf,-58236.0,Inf,-72.649,Inf,90.0,250.0,1.0,2.2744e-24,Inf,3
2-Methoxy-1-Naphthaldehyde,-73.538,5.3403,11672.0,391.22,9.0387,0.73647,243.51,0.51751,38.12,0.48438,75.152,6.1234,-58221.0,748.93,-66.78,1.4363,-69757.0,1206.2,-93.275,2.5974,90.0,250.0,1.0,2.7191e-6,2.7191e-6,4
1-Naphthalen-1-yl Acetate,-65.317,9.9654,10348.0,676.34,7.9913,1.388,208.87,0.38533,35.767,0.53985,66.444,11.541,-54011.0,819.78,-66.143,1.6936,-61909.0,1599.7,-84.958,3.6825,90.0,250.0,1.0,9.6586e-6,9.6586e-6,4
Methyl 1-Naphthoate,-62.588,23.126,10307.0,1598.5,7.6019,3.2131,217.36,1.1808,36.575,1.4655,63.205,26.715,-54693.0,2207.2,-65.596,4.4757,-62743.0,4061.1,-84.597,9.1999,90.0,250.0,0.99998,5.1757e-5,5.1757e-5,4
4-Phenoxyphenol,-115.38,20.289,14022.0,1439.8,14.949,2.8096,228.64,1.4576,38.615,1.694,124.3,23.361,-54215.0,2399.2,-62.136,4.7502,-71448.0,4048.7,-102.33,8.9434,90.0,250.0,0.99999,3.9575e-5,3.9575e-5,4
Naphthalen-2-yl Acetate,-100.14,5.0003,12493.0,343.42,12.929,0.6954,214.07,0.24346,38.329,0.34214,107.5,5.7819,-51494.0,462.53,-59.782,0.94491,-64832.0,855.51,-91.376,1.9465,90.0,250.0,1.0,2.4243e-6,2.4243e-6,4
1-(1-hydroxynaphthalen-2-yl)ethanone,-97.084,38.33,12452.0,2767.2,12.54,5.2966,236.33,3.6164,42.813,4.2283,104.26,44.038,-50409.0,5029.7,-53.034,9.7971,-65665.0,8216.0,-88.334,17.885,90.0,250.0,0.99996,0.00014064,0.00014064,4
2-Phenoxyphenol,-71.857,10.028,10553.0,675.0,8.964,1.3983,204.99,0.34677,36.48,0.53553,74.531,11.626,-52108.0,768.68,-63.071,1.6018,-60678.0,1543.6,-83.574,3.5786,90.0,250.0,1.0,9.8021e-6,9.8021e-6,4
