Number,Name
propiophenone,Propiophenone
2-naphthol,2-Naphthol
2-methylanthracene,2-Methylanthracene
"2,3,5-trichlorophenol","2,3,5-Trichlorophenol"
4-methoxy-1-naphthaldehyde,4-Methoxy-1-Naphthaldehyde
3-phenoxyphenol,3-Phenoxyphenol
2-methoxy-1-naphthaldehyde,2-Methoxy-1-Naphthaldehyde
1-naphthalen-1-yl acetate,1-Naphthalen-1-yl Acetate
methyl-1-naphthoate,Methyl 1-Naphthoate
4-phenoxyphenol,4-Phenoxyphenol
2- phenoxyphenol,2-Phenoxyphenol
1-methylnaphthalene,1-Methylnaphthalene
methyl-2-naphthoate,Methyl 2-Naphthoate
"biphenyl-2,5-diol","Biphenyl-2,5-diol"
naphthalen-2-yl acetate,Naphthalen-2-yl Acetate
1-Naphthalen-1-yl Acetate,1-Naphthalen-1-yl Acetate
methyl-2-naphthoate,Methyl 2-Naphthoate
1-decanol,1-Decanol
2-chloroaniline,2-Chloroaniline
