Compound\T [°C] ->;120;140;160;180
2-chloroaniline;0.16;-0.12;-0.39;-0.62
1-methylnaphthalene;0.57;0.27;-0.01;-0.26
propiophenone;0.24;-0.05;-0.33;-0.58
2-naphthol;1.08;0.72;0.4;0.12
2-methylanthracene;1.9;1.48;1.12;0.8
2,3,5-trichlorophenol;0.65;0.33;0.05;-0.2
1-decanol;0.49;0.16;-0.13;-0.41
4-methoxy-1-naphthaldehyde;1.77;1.35;0.99;0.67
3-phenoxyphenol;1.59;1.17;0.8;0.47
methyl 2-naphthoate;1.5;0.99;0.65;0.35
biphenyl-2,5-diol;1.31;1;0.93;0.67
2-methoxy-1-naphthaldehyde;1.74;1.33;0.97;0.64
1-naphthalen-1-yl acetate;1.22;0.85;0.53;0.23
methyl 1-naphthoate;1.32;0.95;0.62;0.32
4-phenoxyphenol;1.58;1.16;0.8;0.47
1-(2-hydroxynaphthalen-1-yl)ethanone;1.47;1.09;0.79;0.48
naphthalen-2-yl acetate;1.26;0.9;0.56;0.26
1-(1-hydroxynaphthalen-2-yl)ethanone;1.48;1.1;0.77;0.46
2-phenoxyphenol;1.15;0.79;0.47;0.18
