Compound\T [°C] ->;120;140;160;180
1-methylnaphthalene;0.54;0.23;-0.05;
2-naphthol;1.06;0.7;0.38;0.09
2-methylanthracene;1.87;1.46;1.1;0.77
2,3,5-trichlorophenol;0.63;0.31;0.04;-0.23
1-decanol;0.46;0.13;-0.16;
4-methoxy-1-naphthaldehyde;1.73;1.32;0.96;0.65
3-phenoxyphenol;1.56;1.14;0.77;0.45
methyl-2-naphthoate;1.34;0.96;0.62;0.33
biphenyl-2,5-diol;1.8;1.36;0.98;0.65
2-methoxy-1-naphthaldehyde;1.71;1.29;0.93;0.61
1-naphthalen-1-yl acetate;1.19;0.82;0.49;0.2
methyl-1-naphthoate;1.29;0.92;0.59;0.29
4-phenoxyphenol;1.56;1.14;0.77;0.46
naphthalen-2-yl acetate;1.23;0.86;0.53;0.24
1-(1-hydroxynaphthalen-2-yl)ethanone;1.45;1.07;0.76;0.45
2- phenoxyphenol;1.12;0.76;0.44;0.16
