Compound\T [°C] ->;120;140;160;180
2-chloroaniline;0.21;-0.08;-0.34;
1-methylnaphthalene;0.59;0.28;-0.01;-0.26
propiophenone;0.28;-0.03;-0.31;
2-naphthol;1.19;0.82;0.49;0.2
2-methylanthracene;2;1.58;1.2;0.87
2,3,5-trichlorophenol;0.67;0.35;0.07;-0.18
1-decanol;0.41;0.08;-0.22;
4-methoxy-1-naphthaldehyde;1.94;1.51;1.13;0.79
3-phenoxyphenol;1.72;1.28;0.9;0.57
methyl-2-naphthoate;1.46;1.07;0.72;0.42
biphenyl-2,5-diol;1.99;1.54;1.15;
2-methoxy-1-naphthaldehyde;1.91;1.47;1.09;0.76
1-naphthalen-1-yl acetate;1.33;0.94;0.6;0.3
methyl-1-naphthoate;1.42;1.04;0.69;0.39
4-phenoxyphenol;1.72;1.29;0.91;0.58
1-(2-hydroxynaphthalen-1-yl)ethanone;1.59;1.19;0.84;0.54
naphthalen-2-yl acetate;1.37;0.98;0.63;0.33
1-(1-hydroxynaphthalen-2-yl)ethanone;1.59;1.2;0.86;0.54
2- phenoxyphenol;1.23;0.85;0.53;0.23
