Compound\T [°C] ->;120;140;160;180
2-chloroaniline;0.72;0.46;0.22;0.01
1-methylnaphthalene;1.28;0.98;0.71;0.46
propiophenone;0.82;0.55;0.29;0.06
2-naphthol;1.59;1.25;0.96;0.69
2,3,5-trichlorophenol;1.3;0.99;0.72;0.47
1-decanol;1.05;0.73;0.45;0.2
4-methoxy-1-naphthaldehyde;2.4;2;1.64;1.32
3-phenoxyphenol;2.04;1.65;1.31;1.01
methyl-2-naphthoate;2.02;1.64;1.31;1.01
biphenyl-2,5-diol;2.25;1.85;1.5;1.19
2-methoxy-1-naphthaldehyde;2.36;1.96;1.6;1.28
1-naphthalen-1-yl acetate;1.8;1.44;1.12;0.84
methyl-1-naphthoate;1.98;1.6;1.28;0.98
4-phenoxyphenol;2.04;1.66;1.32;1.02
1-(2-hydroxynaphthalen-1-yl)ethanone;2.13;1.75;1.42;1.12
naphthalen-2-yl acetate;1.86;1.49;1.17;0.88
1-(1-hydroxynaphthalen-2-yl)ethanone;2.18;1.8;1.46;1.16
2- phenoxyphenol;1.75;1.39;1.08;0.8
