Compound\T [°C] ->;120;140;160;180
2-chloroaniline;0.32;0.03;-0.24;-0.49
1-methylnaphthalene;0.71;0.39;0.11;-0.16
propiophenone;0.38;0.07;-0.21;-0.47
2-naphthol;1.39;1.01;0.67;0.37
2-methylanthracene;;1.79;1.4;1.05
2,3,5-trichlorophenol;0.78;0.45;0.17;-0.09
1-decanol;0.45;0.11;-0.19;-0.46
4-methoxy-1-naphthaldehyde;;1.73;1.33;0.98
3-phenoxyphenol;1.93;1.48;1.09;0.74
methyl 2-naphthoate;1.65;1.24;0.88;0.56
2-methoxy-1-naphthaldehyde;;1.69;1.3;0.94
1-naphthalen-1-yl acetate;1.5;1.1;0.75;0.43
methyl 1-naphthoate;1.6;1.2;0.85;0.53
4-phenoxyphenol;1.93;1.49;1.1;0.75
naphthalen-2-yl acetate;1.54;1.14;0.79;0.47
1-(1-hydroxynaphthalen-2-yl)ethanone;1.78;1.38;1.02;0.7
2-phenoxyphenol;1.4;1.01;0.66;0.36
