Compound\T [°C] ->;120;140;160;180
2-chloroaniline;0.27;-0.01;-0.26;-0.52
1-methylnaphthalene;0.73;0.41;0.14;-0.12
propiophenone;0.38;0.08;-0.19;-0.44
2-naphthol;1.27;0.9;0.58;0.29
2-methylanthracene;;1.75;1.37;1.03
2,3,5-trichlorophenol;0.8;0.48;0.2;-0.06
1-decanol;0.58;0.25;-0.04;-0.31
4-methoxy-1-naphthaldehyde;2.05;1.62;1.24;0.9
3-phenoxyphenol;1.77;1.34;0.97;0.64
methyl 2-naphthoate;1.58;1.19;0.85;0.53
biphenyl-2,5-diol;;1.17;0.83;0.52
2-methoxy-1-naphthaldehyde;2.01;1.58;1.2;0.86
1-naphthalen-1-yl acetate;1.4;1.02;0.68;0.38
methyl 1-naphthoate;1.53;1.14;0.8;0.49
4-phenoxyphenol;1.77;1.34;0.97;0.64
naphthalen-2-yl acetate;1.46;1.07;0.73;0.43
1-(1-hydroxynaphthalen-2-yl)ethanone;1.73;1.33;0.99;0.68
2-phenoxyphenol;1.31;0.94;0.61;0.32
