Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
3-Chlorophenol,-6.7686,30.656,5721.3,1797.2,-0.26934,4.3674,138.12,0.21058,29.002,0.30398,-2.2394,36.313,-48490.0,510.66,-71.996,1.2373,-48382.0,1820.4,-71.718,4.6846,90.0,250.0,0.99996,9.5623e-5,9.5623e-5,4
"1,2-Dichlorobenzene",558.76,Inf,-28515.0,Inf,-80.512,Inf,102.49,Inf,81.654,Inf,-669.42,Inf,-14368.0,Inf,7.6588,Inf,-6009.2,Inf,30.289,Inf,90.0,250.0,1.0,4.5690999999999995e-28,Inf,3
Dibenzylamine,-36.439,7.4974,8868.7,514.9,3.8415,1.0425,214.61,0.32911,34.012,0.38999,31.94,8.6681,-58159.0,671.48,-73.33,1.3696,-62139.0,1272.5,-82.752,2.9015,90.0,250.0,1.0,5.4487e-6,5.4487e-6,4
Iodobenzene,77.46,Inf,64.122,Inf,-12.093,Inf,115.5,Inf,31.707,Inf,-100.54,Inf,-39609.0,Inf,-56.007,Inf,-37045.0,Inf,-49.184,Inf,90.0,250.0,1.0,1.7163000000000002e-24,Inf,3
Undecan,111.39,Inf,-1291.0,Inf,-17.156,Inf,122.56,Inf,28.48,Inf,-142.65,Inf,-45713.0,Inf,-69.614,Inf,-41069.0,Inf,-57.366,Inf,90.0,250.0,1.0,8.3084e-22,Inf,3
N-Methylaniline,105.98,Inf,-1358.9,Inf,-16.242,Inf,119.1,Inf,30.698,Inf,-135.04,Inf,-41672.0,Inf,-60.331,Inf,-37742.0,Inf,-49.921,Inf,90.0,250.0,1.0,8.3944e-27,Inf,3
Acetophenone,124.59,Inf,-2490.0,Inf,-18.873,Inf,119.66,Inf,31.34,Inf,-156.92,Inf,-40935.0,Inf,-58.303,Inf,-36281.0,Inf,-45.984,Inf,90.0,250.0,1.0,7.828e-27,Inf,3
4-Methylphenol,127.47,Inf,-2365.6,Inf,-19.418,Inf,117.92,Inf,29.252,Inf,-161.45,Inf,-43470.0,Inf,-65.248,Inf,-38962.0,Inf,-53.289,Inf,90.0,250.0,1.0,1.6372e-26,Inf,3
Benzyl alcohol,154.74,Inf,-4220.7,Inf,-23.222,Inf,112.33,Inf,31.41,Inf,-193.08,Inf,-39333.0,Inf,-56.131,Inf,-35023.0,Inf,-44.611,Inf,90.0,250.0,1.0,2.0939e-22,Inf,3
"2,4-Dimethylphenol",32.218,28.636,3249.6,1655.8,-5.7861,4.0893,131.3,0.18473,29.265,0.41271,-48.108,34.001,-46476.0,656.82,-69.003,1.6214,-44489.0,1550.2,-63.821,4.0053,90.0,250.0,0.99996,8.3834e-5,8.3834e-5,4
"1,2,4-Trichlorbenzol",-0.60167,16.547,5003.9,973.81,-0.99408,2.3559,140.01,0.12653,31.526,0.17353,-8.2653,19.588,-45020.0,249.33,-63.056,0.6007,-44606.0,1010.8,-61.99,2.5976,90.0,250.0,0.99998,2.7824e-5,2.7824e-5,4
2-Nitrophenol,-33.271,37.22,6827.1,2155.8,3.655,5.3136,132.12,0.25291,30.725,0.57008,30.39,44.18,-44447.0,826.56,-63.764,2.0361,-45727.0,2036.6,-67.099,5.2591,90.0,250.0,0.99992,0.00014155,0.00014155,4
Naphthalene,-12.092,13.265,5645.9,783.74,0.66554,1.8873,141.95,0.1054,32.09,0.12909,5.5336,15.692,-44646.0,181.03,-61.646,0.43353,-44933.0,835.13,-62.385,2.1425,90.0,250.0,0.99999,1.7857e-5,1.7857e-5,4
"1,3-Dibromobenzene",16.177,3.1511,3983.3,186.37,-3.3565,0.44824,142.49,0.025183,32.121,0.029574,-27.908,3.7269,-44718.0,41.527,-61.68,0.099272,-43253.0,199.97,-57.913,0.51283,90.0,250.0,1.0,1.0072e-6,1.0072e-6,4
4-Chlorphenol,-18.632,24.768,6407.0,1453.4,1.4271,3.528,138.57,0.17189,29.129,0.24194,11.865,29.333,-48386.0,403.92,-71.613,0.97736,-48962.0,1480.9,-73.102,3.8097,90.0,250.0,0.99997,6.2397e-5,6.2397e-5,4
4-Chloranilin,13.37,1.7223,4324.6,101.97,-3.0247,0.24496,142.96,0.013342,31.013,0.014687,-25.148,2.0367,-46421.0,22.185,-65.652,0.052954,-45090.0,110.12,-62.228,0.28229,90.0,250.0,1.0,3.0083e-7,3.0083e-7,4
Chinolin,8.5391,12.294,4569.4,739.03,-2.2821,1.7442,150.47,0.101,32.414,0.092758,-18.975,14.502,-46030.0,133.54,-62.751,0.31202,-44882.0,886.92,-59.829,2.2551,90.0,250.0,0.99999,1.5251e-5,1.5251e-5,4
2-Methylnaphthalen,-2.3093,4.3486,5398.0,266.11,-0.76672,0.61513,159.24,0.032838,32.631,0.04807,-6.3749,5.1145,-47638.0,70.55,-64.266,0.16252,-47197.0,361.08,-63.154,0.90721,90.0,250.0,1.0,1.8969e-6,1.8969e-6,4
"1,2,4,5-Tetrachlorbenzol",-13.777,0.71311,6188.5,44.101,0.84761,0.1007,164.4,0.0050533,32.908,0.010366,7.0474,0.83729,-48371.0,15.277,-64.641,0.034845,-48895.0,64.141,-65.955,0.15989,90.0,250.0,1.0,5.0839e-8,5.0839e-8,4
Valerophenone,-34.228,2.2931,7718.1,142.14,3.6415,0.32371,165.5,0.01536,31.436,0.031975,30.277,2.6915,-50891.0,51.885,-70.108,0.11807,-53177.0,209.74,-75.827,0.52194,90.0,250.0,1.0,5.2534e-7,5.2534e-7,4
Cinnamaldehyde,12.265,60.952,4555.7,3692.1,-2.873,8.6362,154.23,0.47489,31.582,0.48998,-23.887,71.806,-48087.0,753.68,-66.608,1.7501,-46553.0,4673.0,-62.717,11.824,90.0,250.0,0.99982,0.00037391,0.00037391,4
Butyl benzoate,-34.481,15.249,7833.7,948.87,3.65,2.1514,167.4,0.10036,31.175,0.22714,30.347,17.887,-51763.0,377.89,-71.589,0.85652,-54112.0,1435.2,-77.453,3.5606,90.0,250.0,0.99999,2.3203e-5,2.3203e-5,4
Diphenylether,-19.727,41.1,6870.0,2590.3,1.6178,5.7869,173.62,0.30861,32.47,0.83913,13.451,48.115,-51111.0,1322.8,-68.494,2.9576,-52235.0,4235.1,-71.281,10.4,90.0,250.0,0.99993,0.00016788,0.00016788,4
Acenaphthylene,-18.502,15.024,6714.3,965.8,1.5205,2.109,183.22,0.18749,34.594,0.46038,12.643,17.535,-50056.0,667.42,-63.776,1.4604,-51235.0,1765.6,-66.665,4.2643,90.0,250.0,0.99999,2.2297e-5,2.2297e-5,4
1-Bromonaphthalene,-29.312,27.154,7415.4,1761.3,3.0552,3.8066,187.52,0.43228,35.323,0.96403,25.403,31.65,-49953.0,1366.5,-62.527,2.9612,-52430.0,3375.8,-68.569,8.0902,90.0,250.0,0.99997,7.2643e-5,7.2643e-5,4
