Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
Cyclohexanone,-2293.1,Inf,138000.0,Inf,326.1,Inf,131.2,Inf,26.641,Inf,2711.4,Inf,-51027.0,Inf,-80.287,Inf,-162730.0,Inf,-371.66,Inf,90.0,250.0,1.0,5.360899999999999e-23,Inf,3
Octanal,-2782.5,Inf,165490.0,Inf,396.22,Inf,119.85,Inf,15.799,Inf,3294.4,Inf,-81281.0,Inf,-160.92,Inf,-179600.0,Inf,-421.11,Inf,90.0,250.0,1.0,2.4847e-27,Inf,3
"1,3-Dichlorobenzene",-2719.2,Inf,161480.0,Inf,387.32,Inf,119.15,Inf,16.141,Inf,3220.4,Inf,-79275.0,Inf,-156.17,Inf,-173160.0,Inf,-404.84,Inf,90.0,250.0,1.0,1.2294e-26,Inf,3
3-Chlorophenol,-368.43,15231.0,28223.0,8.4044e6,51.132,45.829,278.74,116130.0,78500.0,1.2029e11,425.14,381.04,-32.261,4.9436e7,45.85,89576.0,-80272.0,6.9878e7,-132.08,126610.0,90.0,250.0,0.99629,0.010479,0.010479,4
Cycloheptanon,-534.87,607.1,36118.0,37282.0,75.278,85.831,160.88,7.4963,54.678,20.675,625.9,713.64,-28646.0,10877.0,-20.092,24.982,-73007.0,52039.0,-131.68,130.21,90.0,250.0,0.97116,0.036932,0.036932,4
Benzaldehyde,-2293.5,Inf,137420.0,Inf,326.39,Inf,128.22,Inf,25.118,Inf,2713.8,Inf,-53325.0,Inf,-86.95,Inf,-157040.0,Inf,-358.5,Inf,90.0,250.0,1.0,1.5687999999999998e-21,Inf,3
"1,2-Dichlorobenzene",-2340.4,Inf,140240.0,Inf,333.05,Inf,129.47,Inf,26.364,Inf,2769.1,Inf,-51124.0,Inf,-81.069,Inf,-160420.0,Inf,-366.79,Inf,90.0,250.0,1.0,4.3514e-24,Inf,3
Phenol,-447.54,580.71,30963.0,36254.0,62.878,81.888,168.87,7.5807,61.646,38.276,522.79,680.85,-26352.0,16387.0,-13.71,37.031,-67585.0,56347.0,-116.46,139.2,90.0,250.0,0.97431,0.033616,0.033616,4
4-Fluoroaniline,-465.14,582.12,32026.0,36215.0,65.368,82.13,167.2,7.3534,59.817,33.192,543.5,682.87,-26953.0,14983.0,-15.3,33.98,-68911.0,55016.0,-120.06,136.31,90.0,250.0,0.97435,0.033816,0.033816,4
Aniline,-526.29,703.33,34715.0,42044.0,74.363,99.876,147.55,9.2468,51.596,18.733,618.29,830.41,-28520.0,10431.0,-21.885,24.659,-64102.0,49392.0,-112.83,125.52,90.0,250.0,0.93709,0.050008,0.050008,4
Dibenzylamine,-191.31,393.66,17855.0,32292.0,26.044,53.79,274.34,136.38,83.353,281.02,216.54,447.23,-29899.0,101900.0,-8.704,184.63,-69816.0,137590.0,-97.599,268.65,90.0,250.0,0.99517,0.014505,0.014505,4
Iodobenzene,-2313.8,Inf,138160.0,Inf,329.44,Inf,125.2,Inf,22.919,Inf,2739.1,Inf,-57568.0,Inf,-98.608,Inf,-154000.0,Inf,-352.04,Inf,90.0,250.0,1.0,9.1936e-22,Inf,3
Benzonitril,-497.01,675.8,33014.0,40759.0,70.2,95.825,151.95,9.679,56.968,19.772,583.67,796.74,-26375.0,9232.7,-16.136,21.58,-62536.0,50667.0,-108.07,128.18,90.0,250.0,0.94326,0.046034,0.046034,4
N-Methylaniline,-450.76,649.41,30471.0,39569.0,63.561,91.928,157.04,9.1716,59.16,21.517,528.47,764.33,-26009.0,9524.3,-14.551,22.027,-61437.0,52445.0,-104.08,131.94,90.0,250.0,0.95383,0.042365,0.042365,4
