Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
3-Chlorophenol,-153.59,31.275,16633.0,2022.6,20.048,4.3865,185.96,0.36943,28.374,0.71111,166.69,36.471,-61768.0,1551.2,-88.628,3.3736,-77764.0,3830.4,-127.71,9.1957,90.0,250.0,0.99998,9.6459e-5,9.6459e-5,4
Phenol,-242.97,Inf,20557.0,Inf,33.02,Inf,144.34,Inf,25.739,Inf,274.54,Inf,-56303.0,Inf,-88.953,Inf,-71222.0,Inf,-127.24,Inf,90.0,250.0,1.0,1.6532000000000002e-25,Inf,3
4-Fluoroaniline,-212.85,Inf,17890.0,Inf,28.999,Inf,129.53,Inf,26.099,Inf,241.11,Inf,-51657.0,Inf,-82.376,Inf,-61189.0,Inf,-107.29,Inf,90.0,250.0,1.0,4.7665e-23,Inf,3
Aniline,-137.05,Inf,13418.0,Inf,18.174,Inf,123.44,Inf,25.326,Inf,151.11,Inf,-51635.0,Inf,-84.29,Inf,-56688.0,Inf,-97.6,Inf,90.0,250.0,1.0,2.2887000000000002e-20,Inf,3
Dibenzylamine,-187.3,9.0568,18597.0,639.67,25.036,1.2553,225.41,0.63412,40.646,0.85392,208.16,10.437,-50845.0,1076.0,-56.076,2.1465,-79032.0,1790.7,-122.04,3.9606,90.0,250.0,1.0,7.8999e-6,7.8999e-6,4
N-Methylaniline,-33.029,Inf,7900.2,Inf,3.1722,Inf,131.89,Inf,24.8,Inf,26.376,Inf,-55003.0,Inf,-89.886,Inf,-56108.0,Inf,-92.766,Inf,90.0,250.0,1.0,4.1034e-24,Inf,3
Acetophenone,-36.047,Inf,7692.3,Inf,3.7272,Inf,126.69,Inf,25.777,Inf,30.989,Inf,-51567.0,Inf,-83.061,Inf,-52703.0,Inf,-86.044,Inf,90.0,250.0,1.0,3.9017999999999997e-22,Inf,3
4-Methylphenol,-19.255,44.162,7920.4,2676.6,1.0327,6.2567,154.51,0.26568,24.455,0.2149,8.5867,52.022,-62182.0,551.86,-99.491,1.2809,-62735.0,3401.0,-100.9,8.6021,90.0,250.0,0.99994,0.00019625,0.00019625,4
Benzyl alcohol,-96.701,Inf,11974.0,Inf,12.145,Inf,137.98,Inf,24.214,Inf,100.98,Inf,-58040.0,Inf,-95.262,Inf,-62885.0,Inf,-107.79,Inf,90.0,250.0,1.0,1.2534999999999999e-26,Inf,3
"2,4-Dimethylphenol",-97.514,27.294,12671.0,1672.0,12.151,3.8603,159.75,0.15852,25.287,0.18467,101.03,32.096,-61618.0,452.25,-96.43,1.0408,-68664.0,2284.2,-114.18,5.7345,90.0,250.0,0.99998,7.4705e-5,7.4705e-5,4
"1,2,4-Trichlorbenzol",534.28,Inf,-25742.0,Inf,-77.417,Inf,142.95,Inf,26.756,Inf,-643.68,Inf,-53804.0,Inf,-83.397,Inf,-19720.0,Inf,4.2169,Inf,90.0,250.0,1.0,1.4959e-25,Inf,3
2-Nitrophenol,-131.7,Inf,13275.0,Inf,17.448,Inf,140.41,Inf,28.229,Inf,145.07,Inf,-50376.0,Inf,-75.902,Inf,-57689.0,Inf,-94.759,Inf,90.0,250.0,1.0,3.4232000000000004e-29,Inf,3
Naphthalene,-0.72849,51.158,5638.8,3041.5,-1.1985,7.2709,145.03,0.3688,28.482,0.33201,-9.9647,60.454,-51050.0,601.86,-76.168,1.4271,-50502.0,3381.0,-74.762,8.6489,90.0,250.0,0.99989,0.00026503,0.00026503,4
"1,3-Dibromobenzene",88.173,37.082,394.83,2204.6,-13.85,5.2704,145.04,0.26533,28.268,0.23277,-115.15,43.821,-51438.0,428.57,-77.094,1.0159,-45100.0,2449.1,-60.844,6.2664,90.0,250.0,0.99994,0.00013925,0.00013925,4
4-Chlorphenol,-83.06,36.656,12195.0,2359.9,10.106,5.1444,183.88,0.37751,27.571,0.73464,84.029,42.773,-62990.0,1681.6,-91.917,3.6742,-70879.0,4354.4,-111.24,10.5,90.0,250.0,0.99997,0.00013268,0.00013268,4
4-Chloranilin,-95.509,34.251,12015.0,2121.5,12.102,4.8356,165.16,0.20955,28.63,0.38973,100.63,40.205,-55794.0,761.37,-81.384,1.7338,-63357.0,3116.8,-100.31,7.7599,90.0,250.0,0.99996,0.00011722,0.00011722,4
Chinolin,-97.001,21.347,11518.0,1302.5,12.495,3.021,157.79,0.15274,30.282,0.18626,103.89,25.118,-50992.0,315.73,-72.417,0.72904,-58035.0,1732.3,-90.2,4.3612,90.0,250.0,0.99998,4.5754e-5,4.5754e-5,4
2-Methylnaphthalen,-62.815,38.121,9532.5,2340.2,7.6353,5.3897,160.78,0.26101,30.277,0.39114,63.484,44.812,-51710.0,670.93,-73.258,1.5412,-56204.0,3242.5,-84.563,8.1279,90.0,250.0,0.99994,0.00014563,0.00014563,4
"1,2,4,5-Tetrachlorbenzol",-65.878,51.255,9779.7,3146.6,8.0461,7.2466,160.81,0.34702,29.949,0.51504,66.899,60.252,-52281.0,902.99,-74.569,2.0741,-57018.0,4361.2,-86.485,10.932,90.0,250.0,0.9999,0.00026326,0.00026326,4
Valerophenone,-113.52,38.08,12933.0,2364.6,14.725,5.3741,166.4,0.2412,29.905,0.50015,122.43,44.683,-53715.0,900.28,-76.297,2.0449,-63068.0,3530.9,-99.672,8.7734,90.0,250.0,0.99995,0.00014478,0.00014478,4
Cinnamaldehyde,-222.7,0.07869,19241.0,4.8884,30.31,0.011105,166.58,0.00054457,32.704,0.0012495,252.01,0.092328,-49161.0,1.8822,-65.889,0.0042737,-68461.0,7.3208,-114.11,0.018182,90.0,250.0,1.0,6.1818e-10,6.1818e-10,4
Butyl benzoate,-88.148,36.777,11419.0,2280.7,11.119,5.1913,165.74,0.2304,29.457,0.45504,92.448,43.163,-54370.0,841.81,-77.972,1.9147,-61372.0,3376.3,-95.485,8.3984,90.0,250.0,0.99995,0.0001351,0.0001351,4
Diphenylether,-117.66,51.113,13392.0,3224.6,15.278,7.1955,174.09,0.36601,30.494,0.94593,127.03,59.827,-54538.0,1694.2,-76.037,3.7841,-65220.0,5309.3,-102.49,13.023,90.0,250.0,0.99991,0.00025956,0.00025956,4
Acenaphthylene,-86.453,25.581,11405.0,1663.6,10.966,3.5848,188.69,0.41108,33.639,0.86036,91.177,29.806,-52718.0,1351.6,-68.242,2.9213,-61716.0,3238.4,-90.16,7.7392,90.0,250.0,0.99998,6.4424e-5,6.4424e-5,4
1-Bromonaphthalene,-101.59,30.892,12355.0,2025.1,13.116,4.3241,192.44,0.6126,34.694,1.2056,109.05,35.952,-51950.0,1810.4,-65.671,3.8801,-63122.0,4106.8,-92.77,9.7435,90.0,250.0,0.99997,9.3735e-5,9.3735e-5,4
Dibenzofuran,-113.79,25.824,13247.0,1711.6,14.814,3.6091,197.57,0.65181,35.319,1.1609,123.17,30.008,-52162.0,1720.6,-64.905,3.6455,-65412.0,3662.0,-96.863,8.6016,90.0,250.0,0.99998,6.5299e-5,6.5299e-5,4
1-Naphthol,-164.06,20.927,18125.0,1476.0,21.449,2.9006,225.55,1.211,33.479,1.2925,178.34,24.117,-61764.0,2403.2,-77.943,4.7908,-85938.0,4079.0,-134.51,9.0507,90.0,250.0,0.99999,4.2179e-5,4.2179e-5,4
"1,3-Dinitrobenzol",-114.38,30.901,13650.0,2054.9,14.779,4.3165,199.17,0.78807,33.451,1.2796,122.88,35.889,-55450.0,2129.1,-71.491,4.4949,-68865.0,4464.3,-103.79,10.455,90.0,250.0,0.99997,9.3405e-5,9.3405e-5,4
Fluorene,-108.6,23.367,13097.0,1579.1,14.064,3.2569,206.62,0.84937,36.249,1.287,116.93,27.079,-52796.0,1883.8,-64.137,3.912,-66432.0,3683.5,-96.701,8.5027,90.0,250.0,0.99998,5.3177e-5,5.3177e-5,4
Diphenylamine,-173.95,28.724,18102.0,1987.9,23.01,3.9911,217.0,1.398,35.212,1.787,191.32,33.184,-56730.0,2897.2,-69.831,5.8831,-81028.0,5138.1,-127.21,11.589,90.0,250.0,0.99998,7.9856e-5,7.9856e-5,4
1-Nitronaphthalene,-123.52,20.731,14337.0,1430.7,16.106,2.8813,216.12,1.0362,37.074,1.3795,133.91,23.957,-53686.0,2010.5,-63.818,4.0893,-70574.0,3640.5,-103.74,8.2422,90.0,250.0,0.99999,4.162e-5,4.162e-5,4
