Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
Dibenzylamine,-96.523,0.87014,12486.0,59.811,12.35,0.121,214.52,0.041206,36.792,0.054929,102.68,1.006,-53744.0,80.751,-64.299,0.1648,-66530.0,149.36,-94.571,0.33965,90.0,250.0,1.0,7.3393e-8,7.3393e-8,4
Chinolin,-45.364,Inf,7874.4,Inf,5.3226,Inf,147.27,Inf,31.359,Inf,44.255,Inf,-46865.0,Inf,-65.564,Inf,-49400.0,Inf,-72.045,Inf,90.0,250.0,1.0,1.8744000000000002e-24,Inf,3
2-Methylnaphthalen,-103.2,Inf,11354.0,Inf,13.573,Inf,156.42,Inf,33.409,Inf,112.86,Inf,-45923.0,Inf,-60.997,Inf,-53418.0,Inf,-79.952,Inf,90.0,250.0,1.0,4.1003000000000005e-29,Inf,3
"1,2,4,5-Tetrachlorbenzol",-16.333,27.661,6367.1,1701.2,1.1872,3.9097,161.7,0.19944,32.32,0.34026,9.8713,32.507,-48647.0,514.08,-65.961,1.1789,-49354.0,2386.9,-67.74,5.975,90.0,250.0,0.99996,7.6629e-5,7.6629e-5,4
Valerophenone,-3.8354,30.554,5932.3,1883.6,-0.6992,4.317,162.85,0.20441,30.477,0.35403,-5.8135,35.893,-51859.0,604.35,-73.035,1.3828,-51435.0,2683.6,-71.972,6.706,90.0,250.0,0.99996,9.3427e-5,9.3427e-5,4
cinnamaldehyde,-94.4,Inf,10813.0,Inf,12.307,Inf,151.88,Inf,32.362,Inf,102.32,Inf,-46414.0,Inf,-63.293,Inf,-52746.0,Inf,-79.393,Inf,90.0,250.0,1.0,5.2731e-23,Inf,3
Butyl benzoate,-12.215,33.257,6528.8,2059.1,0.46594,4.6956,164.96,0.21609,30.348,0.42194,3.874,39.042,-52586.0,732.96,-74.122,1.6698,-52877.0,3017.0,-74.849,7.5144,90.0,250.0,0.99996,0.00011054,0.00011054,4
Diphenylether,-69.885,1.1536,9879.7,72.291,8.7199,0.16256,170.86,0.008192,32.814,0.021904,72.501,1.3516,-49953.0,33.396,-66.597,0.075129,-55816.0,114.29,-81.172,0.28193,90.0,250.0,1.0,1.3248e-7,1.3248e-7,4
Acenaphthylen,-43.997,6.7554,8239.9,432.03,5.1265,0.94903,180.69,0.074389,34.833,0.19772,42.624,7.8907,-49166.0,279.55,-62.424,0.61518,-53032.0,768.38,-71.926,1.8637,90.0,250.0,1.0,4.5152e-6,4.5152e-6,4
1-Bromonaphthalene,-61.009,13.004,9303.7,839.8,7.5457,1.8242,185.38,0.18896,35.978,0.46032,62.739,15.167,-48588.0,622.95,-60.057,1.3565,-54572.0,1575.4,-74.688,3.7886,90.0,250.0,0.99999,1.6682e-5,1.6682e-5,4
Dibenzofuran,-78.734,2.6704,10519.0,174.28,10.029,0.37403,190.38,0.05072,36.604,0.11037,83.382,3.1098,-48806.0,147.54,-59.383,0.31768,-57176.0,345.44,-79.734,0.82297,90.0,250.0,1.0,7.0133e-7,7.0133e-7,4
1-Naphthol,-92.196,12.694,11599.0,820.93,11.821,1.7804,186.0,0.18091,34.162,0.41462,98.286,14.803,-51311.0,624.07,-65.843,1.357,-60747.0,1552.7,-88.898,3.7287,90.0,250.0,0.99999,1.5891e-5,1.5891e-5,4
"1,3-Dinitrobenzol",-69.622,4.7626,9997.0,302.51,8.6662,0.66977,177.38,0.042582,33.316,0.11642,72.055,5.5688,-50657.0,177.27,-66.53,0.39305,-56953.0,517.96,-82.066,1.2635,90.0,250.0,1.0,2.2489e-6,2.2489e-6,4
Fluoren,-62.429,12.35,9748.9,820.91,7.683,1.7252,199.12,0.34234,36.441,0.59479,63.88,14.344,-50888.0,833.88,-61.846,1.7605,-57859.0,1774.5,-78.629,4.1605,90.0,250.0,0.99999,1.492e-5,1.492e-5,4
Diphenylamine,-86.12,9.4538,11564.0,630.89,10.915,1.3199,200.89,0.2711,35.17,0.44143,90.75,10.974,-53125.0,669.57,-66.161,1.4081,-63189.0,1390.3,-90.344,3.2472,90.0,250.0,1.0,8.7338e-6,8.7338e-6,4
1-Nitronaphthalene,-74.158,3.2647,10566.0,218.32,9.319,0.45567,201.89,0.10161,36.757,0.16866,77.483,3.7887,-51045.0,235.23,-61.547,0.49359,-59714.0,485.21,-82.356,1.1314,90.0,250.0,1.0,1.0409e-6,1.0409e-6,4
