Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
Cyclohexanon,3.0528,57.492,4389.0,3247.2,-1.4572,8.244,119.67,0.57334,31.102,1.4929,-12.116,68.545,-41252.0,1983.8,-59.106,5.0432,-40892.0,2840.9,-58.154,7.3764,90.0,250.0,0.99978,0.00034072,0.00034072,4
3-Chlorophenol,-172.75,1.544,16367.0,102.18,23.314,0.21585,196.59,0.043166,40.747,0.093945,193.84,1.7946,-45026.0,104.14,-49.944,0.22117,-65689.0,218.29,-99.834,0.51273,90.0,250.0,1.0,2.3356e-7,2.3356e-7,4
Cycloheptanon,-30.3,37.136,6657.4,2164.1,3.2462,5.2959,135.16,0.26447,31.268,0.50569,26.99,44.033,-44332.0,719.28,-62.667,1.7574,-45551.0,2114.7,-65.83,5.4522,90.0,250.0,0.99992,0.0001406,0.0001406,4
Benzaldehyd,-95.228,18.448,10380.0,1066.3,12.508,2.6346,131.11,0.12478,30.696,0.29652,104.0,21.905,-44266.0,428.48,-63.592,1.0583,-48541.0,997.69,-74.744,2.5771,90.0,250.0,0.99998,3.4797e-5,3.4797e-5,4
Phenol,-162.51,2.2765,15111.0,139.79,21.935,0.32185,160.93,0.017317,33.712,0.02895,182.38,2.676,-46473.0,40.08,-61.151,0.092036,-59409.0,194.09,-93.691,0.48636,90.0,250.0,1.0,5.193e-7,5.193e-7,4
4-Fluoranilin,-143.92,6.7982,13829.0,412.76,19.334,0.96286,155.39,0.054873,33.129,0.062481,160.75,8.0056,-46091.0,87.727,-61.645,0.20331,-56603.0,531.08,-88.261,1.3414,90.0,250.0,1.0,4.6477e-6,4.6477e-6,4
Anilin,-144.65,1.9677,13829.0,118.89,19.442,0.27892,152.97,0.016082,32.753,0.016046,161.65,2.3191,-46094.0,22.848,-62.264,0.05315,-56274.0,147.9,-88.113,0.37475,90.0,250.0,1.0,3.9001e-7,3.9001e-7,4
Dibenzylamine,-309.13,Inf,26854.0,Inf,42.203,Inf,362.46,Inf,13401.0,Inf,350.89,Inf,-250.65,Inf,45.514,Inf,-95854.0,Inf,-150.9,Inf,90.0,250.0,0.99904,0.0016296,Inf,3
Benzonitril,-108.22,20.321,11188.0,1198.8,14.393,2.8919,141.22,0.16419,32.869,0.22236,119.67,24.044,-43434.0,295.84,-58.91,0.71032,-49563.0,1267.3,-74.7,3.252,90.0,250.0,0.99997,4.1925e-5,4.1925e-5,4
N-Methylaniline,-142.5,6.5773,13780.0,393.98,19.085,0.93365,148.72,0.05204,31.065,0.046559,158.68,7.7628,-47635.0,72.353,-67.005,0.1698,-56953.0,461.84,-90.789,1.1763,90.0,250.0,1.0,4.37e-6,4.37e-6,4
Acetophenon,-106.43,15.944,11553.0,960.52,14.004,2.261,151.55,0.1293,32.176,0.12096,116.44,18.799,-46609.0,177.5,-63.837,0.4139,-53776.0,1171.2,-82.068,2.9731,90.0,250.0,0.99999,2.5629e-5,2.5629e-5,4
p-Cresol,-165.72,1.5472,15680.0,96.752,22.293,0.21812,169.79,0.011155,33.794,0.030101,185.36,1.8135,-48271.0,43.064,-63.07,0.097108,-63060.0,151.02,-99.885,0.37312,90.0,250.0,1.0,2.385e-7,2.385e-7,4
Benzyl alcohol,-160.05,1.859,15021.0,113.98,21.56,0.26289,160.16,0.014031,33.067,0.021832,179.26,2.1858,-47211.0,31.321,-63.046,0.072023,-59789.0,156.6,-94.712,0.39286,90.0,250.0,1.0,3.4647e-7,3.4647e-7,4
"2,4-Dimethylphenol",-187.28,5.7036,17050.0,353.0,25.298,0.80535,164.77,0.039288,32.114,0.080077,210.34,6.696,-49652.0,124.13,-67.473,0.28291,-65380.0,516.04,-106.85,1.2855,90.0,250.0,1.0,3.2515e-6,3.2515e-6,4
"1,2,4-Trichlorbenzol",-91.65,Inf,10184.0,Inf,11.862,Inf,109.25,Inf,25.889,Inf,98.628,Inf,-46963.0,Inf,-76.904,Inf,-48861.0,Inf,-81.997,Inf,90.0,250.0,1.0,1.7291e-23,Inf,3
2-Nitrophenol,-137.0,1.5622,13166.0,93.748,18.42,0.22168,149.64,0.013198,33.236,0.012537,153.15,1.8431,-44718.0,17.097,-59.86,0.040032,-53853.0,111.32,-83.15,0.28322,90.0,250.0,1.0,2.4636e-7,2.4636e-7,4
Naphthalen,-126.68,3.1344,12680.0,187.63,16.897,0.44498,148.41,0.025541,31.982,0.023593,140.49,3.6998,-46199.0,34.537,-63.684,0.081117,-54405.0,218.95,-84.636,0.55787,90.0,250.0,1.0,9.9266e-7,9.9266e-7,4
"1,3-Dibromobenzene",-19.263,Inf,5900.4,Inf,1.6055,Inf,114.65,Inf,28.495,Inf,13.349,Inf,-43882.0,Inf,-67.248,Inf,-44211.0,Inf,-68.125,Inf,90.0,250.0,1.0,6.777e-27,Inf,3
4-Chlorphenol,-174.41,7.0231,16525.0,466.33,23.535,0.98135,198.12,0.20982,40.876,0.4434,195.68,8.1594,-45176.0,491.69,-49.952,1.0407,-66333.0,1012.5,-100.95,2.3707,90.0,250.0,1.0,4.828e-6,4.828e-6,4
4-Chloranilin,-176.95,9.8177,16378.0,641.41,23.969,1.375,190.62,0.21059,40.876,0.53109,199.29,11.432,-43749.0,569.79,-48.425,1.2264,-63801.0,1285.7,-97.166,3.0557,90.0,250.0,1.0,9.478e-6,9.478e-6,4
Chinolin,-205.87,23.929,17899.0,1539.5,28.117,3.3588,183.38,0.35834,41.168,1.1071,233.78,27.927,-42092.0,1133.9,-46.293,2.4806,-63921.0,2846.7,-99.788,6.8594,90.0,250.0,0.99998,5.6557e-5,5.6557e-5,4
2-Methylnaphthalen,-174.08,2.7645,15856.0,169.66,23.558,0.39088,160.63,0.020917,33.382,0.0339,195.87,3.2499,-46867.0,47.808,-62.134,0.10984,-60701.0,234.59,-96.945,0.58811,90.0,250.0,1.0,7.6594e-7,7.6594e-7,4
"1,2,4,5-Tetrachlorbenzol",66.277,182.48,1050.3,10368.0,-10.602,26.14,122.56,1.4834,29.85,3.9826,-88.153,217.34,-43616.0,5828.4,-64.313,14.711,-40745.0,9164.6,-56.743,23.761,90.0,250.0,0.99822,0.0034255,0.0034255,4
Valerophenone,-206.73,42.474,18331.0,2647.3,28.033,5.9907,168.19,0.29323,32.689,0.72406,233.08,49.809,-49542.0,1099.3,-66.346,2.4875,-67766.0,4048.5,-111.8,10.029,90.0,250.0,0.99993,0.00017991,0.00017991,4
