Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
3-Chlorophenol,88.446,Inf,233.44,Inf,-13.903,Inf,139.72,Inf,28.536,Inf,-115.59,Inf,-49666.0,Inf,-76.453,Inf,-43919.0,Inf,-61.62,Inf,90.0,195.0,1.0,3.4377e-28,Inf,3
Dibenzylamine,-89.32,0.37224,12316.0,25.841,11.223,0.051691,219.13,0.01947,35.684,0.023289,93.316,0.42979,-56465.0,37.121,-70.86,0.074996,-68515.0,66.914,-99.25,0.15089,90.0,195.0,1.0,1.3395e-8,1.3395e-8,4
"1,2,4-Trichlorbenzol",-37.388,Inf,7155.5,Inf,4.2029,Inf,139.25,Inf,31.366,Inf,34.945,Inf,-45082.0,Inf,-65.476,Inf,-46803.0,Inf,-69.92,Inf,90.0,195.0,1.0,6.3889999999999995e-28,Inf,3
2-Nitrophenol,-12.726,Inf,5628.2,Inf,0.70252,Inf,135.43,Inf,31.255,Inf,5.8411,Inf,-44409.0,Inf,-64.848,Inf,-44675.0,Inf,-65.537,Inf,90.0,195.0,1.0,8.7176e-26,Inf,3
Naphthalene,-38.895,Inf,7272.8,Inf,4.4249,Inf,142.85,Inf,31.859,Inf,36.791,Inf,-45164.0,Inf,-64.725,Inf,-47109.0,Inf,-69.724,Inf,90.0,195.0,1.0,4.1346e-26,Inf,3
"1,3-Dibromobenzene",-19.146,Inf,6151.6,Inf,1.5973,Inf,142.88,Inf,31.542,Inf,13.28,Inf,-45623.0,Inf,-65.821,Inf,-46325.0,Inf,-67.626,Inf,90.0,195.0,1.0,4.4733e-26,Inf,3
4-Chlorphenol,-45.359,Inf,7988.8,Inf,5.2003,Inf,140.87,Inf,29.373,Inf,43.238,Inf,-48522.0,Inf,-73.354,Inf,-50721.0,Inf,-79.022,Inf,90.0,195.0,1.0,2.1928e-27,Inf,3
4-Chloranilin,-85.54,Inf,10231.0,Inf,11.008,Inf,147.98,Inf,31.699,Inf,91.524,Inf,-46518.0,Inf,-66.618,Inf,-51824.0,Inf,-80.175,Inf,90.0,195.0,1.0,2.1384000000000002e-24,Inf,3
Chinolin,-12.24,0.0021796,5937.4,0.13214,0.59983,0.00030878,154.66,1.7248e-5,32.217,1.8534e-5,4.9873,0.0025673,-47233.0,0.027438,-66.565,6.3671e-5,-47555.0,0.16825,-67.382,0.00042546,90.0,195.0,1.0,4.7798e-13,4.7798e-13,4
2-Methylnaphthalen,-32.292,8.3497,7264.8,511.34,3.423,1.181,159.6,0.062233,32.381,0.09234,28.46,9.8191,-48086.0,137.82,-67.275,0.31727,-50067.0,697.24,-72.266,1.7508,90.0,195.0,1.0,6.9918e-6,6.9918e-6,4
"1,2,4,5-Tetrachlorbenzol",-54.674,18.209,8679.7,1124.6,6.5924,2.572,163.72,0.13006,32.908,0.2559,54.813,21.385,-48221.0,376.07,-66.536,0.85894,-52262.0,1620.9,-76.667,4.0448,90.0,195.0,0.99998,3.3164e-5,3.3164e-5,4
Valerophenone,-61.556,12.714,9475.8,788.79,7.4366,1.7945,165.97,0.083824,31.05,0.17658,61.832,14.92,-51635.0,294.3,-73.745,0.66907,-56332.0,1171.2,-85.49,2.9122,90.0,195.0,0.99999,1.6144e-5,1.6144e-5,4
Cinnamaldehyde,-56.383,17.657,8825.0,1078.7,6.7917,2.4983,158.44,0.13066,31.604,0.17436,56.469,20.772,-49004.0,271.98,-69.702,0.62737,-52869.0,1447.5,-79.452,3.6411,90.0,195.0,0.99999,3.1291e-5,3.1291e-5,4
Butyl benzoate,-58.356,12.298,9350.6,764.61,6.9631,1.7352,167.01,0.080085,30.822,0.17619,57.894,14.427,-52262.0,299.35,-74.893,0.67907,-56721.0,1150.8,-86.027,2.8567,90.0,195.0,0.99999,1.5094e-5,1.5094e-5,4
Diphenylether,-48.681,0.047771,8748.3,3.0218,5.642,0.0067224,175.39,0.00038073,32.357,0.0010308,46.91,0.055893,-51696.0,1.6492,-71.413,0.003673,-55702.0,5.0499,-81.319,0.012362,90.0,195.0,1.0,2.2655e-10,2.2655e-10,4
Acenaphthylene,-55.048,2.4997,9029.4,161.95,6.6372,0.35049,186.94,0.038746,35.424,0.088802,55.185,2.9141,-49684.0,124.83,-64.147,0.27087,-55034.0,308.9,-77.204,0.74085,90.0,195.0,1.0,6.1583e-7,6.1583e-7,4
1-Bromonaphthalene,-66.197,3.9099,9777.9,255.6,8.2097,0.5475,191.2,0.076213,36.142,0.15946,68.259,4.5521,-49602.0,219.46,-62.98,0.47164,-56510.0,510.45,-79.759,1.2145,90.0,195.0,1.0,1.5027e-6,1.5027e-6,4
Dibenzofuran,-68.715,6.3827,10082.0,420.44,8.5297,0.89277,194.81,0.14587,35.958,0.27725,70.92,7.4229,-50636.0,391.69,-64.363,0.83499,-58069.0,871.47,-82.346,2.0596,90.0,195.0,1.0,3.9957e-6,3.9957e-6,4
1-Naphthol,-97.117,7.1221,11995.0,468.59,12.481,0.9964,194.17,0.15601,35.444,0.30013,103.78,8.2845,-51231.0,435.16,-65.784,0.92902,-62042.0,967.24,-91.957,2.2875,90.0,195.0,1.0,4.9771e-6,4.9771e-6,4
"1,3-Dinitrobenzol",-76.976,1.9326,10788.0,125.82,9.6014,0.27078,189.24,0.031952,33.678,0.065751,79.831,2.2514,-52784.0,103.31,-70.313,0.22301,-60707.0,246.25,-89.6,0.58796,90.0,195.0,1.0,3.6758e-7,3.6758e-7,4
Fluorene,-70.4,7.1104,10384.0,478.21,8.7432,0.99164,204.58,0.24428,36.771,0.38315,72.695,8.245,-51606.0,540.32,-64.182,1.127,-59936.0,1089.3,-84.117,2.5274,90.0,195.0,1.0,4.9298e-6,4.9298e-6,4
Diphenylamine,-87.798,0.0028842,11920.0,0.19551,11.059,0.0004018,208.18,0.00010706,35.119,0.00015077,91.949,0.0033408,-54850.0,0.23673,-70.113,0.00048986,-65717.0,0.46098,-96.019,0.0010618,90.0,195.0,1.0,8.0936e-13,8.0936e-13,4
1-Nitronaphthalene,-71.77,6.7674,10704.0,461.32,8.8849,0.94204,210.87,0.28527,36.583,0.39618,73.873,7.8326,-53245.0,580.02,-66.163,1.1931,-62173.0,1111.6,-87.387,2.5485,90.0,195.0,1.0,4.4489e-6,4.4489e-6,4
Benzophenone,-69.661,1.7189,10797.0,116.93,8.5085,0.23934,209.94,0.067139,34.902,0.090142,70.744,1.99,-55596.0,144.41,-71.24,0.29765,-64081.0,279.28,-91.43,0.64153,90.0,195.0,1.0,2.8718e-7,2.8718e-7,4
2-phenylethenylbenzene,-72.687,7.837,11160.0,541.46,8.91,1.0889,217.1,0.38436,35.387,0.46546,74.082,9.054,-56469.0,748.02,-71.344,1.5178,-65885.0,1374.6,-93.575,3.1144,90.0,195.0,1.0,5.9447e-6,5.9447e-6,4
Hexachlorbenzol,-77.093,6.6042,11121.0,458.74,9.6441,0.91701,219.47,0.37223,38.099,0.47105,80.186,7.6244,-52961.0,659.68,-63.665,1.3317,-63342.0,1189.7,-88.116,2.6818,90.0,195.0,1.0,4.2156e-6,4.2156e-6,4
Phenanthrene,-75.543,8.5668,11264.0,612.67,9.4033,1.185,232.68,0.68656,39.317,0.75157,78.184,9.8529,-54108.0,1044.7,-63.126,2.0499,-65263.0,1756.8,-89.035,3.8607,90.0,195.0,1.0,7.04e-6,7.04e-6,4
Dibutyl Phthalate,-105.98,9.2646,14622.0,675.71,13.267,1.2785,241.13,0.76298,33.912,0.66184,110.31,10.63,-64847.0,1280.1,-82.249,2.468,-81518.0,2063.8,-120.63,4.4564,90.0,195.0,1.0,8.1942e-6,8.1942e-6,4
Carbazole,-91.398,4.0445,12692.0,294.57,11.529,0.55823,240.51,0.37815,38.973,0.37947,95.86,4.6414,-56290.0,554.32,-65.743,1.0701,-70718.0,895.89,-98.982,1.9369,90.0,195.0,1.0,1.5622e-6,1.5622e-6,4
Fluoranthene,-83.662,9.2338,12544.0,713.74,10.441,1.2655,266.32,1.4449,42.11,1.2286,86.815,10.522,-57462.0,1704.5,-62.674,3.1207,-72769.0,2537.7,-97.033,5.2217,90.0,195.0,1.0,8.0282e-6,8.0282e-6,4
Pyrene,-80.289,0.55278,12413.0,43.473,9.9719,0.075608,273.74,0.098026,42.976,0.080069,82.911,0.62864,-57864.0,109.79,-61.964,0.19804,-73098.0,160.62,-95.91,0.32596,90.0,195.0,1.0,2.8658e-8,2.8658e-8,4
4-Methyl-2-Nitrophenol,-62.667,Inf,8964.5,Inf,7.7464,Inf,152.95,Inf,32.056,Inf,64.407,Inf,-47091.0,Inf,-66.676,Inf,-51146.0,Inf,-76.971,Inf,90.0,195.0,1.0,7.1848e-23,Inf,3
2-Nitrotoluol,0.66489,Inf,5179.0,Inf,-1.319,Inf,139.46,Inf,29.747,Inf,-10.967,Inf,-47585.0,Inf,-71.485,Inf,-47043.0,Inf,-70.085,Inf,90.0,195.0,1.0,1.0759e-28,Inf,3
Butyrophenone,-22.875,Inf,6854.9,Inf,1.9809,Inf,150.95,Inf,29.903,Inf,16.471,Inf,-50010.0,Inf,-74.078,Inf,-51013.0,Inf,-76.633,Inf,90.0,195.0,1.0,1.2861e-23,Inf,3
Indole,-57.528,14.998,8977.2,924.88,6.9461,2.1189,163.01,0.10507,31.986,0.19236,57.753,17.617,-49451.0,298.34,-69.535,0.68237,-53668.0,1320.6,-80.116,3.299,90.0,195.0,0.99999,2.2508e-5,2.2508e-5,4
Biphenyl,-57.886,18.358,9155.7,1153.9,6.9856,2.5858,172.31,0.13438,32.833,0.36779,58.081,21.5,-50252.0,563.74,-68.966,1.2641,-55033.0,1857.5,-80.832,4.5708,90.0,195.0,0.99999,3.352e-5,3.352e-5,4
"2,4-Dinitrotoluol",-89.255,6.5629,11802.0,436.26,11.293,0.9168,199.05,0.17163,34.466,0.2852,93.894,7.6227,-53790.0,446.83,-70.071,0.94354,-64029.0,944.55,-94.727,2.2138,90.0,195.0,1.0,4.2137e-6,4.2137e-6,4
Benzyl benzoate,-72.751,7.6724,11563.0,538.3,8.8212,1.0639,224.17,0.44183,34.465,0.46909,73.343,8.8457,-59667.0,818.99,-76.134,1.6364,-69508.0,1444.7,-99.195,3.2298,90.0,195.0,1.0,5.6743e-6,5.6743e-6,4
