Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
Ethylbenzene,-40.709,Inf,6540.7,Inf,5.1791,Inf,127.29,Inf,35.899,Inf,43.061,Inf,-37139.0,Inf,-37.366,Inf,-38745.0,Inf,-41.575,Inf,90.0,781.0,1.0,6.0692e-22,Inf,3
Xylen (m),-4.2175,Inf,4447.9,Inf,-0.023981,Inf,130.4,Inf,36.534,Inf,-0.19939,Inf,-37063.0,Inf,-36.462,Inf,-37055.0,Inf,-36.441,Inf,90.0,781.0,1.0,1.1238e-23,Inf,3
Nonane,-33.033,Inf,6468.1,Inf,3.9585,Inf,133.31,Inf,34.0,Inf,32.912,Inf,-40401.0,Inf,-44.017,Inf,-41826.0,Inf,-47.725,Inf,90.0,781.0,1.0,2.9707000000000004e-25,Inf,3
Anisol,-1.6458,Inf,4380.4,Inf,-0.40097,Inf,135.57,Inf,36.761,Inf,-3.3338,Inf,-37783.0,Inf,-37.064,Inf,-37631.0,Inf,-36.67,Inf,90.0,781.0,1.0,7.4348e-26,Inf,3
Cyclohexanone,13.885,Inf,3074.2,Inf,-2.492,Inf,126.03,Inf,39.161,Inf,-20.719,Inf,-33831.0,Inf,-29.372,Inf,-33085.0,Inf,-27.412,Inf,90.0,781.0,1.0,1.9209e-20,Inf,3
Bromobenzene,67.747,62.864,207.26,3757.8,-10.191,8.9266,147.72,0.63109,39.394,0.70296,-84.734,74.22,-37386.0,676.48,-33.45,1.5907,-32495.0,4336.3,-20.95,11.063,90.0,781.0,0.99969,0.00039947,0.00039947,4
Propylbenzol,58.31,41.632,975.28,2493.6,-8.9271,5.9096,148.71,0.39801,37.535,0.41813,-74.224,49.135,-39421.0,445.39,-38.067,1.0447,-35063.0,2918.3,-26.944,7.4364,90.0,781.0,0.99988,0.00017508,0.00017508,4
Cyclohexanol,-89.214,Inf,9081.6,Inf,12.201,Inf,124.36,Inf,37.343,Inf,101.45,Inf,-35182.0,Inf,-33.126,Inf,-38667.0,Inf,-42.297,Inf,90.0,781.0,1.0,5.7576e-29,Inf,3
p-Chlorotoluene,59.832,37.164,811.21,2237.4,-9.1037,5.271,151.22,0.36155,38.526,0.40224,-75.692,43.825,-38867.0,411.16,-36.207,0.9594,-34233.0,2713.9,-24.414,6.8945,90.0,781.0,0.9999,0.00013928,0.00013928,4
"2,4,6-Trimethylpyridine",33.814,7.9227,2558.7,478.09,-5.4791,1.1233,152.37,0.07354,37.026,0.081595,-45.555,9.3392,-40659.0,90.696,-40.173,0.21122,-37818.0,589.42,-32.953,1.4951,90.0,781.0,1.0,6.3251e-6,6.3251e-6,4
Octanal,-1766.8,2256.3,109470.0,130360.0,250.35,322.27,130.69,9.6899,19.495,16.225,2081.6,2679.5,-69558.0,57986.0,-116.86,143.41,-154270.0,125670.0,-337.95,323.22,90.0,781.0,0.71384,0.52065,0.52065,4
2-Octanone,712.31,Inf,-37329.0,Inf,-102.11,Inf,147.16,Inf,31.615,Inf,-848.97,Inf,-46461.0,Inf,-55.16,Inf,2067.0,Inf,68.941,Inf,90.0,781.0,1.0,4.9976000000000005e-24,Inf,3
"1,3-Dichlorobenzene",33.13,19.575,2489.5,1210.6,-5.2883,2.7643,164.41,0.16799,39.859,0.41851,-43.969,22.983,-39938.0,420.46,-35.895,0.95899,-36666.0,1761.0,-27.699,4.39,90.0,781.0,0.99997,3.8306e-5,3.8306e-5,4
Decan,25.664,34.388,3319.8,2084.5,-4.4177,4.8719,154.58,0.29689,35.12,0.34796,-36.731,40.507,-43313.0,433.34,-45.885,1.0058,-40941.0,2651.3,-39.873,6.7055,90.0,781.0,0.99993,0.00011899,0.00011899,4
3-Chlorophenol,-27.342,12.116,6362.4,766.44,3.2457,1.7049,175.43,0.12259,41.012,0.41989,26.987,14.175,-40794.0,418.25,-35.562,0.9314,-43100.0,1281.3,-41.263,3.1364,90.0,781.0,0.99999,1.4572e-5,1.4572e-5,4
Cycloheptanon,14.82,7.8039,3380.7,474.73,-2.6442,1.105,156.32,0.076791,40.84,0.1162,-21.985,9.1872,-37551.0,107.68,-32.055,0.24926,-36092.0,618.73,-28.367,1.5611,90.0,781.0,1.0,6.1208e-6,6.1208e-6,4
Benzaldehyde,48.567,21.396,1310.3,1269.7,-7.4658,3.042,144.12,0.212,39.343,0.2731,-62.074,25.292,-36796.0,258.14,-32.804,0.61376,-33437.0,1392.6,-24.181,3.5665,90.0,781.0,0.99996,4.639e-5,4.639e-5,4
"1,2-Dichlorobenzene",4.2353,22.087,4204.3,1380.4,-1.1607,3.1139,169.54,0.19525,41.537,0.63596,-9.6504,25.89,-39229.0,601.61,-33.235,1.3573,-38461.0,2145.4,-31.323,5.3044,90.0,781.0,0.99997,4.861e-5,4.861e-5,4
Phenol,94.406,Inf,-1397.4,Inf,-14.045,Inf,130.81,Inf,38.163,Inf,-116.77,Inf,-35553.0,Inf,-32.631,Inf,-30787.0,Inf,-20.194,Inf,90.0,781.0,1.0,1.1684e-24,Inf,3
4-Fluoroaniline,-53.986,62.97,7370.3,3729.3,7.1196,8.9555,143.12,0.61931,39.324,0.87548,59.196,74.46,-36639.0,822.96,-32.637,1.9639,-39784.0,4041.5,-40.719,10.355,90.0,781.0,0.99967,0.00040206,0.00040206,4
Aniline,-52.478,54.554,7211.1,3234.8,6.9356,7.757,143.73,0.55135,40.231,0.76834,57.665,64.495,-35916.0,692.48,-30.776,1.6493,-39015.0,3534.9,-38.733,9.0522,90.0,781.0,0.99974,0.00030165,0.00030165,4
Dibenzylamine,-46.11,Inf,9627.3,Inf,5.5931,Inf,278.07,Inf,46.428,Inf,46.504,Inf,-54412.0,Inf,-43.333,Inf,-63158.0,Inf,-62.74,Inf,90.0,781.0,1.0,4.8864000000000005e-27,Inf,3
Iodobenzene,20.46,25.18,3240.1,1591.2,-3.4448,3.5438,174.93,0.25577,41.971,0.8918,-28.641,29.465,-39773.0,846.32,-33.385,1.8867,-37341.0,2641.6,-27.366,6.4733,90.0,781.0,0.99995,6.296e-5,6.296e-5,4
Benzonitril,-25.527,42.947,5647.0,2545.2,3.089,6.1072,143.47,0.42868,39.808,0.59474,25.683,50.778,-36252.0,546.72,-31.636,1.3031,-37625.0,2769.7,-35.164,7.0954,90.0,781.0,0.99984,0.00018698,0.00018698,4
Undecan,8.0908,22.087,4684.3,1393.1,-1.9508,3.1094,174.03,0.18628,35.987,0.55975,-16.22,25.853,-46201.0,719.65,-47.937,1.6076,-44838.0,2288.4,-44.561,5.616,90.0,781.0,0.99997,4.8469e-5,4.8469e-5,4
N-Methylaniline,-27.222,8.1634,6121.6,508.33,3.2844,1.1516,167.76,0.071673,41.596,0.21976,27.308,9.5746,-38858.0,205.68,-32.753,0.46584,-40981.0,772.4,-38.051,1.9152,90.0,781.0,1.0,6.6479e-6,6.6479e-6,4
Acetophenone,-23.595,12.817,5906.3,796.0,2.7639,1.8087,166.48,0.11179,41.2,0.32055,22.98,15.038,-39005.0,304.12,-33.342,0.69066,-40762.0,1189.7,-37.734,2.956,90.0,781.0,0.99999,1.64e-5,1.64e-5,4
