Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
"1,2-Dibromoethane",-115.81,154.22,11243.0,9233.6,15.851,21.893,148.5,1.5321,38.995,1.7292,131.79,182.03,-37908.0,1703.4,-34.525,4.0002,-45617.0,10791.0,-54.209,27.49,90.0,781.0,0.99817,0.0024029,0.0024029,4
Chlorbenzol,1.0464,Inf,4139.7,Inf,-0.72426,Inf,141.65,Inf,38.752,Inf,-6.0218,Inf,-36917.0,Inf,-33.62,Inf,-36606.0,Inf,-32.819,Inf,90.0,781.0,1.0,5.5737e-24,Inf,3
Anisol,2.0294,27.493,4477.5,1693.7,-0.92919,3.8849,162.5,0.23571,38.874,0.50981,-7.7257,32.301,-40594.0,534.17,-37.8,1.223,-40034.0,2402.1,-36.394,6.0057,90.0,781.0,0.99995,7.5662e-5,7.5662e-5,4
Cyclohexanone,-25.477,1.3887,5706.4,85.229,3.126,0.19634,160.67,0.013609,43.262,0.028977,25.991,1.6325,-36170.0,24.333,-27.996,0.055907,-38007.0,117.92,-32.618,0.29563,90.0,781.0,1.0,1.9326e-7,1.9326e-7,4
Bromobenzene,-17.349,8.5955,5455.0,534.38,1.9082,1.2128,166.98,0.076233,41.974,0.22798,15.866,10.084,-38372.0,208.84,-31.805,0.47378,-39594.0,803.87,-34.855,1.9957,90.0,781.0,0.99999,7.374e-6,7.374e-6,4
Cyclohexanol,-59.09,14.512,8317.7,905.21,7.7036,2.0466,168.58,0.12184,39.702,0.36881,64.052,17.016,-40864.0,380.27,-37.128,0.85972,-45897.0,1390.4,-49.676,3.4426,90.0,781.0,0.99999,2.0998e-5,2.0998e-5,4
p-Chlorotoluene,-13.296,1.7987,5211.3,110.41,1.3085,0.25431,160.77,0.016497,40.548,0.033192,10.88,2.1144,-38608.0,31.741,-33.597,0.072914,-39378.0,152.97,-35.534,0.38345,90.0,781.0,1.0,3.2421e-7,3.2421e-7,4
"2,4,6-Trimethylpyridine",-1.0769,29.695,4756.1,1837.9,-0.51348,4.1929,164.78,0.24522,38.503,0.60162,-4.2693,34.862,-41414.0,648.77,-39.189,1.4786,-41095.0,2686.6,-38.389,6.6932,90.0,781.0,0.99994,8.8135e-5,8.8135e-5,4
Octanal,-24.436,1.9736,5935.9,118.78,2.8269,0.27993,151.07,0.01895,37.994,0.02065,23.504,2.3275,-39383.0,21.693,-37.457,0.050628,-40819.0,143.8,-41.111,0.36533,90.0,781.0,1.0,3.9285e-7,3.9285e-7,4
2-Octanone,-29.683,9.3668,6291.1,562.21,3.5499,1.3292,149.74,0.08887,37.335,0.093525,29.516,11.051,-39825.0,101.16,-38.796,0.23674,-41589.0,667.93,-43.291,1.6996,90.0,781.0,0.99999,8.8566e-6,8.8566e-6,4
"1,3-Dichlorobenzene",-40.557,6.3031,7047.5,400.59,5.1684,0.88634,177.67,0.073847,43.082,0.25922,42.973,7.3694,-39223.0,236.35,-31.626,0.52369,-42990.0,688.0,-40.918,1.6775,90.0,781.0,1.0,3.9384e-6,3.9384e-6,4
3-Chlorophenol,-97.776,Inf,13708.0,Inf,12.687,Inf,302.87,Inf,51.841,Inf,105.48,Inf,-53215.0,Inf,-37.005,Inf,-75670.0,Inf,-85.668,Inf,90.0,781.0,1.0,5.699500000000001e-29,Inf,3
Cycloheptanon,-42.367,4.5742,7018.0,294.89,5.5,0.64183,184.54,0.082333,46.545,0.26528,45.73,5.3365,-37421.0,213.7,-26.381,0.46622,-41744.0,548.02,-36.962,1.32,90.0,781.0,1.0,2.0652e-6,2.0652e-6,4
Benzaldehyde,-55.396,1.0644,8191.6,70.41,7.2532,0.14879,196.79,0.034,46.173,0.079321,60.306,1.2371,-39768.0,68.56,-29.245,0.14551,-46208.0,148.94,-44.791,0.35065,90.0,781.0,1.0,1.1098e-7,1.1098e-7,4
"1,2-Dichlorobenzene",-36.45,12.024,6956.9,785.27,4.5791,1.6839,190.76,0.28295,44.534,0.73289,38.072,14.001,-40180.0,663.05,-31.232,1.4263,-44017.0,1559.2,-40.556,3.7139,90.0,781.0,0.99999,1.4216e-5,1.4216e-5,4
Phenol,-90.788,10.342,12133.0,776.11,11.873,1.4225,252.97,1.4647,47.023,1.592,98.714,11.827,-48943.0,1679.3,-37.647,3.1601,-65031.0,2575.8,-74.242,5.4248,90.0,781.0,1.0,1.0144e-5,1.0144e-5,4
4-Fluoroaniline,-95.783,8.686,11867.0,623.65,12.689,1.2011,233.71,0.85596,47.269,1.1486,105.5,9.9867,-45189.0,1108.6,-33.775,2.1716,-60351.0,1823.3,-68.953,3.9861,90.0,781.0,1.0,7.2325e-6,7.2325e-6,4
Aniline,-84.483,8.6814,10856.0,610.45,11.165,1.2036,224.69,0.68721,46.777,1.0113,92.829,10.007,-44053.0,960.12,-33.109,1.9169,-56555.0,1660.7,-62.392,3.6997,90.0,781.0,1.0,7.2624e-6,7.2624e-6,4
Dibenzylamine,-114.37,Inf,14491.0,Inf,15.146,Inf,327.16,Inf,66.746,Inf,125.93,Inf,-44891.0,Inf,-19.401,Inf,-74755.0,Inf,-82.695,Inf,90.0,781.0,1.0,2.1141e-28,Inf,3
