Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
"1,3-Dichlorobenzene",157.36,Inf,-4289.7,Inf,-23.641,Inf,110.63,Inf,30.793,Inf,-196.56,Inf,-39770.0,Inf,-57.718,Inf,-35715.0,Inf,-46.858,Inf,90.0,250.0,1.0,8.2225e-24,Inf,3
3-Chlorophenol,-14.736,10.577,6229.6,631.73,0.90065,1.5021,147.31,0.081418,30.215,0.071203,7.4885,12.489,-48647.0,116.18,-69.792,0.27357,-49076.0,725.13,-70.889,1.8504,90.0,250.0,0.99999,1.1311e-5,1.1311e-5,4
Cycloheptanon,78.496,Inf,274.54,Inf,-12.343,Inf,117.97,Inf,29.982,Inf,-102.63,Inf,-42422.0,Inf,-62.555,Inf,-39552.0,Inf,-54.94,Inf,90.0,250.0,1.0,1.5106e-26,Inf,3
Benzaldehyde,152.88,Inf,-4127.3,Inf,-22.968,Inf,109.03,Inf,31.408,Inf,-190.96,Inf,-38666.0,Inf,-55.265,Inf,-35032.0,Inf,-45.511,Inf,90.0,250.0,1.0,6.9674e-23,Inf,3
"1,2-Dichlorobenzene",92.4,Inf,-614.51,Inf,-14.29,Inf,118.27,Inf,30.771,Inf,-118.81,Inf,-41397.0,Inf,-59.853,Inf,-38038.0,Inf,-50.947,Inf,90.0,250.0,1.0,2.4632999999999998e-26,Inf,3
4-Fluoroaniline,100.04,Inf,-860.67,Inf,-15.468,Inf,117.55,Inf,29.454,Inf,-128.61,Inf,-43091.0,Inf,-64.383,Inf,-39548.0,Inf,-54.979,Inf,90.0,250.0,1.0,2.187e-26,Inf,3
Aniline,108.86,Inf,-1465.6,Inf,-16.708,Inf,113.94,Inf,29.957,Inf,-138.92,Inf,-41588.0,Inf,-61.528,Inf,-38262.0,Inf,-52.658,Inf,90.0,250.0,1.0,5.618e-24,Inf,3
Dibenzylamine,-77.751,4.375,11869.0,310.26,9.5893,0.60583,228.95,0.29306,35.739,0.30432,79.73,5.0371,-58651.0,504.08,-70.903,0.99697,-69730.0,864.73,-96.735,1.9146,90.0,250.0,1.0,1.84e-6,1.84e-6,4
Iodobenzene,14.085,Inf,3949.0,Inf,-3.0997,Inf,122.69,Inf,30.273,Inf,-25.772,Inf,-43036.0,Inf,-62.812,Inf,-42193.0,Inf,-60.59,Inf,90.0,250.0,1.0,3.4265999999999995e-21,Inf,3
Benzonitril,127.84,Inf,-2638.0,Inf,-19.379,Inf,114.89,Inf,30.844,Inf,-161.13,Inf,-40590.0,Inf,-58.694,Inf,-36579.0,Inf,-48.01,Inf,90.0,250.0,1.0,4.0945e-24,Inf,3
N-Methylaniline,-41.569,100.68,7658.8,5795.0,4.6771,14.388,129.05,0.62607,27.998,1.4732,38.887,119.63,-48038.0,2532.1,-73.53,6.2874,-49556.0,5314.3,-77.502,13.742,90.0,250.0,0.99949,0.0010378,0.0010378,4
Acetophenone,-14.44,2.8044,5882.8,161.51,0.89108,0.40075,129.32,0.01822,29.322,0.044498,7.4089,3.332,-45930.0,69.825,-68.214,0.17326,-46222.0,148.45,-68.976,0.38385,90.0,250.0,1.0,8.0512e-7,8.0512e-7,4
4-Methylphenol,75.512,Inf,781.86,Inf,-12.014,Inf,125.78,Inf,28.548,Inf,-99.892,Inf,-46351.0,Inf,-70.279,Inf,-42777.0,Inf,-60.892,Inf,90.0,250.0,1.0,8.29e-25,Inf,3
Benzyl alcohol,110.67,Inf,-1431.7,Inf,-16.972,Inf,123.2,Inf,29.666,Inf,-141.12,Inf,-44028.0,Inf,-65.176,Inf,-39343.0,Inf,-52.832,Inf,90.0,250.0,1.0,5.0891e-21,Inf,3
"2,4-Dimethylphenol",3.5898,20.404,5055.5,1196.8,-1.7198,2.9066,138.38,0.14251,29.386,0.20422,-14.299,24.167,-47918.0,334.67,-70.531,0.81024,-47226.0,1216.1,-68.743,3.1291,90.0,250.0,0.99998,4.2354e-5,4.2354e-5,4
"1,2,4-Trichlorbenzol",-0.86683,14.719,5150.5,874.51,-0.98377,2.0922,144.72,0.11679,31.397,0.11781,-8.1795,17.395,-46241.0,175.43,-64.751,0.41639,-45794.0,967.91,-63.603,2.4768,90.0,250.0,0.99999,2.1944e-5,2.1944e-5,4
2-Nitrophenol,-66.286,12.597,8928.7,744.41,8.3437,1.7922,142.04,0.098478,31.546,0.11961,69.373,14.901,-45434.0,173.61,-63.522,0.41572,-49045.0,794.9,-72.813,2.0388,90.0,250.0,0.99999,1.6103e-5,1.6103e-5,4
Naphthalene,14.899,12.559,4258.6,755.63,-3.2101,1.7815,150.91,0.10165,31.998,0.092947,-26.69,14.812,-46726.0,137.57,-64.281,0.32116,-45101.0,912.54,-60.142,2.3189,90.0,250.0,0.99999,1.591e-5,1.591e-5,4
"1,3-Dibromobenzene",11.682,29.445,4437.3,1767.6,-2.7536,4.1782,149.82,0.2389,31.935,0.21446,-22.894,34.739,-46577.0,317.17,-64.212,0.7421,-45208.0,2101.9,-60.721,5.3484,90.0,250.0,0.99996,8.7516e-5,8.7516e-5,4
4-Chlorphenol,-21.514,32.13,6651.6,1925.1,1.865,4.5606,148.87,0.24846,30.369,0.21264,15.507,37.919,-48761.0,346.21,-69.634,0.81187,-49673.0,2259.0,-71.963,5.7542,90.0,250.0,0.99995,0.00010427,0.00010427,4
4-Chloranilin,0.19649,28.218,5404.0,1718.8,-1.1938,3.9946,156.97,0.2108,31.264,0.25405,-9.9256,33.213,-49201.0,402.71,-68.481,0.93122,-48536.0,2260.4,-66.801,5.6977,90.0,250.0,0.99996,7.9995e-5,7.9995e-5,4
