Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric
"2,4,6-Trimethylpyridine",-216.82,Inf,17394.0,Inf,29.763,Inf,112.38,Inf,25.107,Inf,247.46,Inf,-49222.0,Inf,-81.766,Inf,-54760.0,Inf,-96.564,Inf,90.0,250.0,1.0,3.6269e-24,Inf,3
Octanal,-223.44,Inf,17852.0,Inf,30.681,Inf,113.42,Inf,24.941,Inf,255.1,Inf,-49818.0,Inf,-82.964,Inf,-55793.0,Inf,-98.908,Inf,90.0,250.0,1.0,1.5512e-24,Inf,3
2-Octanone,-138.12,Inf,12954.0,Inf,18.468,Inf,110.5,Inf,25.078,Inf,153.55,Inf,-48799.0,Inf,-81.288,Inf,-51947.0,Inf,-89.721,Inf,90.0,250.0,1.0,1.4752e-23,Inf,3
"1,3-Dichlorobenzene",68.152,Inf,565.95,Inf,-10.744,Inf,116.32,Inf,31.932,Inf,-89.327,Inf,-39496.0,Inf,-55.501,Inf,-37145.0,Inf,-49.251,Inf,90.0,250.0,1.0,6.0359e-25,Inf,3
3-Chlorophenol,11.033,35.665,4615.4,2125.0,-2.7358,5.0671,146.12,0.27654,30.506,0.25303,-22.746,42.13,-47911.0,402.39,-68.364,0.9508,-46635.0,2398.3,-65.095,6.1284,90.0,250.0,0.99994,0.00012871,0.00012871,4
Cycloheptanon,-85.052,Inf,9460.0,Inf,11.125,Inf,118.53,Inf,30.066,Inf,92.498,Inf,-42425.0,Inf,-62.407,Inf,-45064.0,Inf,-69.403,Inf,90.0,250.0,1.0,5.6709e-21,Inf,3
Benzaldehyde,-61.289,Inf,7999.0,Inf,7.7197,Inf,109.6,Inf,29.041,Inf,64.185,Inf,-41941.0,Inf,-63.671,Inf,-43199.0,Inf,-67.044,Inf,90.0,250.0,1.0,1.8244e-23,Inf,3
"1,2-Dichlorobenzene",-16.101,Inf,5497.7,Inf,1.2896,Inf,122.05,Inf,31.312,Inf,10.723,Inf,-41473.0,Inf,-59.033,Inf,-41816.0,Inf,-59.94,Inf,90.0,250.0,1.0,2.0248e-20,Inf,3
4-Fluoroaniline,-6.3996,Inf,4952.8,Inf,-0.14282,Inf,114.63,Inf,30.025,Inf,-1.1874,Inf,-41641.0,Inf,-61.475,Inf,-41611.0,Inf,-61.397,Inf,90.0,250.0,1.0,3.4443000000000003e-25,Inf,3
Aniline,-37.446,Inf,6675.5,Inf,4.2939,Inf,109.93,Inf,29.172,Inf,35.702,Inf,-41826.0,Inf,-63.276,Inf,-42538.0,Inf,-65.183,Inf,90.0,250.0,1.0,2.6298e-23,Inf,3
Dibenzylamine,-72.966,14.702,11310.0,1040.4,8.9949,2.0364,228.02,0.99573,36.927,1.0797,74.788,16.932,-56554.0,1668.8,-66.936,3.307,-66877.0,2878.4,-91.027,6.3856,90.0,250.0,0.99999,2.079e-5,2.079e-5,4
Iodobenzene,128.18,83.69,-2962.5,4767.4,-19.25,11.983,123.86,0.7213,33.679,2.2348,-160.06,99.629,-38912.0,2585.9,-52.105,6.5061,-33492.0,4248.5,-37.835,11.009,90.0,250.0,0.99957,0.00071981,0.00071981,4
Benzonitril,-8.514,Inf,4957.8,Inf,0.20563,Inf,113.86,Inf,30.704,Inf,1.7097,Inf,-40559.0,Inf,-58.893,Inf,-40600.0,Inf,-59.001,Inf,90.0,250.0,1.0,1.7479e-24,Inf,3
Undecan,755.49,Inf,-40280.0,Inf,-108.4,Inf,114.43,Inf,86.688,Inf,-901.27,Inf,-14407.0,Inf,8.7348,Inf,7606.3,Inf,67.402,Inf,90.0,250.0,1.0,5.3891e-23,Inf,3
N-Methylaniline,142.01,97.583,-3512.0,5602.2,-21.31,13.953,127.74,0.70515,31.944,1.9839,-177.18,116.01,-41831.0,2602.1,-58.436,6.4828,-35143.0,5091.3,-40.916,13.176,90.0,250.0,0.99948,0.00097594,0.00097594,4
Acetophenone,88.389,54.665,-389.45,3146.7,-13.657,7.8123,129.08,0.38476,31.701,1.0265,-113.55,64.955,-42434.0,1376.5,-59.589,3.4176,-37997.0,2887.0,-47.982,7.4669,90.0,250.0,0.99983,0.00030597,0.00030597,4
4-Methylphenol,21.083,Inf,3683.7,Inf,-4.1462,Inf,124.72,Inf,29.681,Inf,-34.474,Inf,-44344.0,Inf,-65.547,Inf,-43147.0,Inf,-62.399,Inf,90.0,250.0,1.0,4.6101999999999997e-23,Inf,3
Benzyl alcohol,-10.028,Inf,5259.5,Inf,0.36677,Inf,120.6,Inf,30.31,Inf,3.0495,Inf,-42529.0,Inf,-62.102,Inf,-42622.0,Inf,-62.349,Inf,90.0,250.0,1.0,3.0746e-20,Inf,3
"2,4-Dimethylphenol",51.815,47.065,2052.7,2765.2,-8.5142,6.7026,139.2,0.34549,30.563,0.48098,-70.791,55.728,-46258.0,732.1,-66.272,1.7679,-42775.0,2837.6,-57.277,7.2982,90.0,250.0,0.99989,0.00022522,0.00022522,4
"1,2,4-Trichlorbenzol",31.931,28.203,3152.3,1693.5,-5.599,4.0018,149.93,0.23221,32.42,0.21168,-46.553,33.273,-45905.0,303.94,-62.594,0.71095,-43115.0,2016.7,-55.484,5.1313,90.0,250.0,0.99996,8.0283e-5,8.0283e-5,4
Naphthalene,34.826,36.455,2892.5,2197.3,-5.9669,5.1695,151.79,0.30522,33.266,0.29775,-49.611,42.982,-45132.0,409.13,-60.3,0.95369,-42066.0,2686.7,-52.505,6.8202,90.0,250.0,0.99993,0.00013397,0.00013397,4
"1,3-Dibromobenzene",28.41,38.945,3301.5,2348.8,-5.0643,5.522,152.1,0.32426,33.15,0.31855,-42.107,45.912,-45356.0,441.3,-60.75,1.0282,-42741.0,2884.7,-54.103,7.3197,90.0,250.0,0.99992,0.00015286,0.00015286,4
4-Chlorphenol,10.151,44.642,4662.3,2663.6,-2.6044,6.341,146.81,0.34823,30.64,0.31213,-21.654,52.722,-47858.0,493.96,-68.052,1.1648,-46628.0,3035.3,-64.905,7.7503,90.0,250.0,0.9999,0.00020157,0.00020157,4
4-Chloranilin,5.8295,38.346,4793.2,2317.4,-1.908,5.4352,153.1,0.30975,32.407,0.30959,-15.864,45.191,-46615.0,450.44,-63.452,1.0477,-45614.0,2887.0,-60.91,7.3158,90.0,250.0,0.99993,0.0001481,0.0001481,4
Chinolin,2.8305,25.412,4971.5,1562.2,-1.44,3.592,161.48,0.19194,33.749,0.33762,-11.973,29.865,-46539.0,467.38,-61.169,1.0722,-45683.0,2185.4,-59.018,5.4724,90.0,250.0,0.99997,6.4681e-5,6.4681e-5,4
2-Methylnaphthalen,-8.8243,25.982,5877.8,1626.1,0.17869,3.6622,170.23,0.18889,33.903,0.51199,1.4857,30.449,-48212.0,729.24,-62.829,1.6428,-48331.0,2549.5,-63.125,6.2961,90.0,250.0,0.99997,6.7234e-5,6.7234e-5,4
"1,2,4,5-Tetrachlorbenzol",-15.238,25.211,6424.1,1595.9,1.0559,3.5472,175.75,0.21339,33.867,0.59997,8.7792,29.493,-49472.0,877.7,-64.3,1.9531,-50225.0,2677.1,-66.161,6.5502,90.0,250.0,0.99997,6.3081e-5,6.3081e-5,4
Valerophenone,-30.922,25.275,7646.7,1597.6,3.1747,3.5571,175.04,0.19823,32.275,0.53518,26.396,29.575,-51748.0,859.31,-69.552,1.9152,-53993.0,2657.9,-75.106,6.5108,90.0,250.0,0.99997,6.3431e-5,6.3431e-5,4
