Number,Name
Ethylbenzol,Ethylbenzene
Nonan,Nonane
2-Octanon,2-Octanone
Anilin,Aniline
Acetophenon,Acetophenone
Naphthalen,Naphthalene
Indol,Indole
Anthracen,Anthracene
cinnamaldehyde,Cinnamaldehyde
Acenaphthylen,Acenaphthylene
Fluoren,Fluorene
Phenanthren,Phenanthrene
Pyren,Pyrene
Benzaldehyd,Benzaldehyde
1-decanol,1-Decanol
4-Fluoranilin,4-Fluoroaniline
Cyclohexanon,Cyclohexanone
p-Cresol,4-Methylphenol
2-chloroaniline,2-Chloroaniline
Dibutylphthalate,Dibutyl Phthalate
Benzylbenzoat,Benzyl benzoate
