Compound\T [°C] ->;120;140;160;180
3-Chlorophenol;1.29029371;0.82922753;0.43922182;0.09218746
Phenol;0.46254566;0.07481413;-0.245046;
4-Fluoranilin;0.16609774;-0.1656687;-0.4386364;
Anilin;0.05976576;-0.2661096;-0.5442423;
Dibenzylamine;1.7610407;1.30503368;0.9180295;0.58471808
N-Methylaniline;0.21521975;-0.138882;-0.457203;
Acetophenon;0.11479911;-0.2162251;-0.5130608;
p-Cresol;0.66952044;0.26305428;-0.0920164;-0.4279596
Benzyl alcohol;0.34265624;-0.0359214;-0.3677446;
2,4-Dimethylphenol;0.77769416;0.35876458;-0.0017456;-0.3277754
1,2,4-Trichlorbenzol;0.33913966;0.04740099;-0.2925767;
2-Nitrophenol;0.34015849;0.0063004;-0.2797826;
Naphthalen;0.40645619;0.07307811;-0.2157367;-0.4953761
1,3-Dibromobenzene;0.39646416;0.0812631;-0.2291096;-0.5132877
4-Chlorphenol;1.223101;0.784508;0.40680312;0.06059115
4-Chloranilin;0.79695457;0.41124991;0.08285303;-0.215988
Chinolin;0.61832666;0.26918822;-0.0293664;-0.296844
2-Methylnaphthalen;0.66346488;0.31379061;0.01489743;-0.262162
1,2,4,5-Tetrachlorbenzol;0.67218898;0.31661287;0.01657749;-0.2650562
Valerophenone;0.7956401;0.41693482;0.09854447;-0.1899813
cinnamaldehyde;0.77763699;0.40190121;0.09027461;-0.1669862
Butyl benzoate;0.78424721;0.40891481;0.0897082;-0.2023709
Diphenylether;0.93527467;0.54239862;0.21542556;-0.0842583
Acenaphthylen;1.1075712;0.73103215;0.40728078;0.11429373
1-Bromonaphthalene;1.16101932;0.77940726;0.45465839;0.1611141
Dibenzofuran;1.25365147;0.86151931;0.52740187;0.22831997
1-Naphthol;2.02292837;1.51350583;1.07791642;0.69368012
1,3-Dinitrobenzol;1.35069139;0.93568949;0.58223389;0.26400553
Fluoren;1.39651916;0.99652135;0.65381214;0.34697147
Diphenylamine;1.75426387;1.27884387;0.87787426;0.52429604
1-Nitronaphthalene;1.58199609;1.16001738;0.79856838;0.47723808
Benzophenone;1.55244501;1.12453976;0.76344601;0.43949199
2-phenylethenylbenzene;1.72820165;1.28526749;0.90606306;0.56836274
Hexachlorbenzol;1.5130126;1.10757698;0.76302533;0.4511208
Phenanthren;1.90083988;1.46431599;1.0924625;0.75474804
Dibutylphthalate;;1.79689151;1.35227155;0.96411917
Carbazole;;2.08236274;1.62293395;1.2159517
Fluoranthene;;2.04420433;1.62582568;1.25327189
Pyren;;2.14406488;1.7224544;1.3458822
4-Methyl-2-Nitrophenol;0.60936494;0.24965229;-0.0424217;-0.3141968
2-Nitrotoluol;0.37228725;0.03476211;-0.2600017;
Butyrophenone;0.54721379;0.18748953;-0.1184261;-0.4006651
Indol;1.26443591;0.82932918;0.45897855;0.12716757
Biphenyl;0.87703267;0.50367883;0.1864765;-0.101181
2,4-Dinitrotoluol;1.50316457;1.07319406;0.70505915;0.38238195
Benzylbenzoat;1.89345424;1.42967703;1.02998413;0.68148215
Benzo[h]quinoline;1.9495536;1.50808806;1.12899613;0.7931091
Anthracen;1.91966596;1.48256993;1.10698671;0.77286136
Acridine;1.99016715;1.5424429;1.16345943;0.82010653
Diphenylsulfoxide;;1.77128206;1.3651755;1.00453302
1-Methylanthracene;2.18982076;1.72978452;1.32639666;0.97338507
2,4,6-Trichlorophenol;1.26207177;0.81433598;0.44042407;0.11267423
Diethyl phthalate;1.45260594;1.01487074;0.64257284;0.31355402
Dibenzothiophene;1.83786724;1.40639218;1.04711938;0.69946046
Anthrachinon;;1.90652397;1.49529994;1.13763301
2,3-Dimethylphenol;0.88065577;0.45795122;0.09589844;-0.2458072
Coumarin;1.27261506;0.86347321;0.54234747;0.25004175
