Compound\T [°C] ->;120;140;160;180
Cyclohexanon;-0.002948;-0.2758786;-0.5080797;-0.7383738
3-Chlorophenol;1.14572721;0.77309067;0.45706295;0.19002559
Cycloheptanon;0.2207255;-0.0697059;-0.3192821;-0.555067
Benzaldehyd;0.16426869;-0.1234654;-0.3670681;-0.5836224
Phenol;0.6304579;0.29535816;0.01184391;-0.2265484
4-Fluoranilin;0.53803581;0.21437893;-0.0586356;-0.2924541
Anilin;0.50203386;0.18129245;-0.0903761;-0.3214364
Dibenzylamine;;1.99061231;1.53339291;1.19487129
Benzonitril;0.30488569;0.01438324;-0.2293724;-0.4449366
N-Methylaniline;0.45215625;0.12574299;-0.1500754;-0.3866096
Acetophenon;0.47911985;0.1612153;-0.109086;-0.3478734
p-Cresol;0.79249076;0.43458666;0.13093471;-0.1257185
Benzyl alcohol;0.62719322;0.28836983;0.00231334;-0.2399557
2,4-Dimethylphenol;0.74053263;0.37459604;0.06536509;-0.1924817
1,2,4-Trichlorbenzol;-0.1734949;-0.4624785;-0.7132559;
2-Nitrophenol;0.43816563;0.13123225;-0.1299246;-0.3512555
Naphthalen;0.43178893;0.11824623;-0.1508472;-0.3802937
1,3-Dibromobenzene;-0.0803045;-0.3612317;-0.6146571;
4-Chlorphenol;1.17326872;0.79758861;0.4774395;0.20844612
4-Chloranilin;1.03498394;0.67684187;0.37222462;0.11860311
Chinolin;0.91910062;0.5706641;0.27480764;0.03700882
2-Methylnaphthalen;0.63447355;0.29392855;0.00851188;-0.2316742
1,2,4,5-Tetrachlorbenzol;0.0322896;-0.2307039;-0.5334207;-0.7639507
Valerophenone;0.80213812;0.43097103;0.10899284;-0.1471741
Butyl benzoate;0.6530641;0.28525064;-0.0252813;-0.2965167
Diphenylether;0.62122868;0.26880403;-0.026005;-0.2734655
Acenaphthylen;1.27486337;0.9007863;0.58027164;0.10120552
1-Bromonaphthalene;0.9906861;0.63393311;0.32992767;0.0739022
Dibenzofuran;1.1880771;0.80987889;0.48812346;0.21812088
1,3-Dinitrobenzol;1.84632494;1.43731063;1.08667733;0.77502384
Fluoren;1.39407673;0.99751081;0.65709131;0.36347567
Diphenylamine;1.82110928;1.36282893;0.97532567;0.65037733
1-Nitronaphthalene;1.8266863;1.41026763;1.05576394;0.74269356
Benzophenone;1.72629955;1.29713519;0.93139684;0.61093907
2-phenylethenylbenzene;1.73271267;1.27752318;0.8955548;0.56261855
Hexachlorbenzol;0.41310997;0.39505933;0.0921081;-0.1748557
Phenanthren;2.05715898;1.61496104;1.2379128;0.90688836
Dibutylphthalate;;1.86391793;1.40523534;1.00475809
4-Methyl-2-Nitrophenol;0.62735074;0.29644423;0.02181907;-0.2201108
2-Nitrotoluol;0.53348533;0.21290229;-0.0880304;-0.3000687
Butyrophenone;0.65071246;0.30089581;0.00676907;-0.25925
Indol;;1.26943936;0.92865579;0.63142707
Biphenyl;;0.39370664;0.08945118;-0.1806519
2,4-Dinitrotoluol;1.92760835;1.50211649;1.13540295;0.81372689
Benzylbenzoat;1.95628985;1.48292522;1.07912439;0.72969694
Benzo[h]quinoline;;1.65904663;1.27937074;0.95091504
Anthracen;2.05791231;1.615088;1.23440373;0.90536957
Acridine;;1.76678761;1.38371048;1.06240995
1-Methylanthracene;;1.79612788;1.39179506;1.04400938
2,4,6-Trichlorophenol;;0.4430369;0.12799788;-0.1504665
Diethyl phthalate;1.95114507;1.48230256;1.07880587;0.72836278
Dibenzothiophene;1.86757004;1.44013938;1.07113672;0.75820093
Anthrachinon;;2.09601394;1.67324883;1.30347708
1-Benzofuran;-0.1260084;-0.4349608;-0.709745;
2,3-Dimethylphenol;0.86966823;0.49580959;0.17984984;-0.1031759
Coumarin;;1.57245958;1.21569826;0.89399048
