Compound\T [°C] ->;120;140;160;180
Ethylbenzol;0.09021813;-0.1479372;-0.3590702;
Xylen (m);0.12692636;-0.1114431;-0.3278232;
Nonan;0.17675481;-0.0838197;-0.3164869;
Anisol;0.19110218;-0.0517798;-0.2726218;
Cyclohexanon;0.06779974;-0.1502936;-0.3506667;
Bromobenzene;0.3184399;0.08034983;-0.1273073;-0.3443889
Propylbenzol;0.34773274;0.09831193;-0.1246014;-0.3481425
Cyclohexanol;0.051595;-0.171105;-0.3613905;
p-Chlorotoluene;0.36911368;0.12518941;-0.0942188;-0.3133804
2,4,6-Trimethylpyridine;0.40348258;0.14765372;-0.0875628;-0.3092245
Octanal;0.34773274;-0.3780103;-0.131398;-0.3611532
2-Octanon;0.29769694;0.09348639;-0.191024;
1,3-Dichlorobenzene;0.52546088;0.2760884;0.0502893;-0.1660609
Decan;0.45915724;0.18239752;-0.0630834;-0.30103
3-Chlorophenol;0.68287065;0.4111763;0.17122738;-0.048245
Cycloheptanon;0.41754533;0.17886844;-0.0380647;-0.2405087
Benzaldehyd;0.27731826;0.04384762;-0.1690621;-0.3761713
1,2-Dichlorobenzene;0.58018534;0.32777173;0.10393921;-0.1076973
Phenol;0.12419103;-0.1037335;-0.3242487;
4-Fluoranilin;0.27379741;0.04051037;-0.1827218;-0.3611532
Anilin;0.27538533;0.04565718;-0.1720607;-0.3481425
Dibenzylamine;2.2287503;1.83228269;1.48202025;1.16563902
Iodobenzene;0.63513313;0.3847014;0.16133309;-0.0528046
Benzonitril;0.27238104;0.04203048;-0.1765977;-0.360377
Undecan;0.73489521;0.43978836;0.17642858;-0.0719361
N-Methylaniline;0.56868604;0.31306474;0.08187247;-0.1235879
Acetophenon;0.55530527;0.30052821;0.06824642;-0.1372892
p-Cresol;0.42309549;0.17037013;-0.0549655;-0.2597603
Benzyl alcohol;0.39833826;0.15520275;-0.0630834;-0.2603759
2,4-Dimethylphenol;0.68507032;0.41389186;0.17236339;-0.0444816
1,2,4-Trichlorbenzol;0.99036466;0.70613215;0.45461391;0.22548642
2-Nitrophenol;0.75601464;0.49029268;0.25346905;0.0391113
Naphthalen;1.00366998;0.7231579;0.47543073;0.24592758
1,3-Dibromobenzene;1.03620022;0.75374047;0.50235708;0.27327178
4-Chlorphenol;0.69031803;0.41735853;0.1797874;-0.0359475
4-Chloranilin;0.84580895;0.57249062;0.33227363;0.11049531
Chinolin;1.07400405;0.8766853;0.53574545;0.30456703
2-Methylnaphthalen;1.28420645;0.97745958;0.70639745;0.45787247
1,2,4,5-Tetrachlorbenzol;1.41366881;1.09561087;0.81439042;0.55795296
Valerophenone;1.31805695;0.99217345;0.70533463;0.44349451
cinnamaldehyde;1.05826578;0.76387738;0.50394616;0.26618332
Butyl benzoate;1.36018042;1.02645872;0.73265614;0.46546624
Diphenylether;1.46345006;1.13397136;0.84316548;0.57887475
Acenaphthylen;1.64900866;1.31778678;1.0255541;0.76072538
1-Bromonaphthalene;1.74068856;1.40300554;1.10521234;0.83413735
Dibenzofuran;1.79850176;1.45229767;1.14576633;0.86858677
1-Naphthol;1.58958071;1.25247745;0.95868155;0.69222077
1,3-Dinitrobenzol;1.40239286;1.08311957;0.7998705;0.54290683
Fluoren;1.96324614;1.60414454;1.28621946;0.99755785
Diphenylamine;1.95155956;1.58055714;1.25399583;0.95835695
1-Nitronaphthalene;1.89492887;1.53979634;1.22668101;0.9430505
Benzophenone;1.959847;1.58905398;1.26232015;0.96679942
2-phenylethenylbenzene;2.24026292;1.84322654;1.49387979;1.1774421
Hexachlorbenzol;;1.83646835;1.59483796;1.2816987
Phenanthren;2.41612371;2.0215585;1.67334534;1.358673
Dibutylphthalate;;2.22384412;1.8151813;1.44843661
Carbazole;;1.98331823;1.63525403;1.3213164
Pyren;;2.67619781;2.27823647;1.9223786
4-Methyl-2-Nitrophenol;1.05988867;0.76800372;0.50930594;0.27327178
2-Nitrotoluol;0.79460315;0.52167349;0.28029601;0.05070131
Butyrophenone;1.05383;0.75214607;0.48646846;0.24148907
Indol;1.04214664;0.75497652;0.50235708;0.27019615
Biphenyl;1.45526406;1.12952815;0.84209889;0.58038844
2,4-Dinitrotoluol;1.62813886;1.28526792;0.98401822;0.71045217
Benzylbenzoat;2.30493367;1.89487605;1.53486004;1.21060352
Benzo[h]quinoline;2.40129908;2.00662577;1.6597323;1.3466454
Anthracen;2.43519833;2.03830897;1.68985161;1.37406563
Acridine;2.41696351;2.02042763;1.67205478;1.35714491
Diphenylsulfoxide;2.42615795;2.02089945;1.66585713;1.34722359
1-Methylanthracene;;2.30222358;1.46052053;1.59059603
2,4,6-Trichlorophenol;1.35469864;1.03944312;0.76176083;0.50874991
Diethyl phthalate;1.76733178;1.39144581;1.0619724;0.76510427
Dibenzothiophene;2.35369247;1.96215308;1.61850727;1.30952072
Anthrone;;2.27873776;1.91023745;1.57522023
1-Benzofuran;0.44580409;0.20025807;-0.0225073;-0.2215106
2,3-Dimethylphenol;0.76139673;0.48703708;0.24318264;0.02176874
Coumarin;1.42705063;1.11211355;0.83436092;0.58419379
