Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,beta0,Tref,R²_ABC,R²_Kcentric,χ²_ABC,χ²_Kcentric,χ̄²_ABC,χ̄²_Kcentric,n_ABC,n_Kcentric,approx_equal,WLS,Cat_1
C8,-129.24,9823.1,18.032,45.508,24.905,149.92,-27229.0,-40.879,250.0,90.0,0.99964,0.99964,0.00027766,0.00027766,0.00013883,0.00013883,5,5,true,false,alkane
C9,-84.84,8125.4,11.395,65.781,26.946,94.747,-33151.0,-52.133,250.0,90.0,0.99993,0.99993,0.00019241,0.00019241,4.8102e-5,4.8102e-5,7,7,true,false,alkane
C10,-78.094,8310.9,10.273,85.071,27.71,85.412,-38083.0,-60.411,250.0,90.0,0.99998,0.99998,0.00011411,0.00011411,2.2821e-5,2.2821e-5,8,8,true,false,alkane
C11,-79.759,8905.5,10.388,102.86,28.28,86.37,-42679.0,-67.648,250.0,90.0,1.0,1.0,3.7853e-5,3.7853e-5,6.3088e-6,6.3088e-6,9,9,true,false,alkane
C12,-84.548,9645.4,10.966,119.42,28.859,91.18,-47084.0,-74.299,250.0,90.0,1.0,1.0,6.2149e-5,6.2149e-5,7.7686e-6,7.7686e-6,11,11,true,false,alkane
C13,-85.281,10156.0,10.965,134.92,29.312,91.168,-51331.0,-80.478,250.0,90.0,1.0,1.0,5.3795e-5,5.3795e-5,6.7244e-6,6.7244e-6,11,11,true,false,alkane
C14,-91.662,10916.0,11.802,149.73,30.18,98.129,-55126.0,-85.534,250.0,90.0,0.99984,0.99984,0.0026315,0.0026315,0.00032894,0.00032894,11,11,true,false,alkane
C15,-102.52,12032.0,13.238,163.32,30.464,110.07,-60064.0,-93.459,250.0,90.0,0.99996,0.99996,0.00065132,0.00065132,8.1415e-5,8.1415e-5,11,11,true,false,alkane
C16,-97.152,12156.0,12.381,176.25,30.635,102.94,-63691.0,-97.996,250.0,90.0,0.99996,0.99996,0.00043985,0.00043985,6.2835e-5,6.2835e-5,10,10,true,false,alkane
C17,-103.86,12977.0,13.248,188.54,31.069,110.15,-67900.0,-104.09,250.0,90.0,0.99998,0.99998,0.00020236,0.00020236,2.8908e-5,2.8908e-5,10,10,true,false,alkane
C18,-108.07,13647.0,13.76,200.23,31.415,114.41,-71919.0,-109.71,250.0,90.0,0.99999,0.99999,0.0001138,0.0001138,1.6258e-5,1.6258e-5,10,10,true,false,alkane
C19,-107.18,13990.0,13.556,211.31,31.618,112.71,-75391.0,-113.97,250.0,90.0,0.99999,0.99999,7.6216e-5,7.6216e-5,1.0888e-5,1.0888e-5,10,10,true,false,alkane
C20,-108.39,14459.0,13.652,221.86,31.821,113.51,-78994.0,-118.6,250.0,90.0,0.99999,0.99999,6.8308e-5,6.8308e-5,9.7583e-6,9.7583e-6,10,10,true,false,alkane
C21,-107.02,14744.0,13.391,231.93,31.968,111.34,-82154.0,-122.19,250.0,90.0,1.0,1.0,5.4123e-5,5.4123e-5,7.7319e-6,7.7319e-6,10,10,true,false,alkane
C22,-109.28,15265.0,13.637,241.56,32.126,113.38,-85749.0,-126.85,250.0,90.0,1.0,1.0,6.8187e-5,6.8187e-5,8.5233e-6,8.5233e-6,11,11,true,false,alkane
C23,-108.91,15595.0,13.522,250.79,32.255,112.43,-88840.0,-130.36,250.0,90.0,1.0,1.0,5.039e-5,5.039e-5,6.2987e-6,6.2987e-6,11,11,true,false,alkane
C24,-110.2,16029.0,13.641,259.66,32.403,113.42,-92086.0,-134.29,250.0,90.0,1.0,1.0,2.29e-5,2.29e-5,3.2715e-6,3.2715e-6,10,10,true,false,alkane
C25,-112.36,16516.0,13.881,268.17,32.555,115.42,-95404.0,-138.42,250.0,90.0,1.0,1.0,1.7413e-5,1.7413e-5,2.9022e-6,2.9022e-6,9,9,true,false,alkane
C26,-111.42,16783.0,13.694,276.33,32.609,113.85,-98199.0,-141.35,250.0,90.0,1.0,1.0,1.9788e-6,1.9788e-6,3.9576e-7,3.9576e-7,8,8,true,false,alkane
C27,-117.93,17574.0,14.537,284.24,32.804,120.87,-102220.0,-147.15,250.0,90.0,1.0,1.0,1.6875e-6,1.6875e-6,3.3749e-7,3.3749e-7,8,8,true,false,alkane
C28,-127.22,18565.0,15.762,291.9,33.056,131.05,-106770.0,-154.16,250.0,90.0,1.0,1.0,5.761e-7,5.761e-7,1.4402e-7,1.4402e-7,7,7,true,false,alkane
C29,-135.87,19498.0,16.903,299.42,33.386,140.54,-111080.0,-160.67,250.0,90.0,1.0,1.0,7.0302e-7,7.0302e-7,2.3434e-7,2.3434e-7,6,6,true,false,alkane
C30,-147.13,20629.0,18.4,306.72,33.763,152.99,-115960.0,-168.49,250.0,90.0,1.0,1.0,6.7404e-6,6.7404e-6,2.2468e-6,2.2468e-6,6,6,true,false,alkane
