Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,beta0,Tref,R²_ABC,R²_Kcentric,χ²_ABC,χ²_Kcentric,χ̄²_ABC,χ̄²_Kcentric,n_ABC,n_Kcentric,approx_equal,WLS,Cat_1
Limonene,-74.181,8351.1,9.7139,106.13,30.826,80.766,-62166.0,-172.57,250.0,90.0,1.0,1.0,5.8208,5.8208,1.4552,1.4552,7,7,true,true,allergenic fragrances
Linalool,-82.835,9490.6,10.753,120.73,29.521,89.407,-70863.0,-197.01,250.0,90.0,1.0,1.0,6.1097,6.1097,1.2219,1.2219,8,8,true,true,allergenic fragrances
Benzylalkohol,-76.74,9038.2,9.9708,129.21,32.208,82.902,-67686.0,-182.11,250.0,90.0,1.0,1.0,8.8191,8.8191,1.4699,1.4699,9,9,true,true,allergenic fragrances
Geraniol,-89.403,10661.0,11.532,150.48,31.071,95.886,-80013.0,-215.98,250.0,90.0,1.0,1.0,7.3314,7.3314,1.2219,1.2219,9,9,true,true,allergenic fragrances
Citral A,-89.556,10672.0,11.566,152.75,31.569,96.161,-80074.0,-215.74,250.0,90.0,1.0,1.0,6.9955,6.9955,1.3991,1.3991,8,8,true,true,allergenic fragrances
Citral B,-93.347,11075.0,12.06,157.45,31.522,100.27,-83062.0,-224.64,250.0,90.0,1.0,1.0,7.0542,7.0542,1.4108,1.4108,8,8,true,true,allergenic fragrances
Cinnamaldehyde,-82.921,10554.0,10.626,174.35,34.533,88.349,-79800.0,-203.54,250.0,90.0,1.0,1.0,6.6141,6.6141,1.1023,1.1023,9,9,true,true,allergenic fragrances
Eugenol,-87.661,11063.0,11.236,178.4,34.044,93.422,-83573.0,-215.05,250.0,90.0,1.0,1.0,7.6819,7.6819,1.2803,1.2803,9,9,true,true,allergenic fragrances
Isomethyl-alpha-Ionon,-89.65,11383.0,11.476,184.72,34.207,95.419,-86058.0,-220.61,250.0,90.0,1.0,1.0,6.7723,6.7723,1.1287,1.1287,9,9,true,true,allergenic fragrances
Isoeugenol,-86.912,11441.0,11.053,193.83,34.727,91.897,-86856.0,-217.21,250.0,90.0,1.0,1.0,8.0126,8.0126,1.1447,1.1447,10,10,true,true,allergenic fragrances
Unknown_1,-111.53,13860.0,14.299,210.33,33.648,118.89,-104540.0,-273.44,250.0,90.0,1.0,1.0,5.9461,5.9461,1.1892,1.1892,8,8,true,true,allergenic fragrances
Unknown_2,-112.48,14002.0,14.422,213.64,33.941,119.91,-105630.0,-275.75,250.0,90.0,1.0,1.0,7.0942,7.0942,1.1824,1.1824,9,9,true,true,allergenic fragrances
Unknown_3,-109.75,13778.0,14.083,219.96,35.581,117.1,-104020.0,-268.49,250.0,90.0,1.0,1.0,6.9127,6.9127,1.1521,1.1521,9,9,true,true,allergenic fragrances
Benzylbenzoate,-96.868,13296.0,12.262,241.68,37.958,101.95,-101370.0,-244.67,250.0,90.0,1.0,1.0,9.626,9.626,1.3751,1.3751,10,10,true,true,allergenic fragrances
Benzylsalicylate,-95.503,13472.0,12.036,252.79,38.731,100.07,-103010.0,-243.67,250.0,90.0,1.0,1.0,8.4389,8.4389,1.2056,1.2056,10,10,true,true,allergenic fragrances
Benzylcinnamate,-109.16,15364.0,13.755,278.49,39.134,114.36,-117450.0,-278.65,250.0,90.0,0.99999,0.99999,5.9143,5.9143,1.4786,1.4786,7,7,true,true,allergenic fragrances
