Compound\T [°C] ->,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,Cat
C8,-0.53922,-0.86091,-1.16876,-1.40898,-1.65887,,,,,,,,,,,,,,,,,,alkane
C9,0.22275,-0.15382,-0.50698,-0.80754,-1.10058,-1.36363,-1.62016,,,,,,,,,,,,,,,,alkane
C10,1.00371,0.57656,0.17857,-0.17168,-0.50782,-0.81428,-1.10427,-1.37502,,,,,,,,,,,,,,,alkane
C11,1.79175,1.31763,0.87668,0.47998,0.10346,-0.24516,-0.56898,-0.87075,-1.15097,,,,,,,,,,,,,,alkane
C12,2.5823,2.0622,1.57943,1.14004,0.725,0.33896,-0.02106,-0.35583,-0.66735,-0.95233,-1.22027,,,,,,,,,,,,alkane
C13,,2.80786,2.2825,1.80337,1.35038,0.92938,0.53465,0.16874,-0.17393,-0.48783,-0.78521,-1.06541,,,,,,,,,,,alkane
C14,,,2.94504,2.46702,1.9775,1.52156,1.09467,0.69734,0.32567,-0.01833,-0.34178,-0.64431,-0.88022,,,,,,,,,,alkane
C15,,,,3.1287,2.60345,2.11368,1.65494,1.22755,0.82696,0.45548,0.10555,-0.2211,-0.49679,-0.8128,,,,,,,,,alkane
C16,,,,,,2.70466,2.2146,1.75765,1.32918,0.9307,0.5556,0.20502,-0.10218,-0.43368,-0.72606,,,,,,,,alkane
C17,,,,,,,2.77168,2.28593,1.83009,1.40563,1.00531,0.63062,0.29357,-0.05106,-0.36194,-0.64272,,,,,,,alkane
C18,,,,,,,,2.81233,2.32968,1.87898,1.45472,1.0568,0.69366,0.33324,0.00151,-0.29885,-0.5922,,,,,,alkane
C19,,,,,,,,,2.826,2.3504,1.90252,1.48251,1.09352,0.71643,0.36569,0.04542,-0.26463,-0.56241,,,,,alkane
C20,,,,,,,,,,2.82038,2.34869,1.90569,1.49419,1.09858,0.7292,0.39012,0.06276,-0.24989,-0.54358,,,,alkane
C21,,,,,,,,,,,2.79192,2.32732,1.89284,1.47966,1.09148,0.73379,0.38896,0.06176,-0.24545,-0.54026,,,alkane
C22,,,,,,,,,,,3.23422,2.74765,2.29118,1.8588,1.45285,1.07666,0.71598,0.373,0.05122,-0.25636,-0.54918,,alkane
C23,,,,,,,,,,,,3.16481,2.68716,2.23674,1.81194,1.41837,1.04141,0.68334,0.34672,0.02597,-0.27949,-0.56738,alkane
C24,,,,,,,,,,,,,3.0812,2.61305,2.16981,1.75771,1.36571,0.99136,0.64074,0.30699,-0.01045,-0.31189,alkane
C25,,,,,,,,,,,,,,2.98657,2.52403,2.09516,1.68748,1.29946,0.93391,0.5857,0.2565,-0.05631,alkane
C26,,,,,,,,,,,,,,,2.87883,2.43261,2.00817,1.60565,1.22588,0.86455,0.52237,0.19751,alkane
C27,,,,,,,,,,,,,,,3.23116,2.76667,2.32774,1.90974,1.51633,1.14143,0.78702,0.45051,alkane
C28,,,,,,,,,,,,,,,,3.10125,2.64532,2.21352,1.80472,1.41695,1.04947,0.70215,alkane
C29,,,,,,,,,,,,,,,,,2.96045,2.51302,2.0915,1.69112,1.3123,0.95275,alkane
C30,,,,,,,,,,,,,,,,,3.27576,2.81182,2.37838,1.96247,1.57163,1.20169,alkane
