Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,beta0,Tref,R²_ABC,R²_Kcentric,χ²_ABC,χ²_Kcentric,χ̄²_ABC,χ̄²_Kcentric,n_ABC,n_Kcentric,approx_equal,WLS,Cat_1
Methyl butyrate,-59.053,6525.1,7.6764,49.316,25.677,63.825,-48509.0,-139.96,250.0,90.0,0.99949,0.99949,5.9428,5.9428,0.99046,0.99046,9,9,true,true,FAME
Methyl hexanoate,-82.779,8793.5,10.868,89.356,27.073,90.358,-64981.0,-191.31,250.0,90.0,0.99994,0.99994,6.9546,6.9546,0.99351,0.99351,10,10,true,true,FAME
Methyl octanoate,-99.504,10652.0,13.062,122.95,28.638,108.6,-78794.0,-230.03,250.0,90.0,0.99997,0.99997,12.357,12.357,1.0298,1.0298,15,15,true,true,FAME
Methyl decanoate,-106.88,11986.0,13.917,152.76,29.942,115.71,-89241.0,-252.23,250.0,90.0,0.99999,0.99999,12.679,12.679,1.1526,1.1526,14,14,true,true,FAME
Methyl undecanoate,-112.78,12779.0,14.662,166.43,30.508,121.9,-95277.0,-267.23,250.0,90.0,0.99999,0.99999,12.481,12.481,1.1346,1.1346,14,14,true,true,FAME
Methyl laurate,-109.65,13022.0,14.128,179.4,30.895,117.47,-97702.0,-265.6,250.0,90.0,0.99999,0.99999,12.223,12.223,1.2223,1.2223,13,13,true,true,FAME
Methyl tridecanoate,-109.83,13461.0,14.067,191.68,31.212,116.96,-101390.0,-269.94,250.0,90.0,0.99999,0.99999,12.092,12.092,1.0993,1.0993,14,14,true,true,FAME
Methyl myristate,-109.85,13877.0,13.986,203.31,31.471,116.29,-104920.0,-273.77,250.0,90.0,0.99999,0.99999,9.4932,9.4932,0.86302,0.86302,14,14,true,true,FAME
Methyl myristoleate,-97.725,13102.0,12.295,205.38,31.722,102.22,-99736.0,-250.32,250.0,90.0,0.99998,0.99998,13.898,13.898,1.1582,1.1582,15,15,true,true,FAME
Methyl pentadecanoate,-102.91,13850.0,12.928,214.27,31.475,107.49,-105480.0,-264.44,250.0,90.0,0.99999,0.99999,11.647,11.647,1.0588,1.0588,14,14,true,true,FAME
Methyl cis-10-pentadecenoate,-100.08,13648.0,12.55,216.38,31.931,104.34,-104090.0,-258.28,250.0,90.0,0.99999,0.99999,11.936,11.936,0.99463,0.99463,15,15,true,true,FAME
Methyl palmitate,-107.35,14526.0,13.476,224.79,31.724,112.05,-110690.0,-276.27,250.0,90.0,0.99999,0.99999,11.602,11.602,1.0547,1.0547,14,14,true,true,FAME
Methyl palmitoleate,-100.27,14006.0,12.511,225.98,32.098,104.02,-107090.0,-261.58,250.0,90.0,0.99999,0.99999,11.525,11.525,0.96044,0.96044,15,15,true,true,FAME
Methyl heptadecanoate,-111.92,15212.0,14.043,234.83,31.941,116.76,-115970.0,-288.39,250.0,90.0,0.99999,0.99999,11.908,11.908,1.0825,1.0825,14,14,true,true,FAME
cis-10-Heptadecenoic acid methyl ester,-104.22,14640.0,12.994,236.02,32.31,108.04,-112000.0,-272.35,250.0,90.0,0.99999,0.99999,12.103,12.103,1.0086,1.0086,15,15,true,true,FAME
Methyl stearate,-103.81,15024.0,12.851,244.54,32.014,106.85,-115300.0,-275.48,250.0,90.0,0.99971,0.99971,12.764,12.764,1.1603,1.1603,14,14,true,true,FAME
trans-9-Elaidic acid methyl ester,-116.71,15803.0,14.679,245.35,32.819,122.05,-120410.0,-299.17,250.0,90.0,0.99999,0.99999,13.028,13.028,1.1844,1.1844,14,14,true,true,FAME
cis-9-Oleic acid methyl ester,-111.79,15556.0,13.967,245.31,32.327,116.13,-118890.0,-290.78,250.0,90.0,0.99999,0.99999,12.864,12.864,1.1695,1.1695,14,14,true,true,FAME
Methyl linolelaidate,-108.36,15265.0,13.518,247.24,32.902,112.39,-116800.0,-282.82,250.0,90.0,0.99999,0.99999,12.84,12.84,1.07,1.07,15,15,true,true,FAME
Methyl linoleate,-96.294,14638.0,11.782,247.46,31.869,97.962,-112890.0,-261.86,250.0,90.0,0.99982,0.99982,12.047,12.047,1.0039,1.0039,15,15,true,true,FAME
