Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,beta0,Tref,R²_ABC,R²_Kcentric,χ²_ABC,χ²_Kcentric,χ̄²_ABC,χ̄²_Kcentric,n_ABC,n_Kcentric,approx_equal,WLS
Octan-2-ol,-65.813,8129.7,8.4218,109.39,29.816,70.022,-42166.0,-64.409,250.0,90.0,0.99993,0.99993,0.0020754,0.0020754,0.00014824,0.00014824,17,17,true,false
Benzyl alcohol,-67.971,8239.0,8.7786,117.09,31.64,72.989,-41997.0,-61.893,250.0,90.0,0.99996,0.99996,0.0012044,0.0012044,8.6032e-5,8.6032e-5,17,17,true,false
Phenyl acetate,-71.809,8591.7,9.2909,120.89,31.489,77.248,-43383.0,-64.441,250.0,90.0,0.99997,0.99997,0.0010028,0.0010028,7.1631e-5,7.1631e-5,17,17,true,false
2-Methylphenol,-80.913,9131.9,10.574,118.87,30.818,87.916,-44001.0,-66.583,250.0,90.0,0.99994,0.99994,0.0017876,0.0017876,0.00012769,0.00012769,17,17,true,false
Cyclohexanol,-39.452,5964.3,4.8393,89.297,31.202,40.236,-34978.0,-50.597,250.0,90.0,0.99965,0.99965,0.00722,0.00722,0.00051572,0.00051572,17,17,true,false
Benzaldehyde,-56.18,7184.4,7.1941,104.88,32.007,59.815,-38012.0,-54.694,250.0,90.0,0.99993,0.99993,0.0017686,0.0017686,0.00012633,0.00012633,17,17,true,false
Acetophenone,-63.921,8094.2,8.1981,123.95,32.589,68.163,-42546.0,-61.497,250.0,90.0,0.99997,0.99997,0.00088317,0.00088317,6.3083e-5,6.3083e-5,17,17,true,false
Linalool,-69.076,8718.0,8.8177,127.71,31.002,73.314,-45861.0,-68.844,250.0,90.0,0.99993,0.99993,0.002549,0.002549,0.00018207,0.00018207,17,17,true,false
Heptan-2-one,-48.617,6611.2,6.0854,88.171,29.588,50.597,-36594.0,-55.372,250.0,90.0,0.99985,0.99985,0.0032741,0.0032741,0.00023386,0.00023386,17,17,true,false
Nitrobenzene,-59.151,7854.6,7.5259,128.7,33.432,62.574,-42583.0,-60.369,250.0,90.0,0.99996,0.99996,0.0011769,0.0011769,8.4064e-5,8.4064e-5,17,17,true,false
"3,5-Dimethylphenol",-89.263,10160.0,11.645,138.63,31.606,96.824,-49315.0,-74.585,250.0,90.0,0.99995,0.99995,0.0013255,0.0013255,0.0001205,0.0001205,14,14,true,false
Phenol,-78.172,8680.4,10.231,104.55,29.621,85.065,-41282.0,-63.454,250.0,90.0,0.99991,0.99991,0.002539,0.002539,0.00018136,0.00018136,17,17,true,false
