Name,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,beta0,Tref,R²_ABC,R²_Kcentric,χ²_ABC,χ²_Kcentric,χ̄²_ABC,χ̄²_Kcentric,n_ABC,n_Kcentric,approx_equal,WLS,Cat_1,Cat_2
n-Octanal,-103.88,10299.0,13.845,105.34,28.314,115.11,-43831.0,-69.997,250.0,90.0,0.99995,0.99995,0.001426,0.001426,0.00011883,0.00011883,15,15,true,false,aldehyde,
2-Octanone,-99.535,10004.0,13.233,103.35,28.229,110.03,-43220.0,-68.957,250.0,90.0,0.99993,0.99993,0.0016614,0.0016614,0.00013845,0.00013845,15,15,true,false,ketone,
Octan-2-ol,-98.176,9827.6,13.06,99.505,27.994,108.59,-42277.0,-67.577,250.0,90.0,0.99978,0.99978,0.0032782,0.0032782,0.00036425,0.00036425,12,12,true,false,alcohol,
Benzyl alcohol,-86.338,9592.7,11.338,128.55,32.027,94.27,-45524.0,-67.885,250.0,90.0,0.99999,0.99999,0.00018295,0.00018295,2.0328e-5,2.0328e-5,12,12,true,false,alcohol,aromatic
"1,2-Dimethylbenzene",-65.193,7468.5,8.5018,89.046,29.889,70.688,-36426.0,-54.663,250.0,90.0,0.99997,0.99997,0.0001925,0.0001925,3.2084e-5,3.2084e-5,9,9,true,false,aromatic,BTEX
4-Fluoroaniline,-90.61,9739.3,11.968,124.39,31.726,99.509,-44840.0,-67.281,250.0,90.0,0.99998,0.99998,0.00042862,0.00042862,3.5718e-5,3.5718e-5,15,15,true,false,aromatic,amine
Phenyl acetate,-88.293,9913.8,11.539,130.06,30.902,95.94,-47587.0,-72.619,250.0,90.0,0.99998,0.99998,0.00059676,0.00059676,4.973e-5,4.973e-5,15,15,true,false,ester,aromatic
1-Phenyl ethanol,-86.675,9704.4,11.36,130.84,31.907,94.451,-46387.0,-69.432,250.0,90.0,0.99999,0.99999,0.00022799,0.00022799,1.8999e-5,1.8999e-5,15,15,true,false,alcohol,aromatic
"2,6-Dimethylphenol",-84.476,9693.0,11.036,138.07,32.804,91.757,-47270.0,-69.725,250.0,90.0,0.99999,0.99999,0.00031559,0.00031559,2.6299e-5,2.6299e-5,15,15,true,false,aromatic,
2-Chlorophenol,-76.922,8575.6,10.128,115.88,32.649,84.209,-40721.0,-58.959,250.0,90.0,0.99998,0.99998,0.00054279,0.00054279,4.5232e-5,4.5232e-5,15,15,true,false,aromatic,
2-Methylphenol,-90.81,9840.2,11.973,126.96,31.703,99.547,-45665.0,-68.676,250.0,90.0,1.0,1.0,8.5253e-5,8.5253e-5,9.4726e-6,9.4726e-6,12,12,true,false,aromatic,
Cyclohexanol,-80.358,8356.5,10.665,90.044,29.425,88.676,-37277.0,-56.728,250.0,90.0,0.99993,0.99993,0.0013971,0.0013971,0.00011643,0.00011643,15,15,true,false,alcohol,
Methyl hexanoate,-88.056,9075.9,11.631,89.321,27.033,96.702,-40344.0,-65.395,250.0,90.0,0.99995,0.99995,0.00050178,0.00050178,7.1683e-5,7.1683e-5,10,10,true,false,FAME,
Bromobenzene,-73.143,8087.6,9.6455,104.09,31.987,80.197,-38120.0,-55.2,250.0,90.0,0.99998,0.99998,0.00035719,0.00035719,2.9766e-5,2.9766e-5,15,15,true,false,aromatic,
n-Heptanal,-100.52,9595.6,13.491,87.462,27.489,112.17,-39047.0,-62.376,250.0,90.0,0.99993,0.99993,0.0014473,0.0014473,0.00012061,0.00012061,15,15,true,false,aldehyde,
Benzaldehyde,-79.158,8825.2,10.397,116.25,31.746,86.447,-41984.0,-62.114,250.0,90.0,0.99996,0.99996,0.0009214,0.0009214,7.6783e-5,7.6783e-5,15,15,true,false,aldehyde,aromatic
Ethylbenzene,-82.834,8227.0,11.096,81.076,29.203,92.253,-34901.0,-52.649,250.0,90.0,0.99995,0.99995,0.00026101,0.00026101,4.3502e-5,4.3502e-5,9,9,true,false,aromatic,BTEX
Acetophenone,-82.843,9565.8,10.804,135.77,32.483,89.831,-46913.0,-69.423,250.0,90.0,0.99999,0.99999,0.00032162,0.00032162,2.6801e-5,2.6801e-5,15,15,true,false,aromatic,ketone
Methyl benzoate,-82.42,9610.5,10.721,136.74,32.209,89.138,-47535.0,-70.691,250.0,90.0,0.99999,0.99999,0.00022056,0.00022056,1.838e-5,1.838e-5,15,15,true,false,ester,aromatic
Styrene,-85.127,8617.1,11.362,91.666,29.76,94.467,-37341.0,-56.449,250.0,90.0,0.99992,0.99992,0.0014379,0.0014379,0.00011982,0.00011982,15,15,true,false,aromatic,
3-Methylphenol,-88.136,9816.5,11.555,130.37,31.593,96.071,-46731.0,-70.415,250.0,90.0,0.99999,0.99999,0.00035192,0.00035192,2.9327e-5,2.9327e-5,15,15,true,false,aromatic,
Octan-1-ol,-98.557,10240.0,13.03,114.37,28.935,108.34,-45793.0,-72.485,250.0,90.0,0.99998,0.99998,0.00061544,0.00061544,5.1286e-5,5.1286e-5,15,15,true,false,alcohol,
"1,3-Dichlorobenzene",-72.156,8317.4,9.4397,115.8,32.562,78.486,-40652.0,-58.792,250.0,90.0,0.99996,0.99996,0.00084512,0.00084512,7.0427e-5,7.0427e-5,15,15,true,false,aromatic,
Cyclohexanone,-77.252,8361.4,10.2,101.2,30.848,84.809,-38722.0,-57.568,250.0,90.0,0.99997,0.99997,0.00062283,0.00062283,5.1903e-5,5.1903e-5,15,15,true,false,ketone,
4-Methylphenol,-92.588,10050.0,12.201,130.58,31.808,101.45,-46723.0,-70.37,250.0,90.0,0.99999,0.99999,0.00036981,0.00036981,3.0818e-5,3.0818e-5,15,15,true,false,aromatic,
"1,2-Dichlorobenzene",-68.37,8271.3,8.8688,124.28,33.276,73.739,-41993.0,-60.045,250.0,90.0,0.99999,0.99999,0.00017266,0.00017266,1.4388e-5,1.4388e-5,15,15,true,false,aromatic,
Linalool,-94.542,10153.0,12.427,120.04,29.354,103.32,-46892.0,-73.671,250.0,90.0,0.99996,0.99996,0.0011636,0.0011636,9.6965e-5,9.6965e-5,15,15,true,false,terpene,alcohol
Aniline,-81.553,9095.7,10.711,121.66,32.029,89.058,-43284.0,-64.027,250.0,90.0,0.99998,0.99998,0.00061022,0.00061022,5.0851e-5,5.0851e-5,15,15,true,false,aromatic,amine
n-Butylbenzene,-83.781,9195.3,11.014,116.35,30.927,91.572,-43200.0,-65.222,250.0,90.0,0.99998,0.99998,0.0005859,0.0005859,4.8825e-5,4.8825e-5,15,15,true,false,aromatic,
Heptan-2-one,-101.96,9670.7,13.688,85.535,27.024,113.81,-39076.0,-63.042,250.0,90.0,0.99985,0.99985,0.0031097,0.0031097,0.00025914,0.00025914,15,15,true,false,ketone,
Nonan-2-one,-96.624,10331.0,12.701,120.2,29.002,105.6,-47545.0,-75.292,250.0,90.0,0.99995,0.99995,0.0014938,0.0014938,0.00012449,0.00012449,15,15,true,false,ketone,
Nitrobenzene,-73.467,9046.1,9.4899,142.41,33.845,78.903,-46560.0,-66.818,250.0,90.0,0.99999,0.99999,0.00026967,0.00026967,2.2473e-5,2.2473e-5,15,15,true,false,aromatic,
n-Nonanal,-95.308,10296.0,12.506,122.12,29.187,103.98,-47849.0,-75.509,250.0,90.0,0.99998,0.99998,0.0005044,0.0005044,4.2033e-5,4.2033e-5,15,15,true,false,aldehyde,
1-Phenyl-2-propanol,-86.71,9974.4,11.316,142.5,32.777,94.087,-48764.0,-72.233,250.0,90.0,0.99999,0.99999,0.00025694,0.00025694,2.3358e-5,2.3358e-5,14,14,true,false,aromatic,alcohol
Hexan-1-ol,-103.44,9502.7,13.973,77.98,26.825,116.18,-36819.0,-59.016,250.0,90.0,0.99991,0.99991,0.0013445,0.0013445,0.00012222,0.00012222,14,14,true,false,alcohol,
Chlorobenzene,-76.634,7871.9,10.22,82.793,29.922,84.973,-34592.0,-51.294,250.0,90.0,0.99995,0.99995,0.0007911,0.0007911,6.5925e-5,6.5925e-5,15,15,true,false,aromatic,
2-Nitrophenol,-78.249,9436.1,10.154,147.83,34.336,84.424,-47798.0,-68.509,250.0,90.0,0.99999,0.99999,0.00021881,0.00021881,1.9892e-5,1.9892e-5,14,14,true,false,aromatic,
"3,5-Dimethylphenol",-92.419,10485.0,12.078,146.21,32.446,100.42,-50711.0,-76.008,250.0,90.0,0.99999,0.99999,0.00037671,0.00037671,3.4246e-5,3.4246e-5,14,14,true,false,aromatic,
2-Chloroaniline,-79.554,9546.6,10.334,149.33,34.452,85.919,-48173.0,-69.053,250.0,90.0,0.99999,0.99999,0.00018538,0.00018538,1.6853e-5,1.6853e-5,14,14,true,false,aromatic,amine
Phenol,-85.446,9216.7,11.266,113.06,30.654,93.668,-42616.0,-64.611,250.0,90.0,0.99997,0.99997,0.00085753,0.00085753,7.1461e-5,7.1461e-5,15,15,true,false,aromatic,
