Name,OutlierTest
Heptane,true
Propyl acetate,true
Toluene,true
Pyridine,true
Butyl acetate,true
Octane,true
Pentyl acetate,true
2-Hexanone,true
Ethylbenzene,true
2-Heptanone,true
Nonane,true
Hexyl acetate,true
2-Octanone,true
Decane,true
"N,N-dimethylisobutyramide",true
Phenol,true
Linalool,true
n-Butylbenzene,true
Aniline,true
"N,N-diethylacetamide",true
2-Nonanone,true
Undecane,true
Acetophenone,true
2-Decanone,true
Octyl acetate,true
Dodecane,true
Propiophenone,true
Naphthalene,true
Butyrophenone,true
2-Undecanone,true
Tridecane,true
Decyl acetate,true
Valerophenone,true
2-Dodecanone,true
Tetradecane,true
Indole,true
2-Tridecanone,true
Pentadecane,true
Hexadecane,true
2-Pentadecanone,true
Coumarin,true
Heptadecane,true
Octadecane,true
Nonadecane,true
Indole-3-acetic acid ethyl ester,true
Eicosane,true
Heneicosane,true
Triphenylmethane,true
Docosane,true
Tricosane,true
Tetracosane,true
Pentacosane,true
Hexacosane,true
Octacosane,true
Triacontane,true
Dotriacontane,true
Benzamide,true
4-Nitroaniline,true
1-Naphthol,true
Resorcinol,true
Hexanophenone,true
Heptanophenone,true
Octanophenone,true
Tert-butylpyridine,true
4-Methylpyridine,true
4-Ethylaniline,true
4-Butylaniline,true
4-Hexylaniline,true
4-Octylaniline,true
4-Decylaniline,true
4-Dodecylaniline,true
1-Octanol,true
Octanoic acid,true
Decanoic acid,true
Dextromethorphan,true
Lidocaine,true
Caffeine,true
Anthracene,true
"(1S,2R)-1-Phenyl-2-pyrrolidin-1-yl-propan-1-ol",true
Diphenylamine,true
Benzocaine,true
Nikethamide,true
Nicotine,true
Tri-n-hexylamine,true
Tri-n-octylamine,true
Tri-n-decylamine,true
Tetratriacontane,true
Hexatriacontane,true
