Name,OutlierTest
3-Chlorphenol,true
Phenol,true
4-Fluoranilin,true
Anilin,true
Dibenzylamin,true
N-Methylanilin,true
Acetophenon,true
Cresol (p),true
Benzyalkohol,true
"2,4-Dimethylphenol",true
"1,2,4-Trichlorbenzol",true
2-Nitrophenol,true
Naphthalen,true
"1,3-Dibrombenzol",true
4-Chlorphenol,true
4-Chloranilin,true
Chinolin,true
2-Methylnaphthalen,true
"1,2,4,5-Tetrachlorbenzol",true
Valerophenon,true
Zimtaldehyd (trans),true
Butylbenzoat,true
Diphenylether,true
Acenaphthylen,true
1-Bromnaphthalen,true
Dibenzofuran,true
1-Naphthol,true
"1,3-Dinitrobenzol",true
Fluoren,true
Diphenylamin,true
1-Nitronaphthalen,true
Benzophenon,true
Stilben (trans),true
Hexachlorbenzol,true
Phenanthren,true
Dibutylphthalat,true
Carbazol,true
Fluoranthen,true
Pyren,true
4-Methyl-2-Nitrophenol,true
2-Nitrotoluol,true
Butyrophenon,true
Indol,true
Biphenyl,true
"2,4-Dinitrotoluol",true
Benzylbenzoat,true
Benzo[h]quinoline,true
Anthracen,true
Acridin,true
Diphenylsulfoxid,true
1-Methylanthracen,true
"2,4,6-Trichlorphenol",true
Phthalsäurediethylester,true
Dibenzothiophen,true
Anthrachinon,true
"2,3-Dimethylphenol",true
Coumarin,true
