Name,OutlierTest
Dibenzylamine,true
Chinolin,true
2-Methylnaphthalen,true
"1,2,4,5-Tetrachlorbenzol",true
Valerophenone,true
Cinnamaldehyde,true
Butyl benzoate,true
Diphenylether,true
Acenaphthylene,true
1-Bromonaphthalene,true
Dibenzofuran,true
1-Naphthol,true
"1,3-Dinitrobenzol",true
Fluorene,true
Diphenylamine,true
1-Nitronaphthalene,true
Benzophenone,true
2-phenylethenylbenzene,true
Hexachlorbenzol,true
Phenanthrene,true
Dibutyl Phthalate,true
Carbazole,true
Fluoranthene,true
Pyrene,true
4-Methyl-2-Nitrophenol,true
Butyrophenone,true
Indole,true
Biphenyl,true
"2,4-Dinitrotoluol",true
Benzyl benzoate,true
Benzo[h]quinoline,true
Anthracene,true
Acridine,true
Diphenylsulfoxide,true
1-Methylanthracene,true
"2,4,6-Trichlorophenol",true
Diethyl phthalate,true
Dibenzothiophene,true
Anthrachinon,true
Anthrone,true
Coumarin,true
