Name,CAS,Phase,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,Tref,phi0,N,Source,flag,Cat_1,Cat_2,Cat_3
Heptane,142-82-5,SLB5ms,-56.471,6288.7,7.3258,44.738,25.519,60.91,-30168.0,-49.562,90.0,0.001,NaN,Blumberg2017,String[],alkane,alkanes,
Octane,111-65-9,SLB5ms,-61.712,7047.2,7.9817,67.346,26.779,66.363,-34494.0,-55.538,90.0,0.001,NaN,Blumberg2017,String[],alkane,alkanes,
Nonane,111-84-2,SLB5ms,-66.972,7807.3,8.6352,87.42,27.699,71.797,-38840.0,-61.809,90.0,0.001,NaN,Blumberg2017,String[],alkane,alkanes,
Decane,124-18-5,SLB5ms,-71.687,8537.2,9.2131,106.44,28.588,76.602,-43164.0,-67.882,90.0,0.001,NaN,Blumberg2017,String[],alkane,Grob,alkanes
Undecane,1120-21-4,SLB5ms,-78.337,9354.9,10.081,124.75,29.628,83.819,-47342.0,-73.414,90.0,0.001,NaN,Blumberg2017,String[],alkane,Grob,alkanes
Dodecane,112-40-3,SLB5ms,-86.322,10277.0,11.124,141.26,30.301,92.491,-51862.0,-80.007,90.0,0.001,NaN,Blumberg2017,String[],alkane,alkanes,
Tridecane,629-50-5,SLB5ms,-92.048,11059.0,11.848,156.66,30.962,98.511,-56175.0,-86.117,90.0,0.001,NaN,Blumberg2017,String[],alkane,alkanes,
Tetradecane,629-59-4,SLB5ms,-97.285,11808.0,12.504,171.12,31.564,103.96,-60424.0,-92.077,90.0,0.001,NaN,Blumberg2017,String[],alkane,alkanes,
Pentadecane,629-62-9,SLB5ms,-102.51,12554.0,13.158,184.75,32.117,109.4,-64645.0,-97.996,90.0,0.001,NaN,Blumberg2017,String[],alkane,alkanes,
1-Octanol,111-87-5,SLB5ms,-85.68,9640.2,11.159,119.5,29.317,92.778,-46461.0,-72.698,90.0,0.001,NaN,Blumberg2017,String[],alcohol,Grob,alcohols
1-Nonanol,143-08-8,SLB5ms,-91.568,10432.0,11.907,136.59,30.235,99.004,-50782.0,-78.727,90.0,0.001,NaN,Blumberg2017,String[],alcohol,alcohols,
2-Octanol,123-96-6,SLB5ms,-81.602,9091.1,10.64,107.03,28.644,88.469,-43460.0,-68.498,90.0,0.001,NaN,Blumberg2017,String[],alcohol,,
2-Nonanol,628-99-9,SLB5ms,-86.695,9844.7,11.272,124.84,29.561,93.722,-47818.0,-74.624,90.0,0.001,NaN,Blumberg2017,String[],alcohol,,
5-Nonanol,623-93-8,SLB5ms,-84.09,9628.7,10.917,122.92,29.571,90.768,-47095.0,-73.333,90.0,0.001,NaN,Blumberg2017,String[],alcohol,,
5-Decanol,5205-34-5,SLB5ms,-89.555,10399.0,11.603,139.54,30.354,96.469,-51429.0,-79.463,90.0,0.001,NaN,Blumberg2017,String[],alcohol,,
2-Octanone,111-13-7,SLB5ms,-75.401,8660.0,9.7774,105.29,28.876,81.294,-42481.0,-66.413,90.0,0.001,NaN,Blumberg2017,String[],ketone,alkanones,
2-Decanone,693-54-9,SLB5ms,-85.71,10159.0,11.064,140.21,30.591,91.994,-51058.0,-78.347,90.0,0.001,NaN,Blumberg2017,String[],ketone,alkanones,
Heptane,142-82-5,SPB50,-47.48,5484.6,6.0969,28.239,24.906,50.692,-27193.0,-45.256,90.0,0.001,NaN,Blumberg2017,String[],alkane,alkanes,
Octane,111-65-9,SPB50,-54.351,6288.3,7.0012,51.055,26.156,58.211,-31144.0,-50.544,90.0,0.001,NaN,Blumberg2017,String[],alkane,alkanes,
Nonane,111-84-2,SPB50,-58.73,6967.1,7.5398,71.914,27.275,62.689,-35162.0,-56.077,90.0,0.001,NaN,Blumberg2017,String[],alkane,alkanes,
Decane,124-18-5,SPB50,-62.854,7630.6,8.0416,91.129,28.227,66.861,-39164.0,-61.599,90.0,0.001,NaN,Blumberg2017,String[],alkane,Grob,alkanes
Undecane,1120-21-4,SPB50,-69.879,8457.4,8.9589,108.95,29.003,74.488,-43268.0,-67.422,90.0,0.001,NaN,Blumberg2017,String[],alkane,Grob,alkanes
Dodecane,112-40-3,SPB50,-75.761,9221.2,9.7113,125.52,29.71,80.744,-47347.0,-73.195,90.0,0.001,NaN,Blumberg2017,String[],alkane,alkanes,
Tridecane,629-50-5,SPB50,-80.005,9884.7,10.232,140.99,30.37,85.071,-51292.0,-78.649,90.0,0.001,NaN,Blumberg2017,String[],alkane,alkanes,
Tetradecane,629-59-4,SPB50,-84.199,10543.0,10.746,155.51,30.95,89.343,-55216.0,-84.065,90.0,0.001,NaN,Blumberg2017,String[],alkane,alkanes,
Pentadecane,629-62-9,SPB50,-88.105,11182.0,11.219,169.19,31.461,93.281,-59095.0,-89.392,90.0,0.001,NaN,Blumberg2017,String[],alkane,alkanes,
1-Octanol,111-87-5,SPB50,-74.868,8984.1,9.6422,122.0,30.178,80.169,-45584.0,-69.732,90.0,0.001,NaN,Blumberg2017,String[],alcohol,Grob,alcohols
1-Nonanol,143-08-8,SPB50,-79.874,9698.7,10.27,138.27,30.925,85.39,-49630.0,-75.359,90.0,0.001,NaN,Blumberg2017,String[],alcohol,alcohols,
2-Octanol,123-96-6,SPB50,-72.784,8548.4,9.3969,107.12,29.065,78.13,-42702.0,-66.467,90.0,0.001,NaN,Blumberg2017,String[],alcohol,,
2-Nonanol,628-99-9,SPB50,-76.077,9162.9,9.781,124.18,29.919,81.323,-46652.0,-71.827,90.0,0.001,NaN,Blumberg2017,String[],alcohol,,
5-Nonanol,623-93-8,SPB50,-75.923,9071.8,9.7792,121.57,29.894,81.309,-45900.0,-70.65,90.0,0.001,NaN,Blumberg2017,String[],alcohol,,
5-Decanol,5205-34-5,SPB50,-79.363,9694.5,10.182,137.36,30.558,84.657,-49861.0,-76.166,90.0,0.001,NaN,Blumberg2017,String[],alcohol,,
2-Octanone,111-13-7,SPB50,-71.455,8538.4,9.1983,110.7,29.424,76.479,-43219.0,-66.802,90.0,0.001,NaN,Blumberg2017,String[],ketone,alkanones,
2-Decanone,693-54-9,SPB50,-79.966,9862.9,10.246,143.14,30.959,85.186,-51069.0,-77.534,90.0,0.001,NaN,Blumberg2017,String[],ketone,alkanones,
Heptane,142-82-5,Wax,-46.204,4838.2,6.07,0.932,23.664,50.469,-21899.0,-36.188,90.0,0.001,NaN,Blumberg2017,String[],alkane,alkanes,
Octane,111-65-9,Wax,-56.057,5753.7,7.4182,24.632,25.016,61.678,-25440.0,-40.823,90.0,0.001,NaN,Blumberg2017,String[],alkane,alkanes,
Nonane,111-84-2,Wax,-61.732,6472.1,8.1484,46.169,26.346,67.749,-29209.0,-46.148,90.0,0.001,NaN,Blumberg2017,String[],alkane,alkanes,
Decane,124-18-5,Wax,-67.911,7216.2,8.9517,66.044,27.526,74.429,-32970.0,-51.472,90.0,0.001,NaN,Blumberg2017,String[],alkane,Grob,alkanes
Undecane,1120-21-4,Wax,-69.966,7741.7,9.1573,84.475,28.633,76.138,-36719.0,-56.772,90.0,0.001,NaN,Blumberg2017,String[],alkane,Grob,alkanes
Dodecane,112-40-3,Wax,-75.281,8433.3,9.8378,101.7,29.608,81.796,-40414.0,-61.953,90.0,0.001,NaN,Blumberg2017,String[],alkane,alkanes,
Tridecane,629-50-5,Wax,-80.596,9123.8,10.519,117.85,30.51,87.457,-44100.0,-67.116,90.0,0.001,NaN,Blumberg2017,String[],alkane,alkanes,
Tetradecane,629-59-4,Wax,-85.693,9802.3,11.168,133.08,31.34,92.855,-47781.0,-72.273,90.0,0.001,NaN,Blumberg2017,String[],alkane,alkanes,
Pentadecane,629-62-9,Wax,-91.056,10494.0,11.856,147.47,32.122,98.572,-51458.0,-77.445,90.0,0.001,NaN,Blumberg2017,String[],alkane,alkanes,
1-Octanol,111-87-5,Wax,-90.355,10698.0,11.701,155.4,32.317,97.29,-53614.0,-80.456,90.0,0.001,NaN,Blumberg2017,String[],alcohol,Grob,alcohols
1-Nonanol,143-08-8,Wax,-94.881,11334.0,12.274,169.04,33.106,102.05,-57175.0,-85.245,90.0,0.001,NaN,Blumberg2017,String[],alcohol,alcohols,
2-Octanol,123-96-6,Wax,-88.375,10113.0,11.499,135.17,30.775,95.604,-49363.0,-75.614,90.0,0.001,NaN,Blumberg2017,String[],alcohol,,
2-Nonanol,628-99-9,Wax,-95.086,10884.0,12.38,149.46,31.6,102.93,-53111.0,-80.89,90.0,0.001,NaN,Blumberg2017,String[],alcohol,,
5-Nonanol,623-93-8,Wax,-92.459,10582.0,12.033,143.66,31.212,100.05,-51650.0,-78.918,90.0,0.001,NaN,Blumberg2017,String[],alcohol,,
5-Decanol,5205-34-5,Wax,-98.948,11337.0,12.882,157.26,31.981,107.11,-55365.0,-84.188,90.0,0.001,NaN,Blumberg2017,String[],alcohol,,
2-Octanone,111-13-7,Wax,-66.071,8102.6,8.5276,118.77,32.266,70.902,-41621.0,-60.486,90.0,0.001,NaN,Blumberg2017,String[],ketone,alkanones,
2-Decanone,693-54-9,Wax,-73.164,9259.2,9.3931,150.11,33.907,78.098,-48624.0,-69.844,90.0,0.001,NaN,Blumberg2017,String[],ketone,alkanones,
C7,142-82-5,DB5ms,-7.0955,3843.9,0.08624,43.997,26.354,0.71704,-31700.0,-54.051,90.0,0.001,3.0,Boswell2012,String[],alkane,alkanes,
Propyl acetate,109-60-4,DB5ms,-42.291,5763.8,5.1709,47.513,25.045,42.993,-32310.0,-55.199,90.0,0.001,3.0,Boswell2012,String[],carboxylate esters,,
Toluene ,108-88-3,DB5ms,-38.39,5512.4,4.7175,61.023,28.373,39.223,-31588.0,-48.758,90.0,0.001,5.0,Boswell2012,String[],BTEX,,
Pyridine,110-86-1,DB5ms,-52.142,6137.6,6.7269,55.332,27.47,55.93,-30719.0,-47.903,90.0,0.001,4.0,Boswell2012,String[],,,
Butyl acetate,123-86-4,DB5ms,-49.995,6575.7,6.2243,69.587,26.442,51.751,-35880.0,-58.868,90.0,0.001,5.0,Boswell2012,String[],carboxylate esters,,
C8,111-65-9,DB5ms,-41.857,6016.3,5.0936,67.026,27.015,42.351,-34642.0,-56.021,90.0,0.001,5.0,Boswell2012,String[],alkane,alkanes,
Pentyl acetate ,628-63-7,DB5ms,-59.64,7531.4,7.5351,89.881,27.48,62.651,-39868.0,-63.912,90.0,0.001,6.0,Boswell2012,String[],carboxylate esters,,
2-Hexanone,591-78-6,DB5ms,-52.602,6510.3,6.6723,64.593,26.797,55.477,-33983.0,-54.86,90.0,0.001,4.0,Boswell2012,String[],alkanones,ketone,
Ethylbenzene,100-41-4,DB5ms,-36.364,5804.7,4.3487,81.927,29.592,36.157,-35133.0,-53.045,90.0,0.001,7.0,Boswell2012,String[],BTEX,aromatic,
2-Heptanone,110-43-0,DB5ms,-55.872,7138.3,7.0555,85.857,27.986,58.663,-38048.0,-60.078,90.0,0.001,5.0,Boswell2012,String[],alkanones,ketone,
C9,111-84-2,DB5ms,-49.906,6886.2,6.1738,87.97,28.004,51.332,-38614.0,-61.021,90.0,0.001,6.0,Boswell2012,String[],alkane,alkanes,
Hexyl acetate,142-92-7,DB5ms,-63.508,8189.1,8.0034,108.61,28.388,66.544,-43923.0,-69.228,90.0,0.001,8.0,Boswell2012,String[],carboxylate esters,,
2-Octanone,111-13-7,DB5ms,-60.5,7839.3,7.6332,105.43,28.957,63.466,-42132.0,-65.435,90.0,0.001,8.0,Boswell2012,String[],ketone,alkanones,
C10,124-18-5,DB5ms,-56.289,7681.1,7.0046,107.2,28.836,58.24,-42714.0,-66.456,90.0,0.001,8.0,Boswell2012,String[],alkane,Grob,alkanes
"N,N-dimethylisobutyramide ",21678-37-5,DB5ms,-60.993,7746.2,7.7392,102.19,29.099,64.347,-41038.0,-63.463,90.0,0.001,8.0,Boswell2012,String[],,,
Phenol,108-95-2,DB5ms,-76.795,8667.5,9.991,102.21,28.654,83.07,-41899.0,-65.759,90.0,0.001,8.0,Boswell2012,String[],aromatic,,
Linalool,78-70-6,DB5ms,-68.383,8731.3,8.6845,125.54,30.17,72.207,-46374.0,-70.711,90.0,0.001,9.0,Boswell2012,String[],allergenic fragrances,terpene,
n-Butylbenzene ,104-51-8,DB5ms,-56.972,7765.7,7.1531,119.8,31.162,59.474,-42970.0,-63.625,90.0,0.001,9.0,Boswell2012,String[],aromatic,,
Aniline,62-53-3,DB5ms,-53.266,7189.8,6.7012,104.98,30.71,55.717,-39546.0,-58.719,90.0,0.001,9.0,Boswell2012,String[],anilines,aromatic,
