Name,CAS,Phase,A,B,C,Tchar,thetachar,DeltaCp,DeltaHref,DeltaSref,Tref,phi0,N,Source,flag,Cat_1,Cat_2,Cat_3
C8,111-65-9,Rxi17SilMS,-129.24,9823.1,18.032,45.508,24.905,149.92,-27229.0,-40.879,90.0,0.001,5.0,Marquart2020,String[],alkane,alkanes,
C9,111-84-2,Rxi17SilMS,-84.84,8125.4,11.395,65.781,26.946,94.747,-33151.0,-52.133,90.0,0.001,7.0,Marquart2020,String[],alkane,alkanes,
C10,124-18-5,Rxi17SilMS,-78.094,8310.9,10.273,85.071,27.71,85.412,-38083.0,-60.411,90.0,0.001,8.0,Marquart2020,String[],alkane,Grob,alkanes
C11,1120-21-4,Rxi17SilMS,-79.759,8905.5,10.388,102.86,28.28,86.37,-42679.0,-67.648,90.0,0.001,9.0,Marquart2020,String[],alkane,Grob,alkanes
C12,112-40-3,Rxi17SilMS,-84.548,9645.4,10.966,119.42,28.859,91.18,-47084.0,-74.299,90.0,0.001,11.0,Marquart2020,String[],alkane,alkanes,
C13,629-50-5,Rxi17SilMS,-85.281,10156.0,10.965,134.92,29.312,91.168,-51331.0,-80.478,90.0,0.001,11.0,Marquart2020,String[],alkane,alkanes,
C14,629-59-4,Rxi17SilMS,-68.032,9602.3,8.4074,149.55,29.541,69.903,-54453.0,-83.68,90.0,0.001,10.0,Marquart2020,String[],alkane,alkanes,
C15,629-62-9,Rxi17SilMS,-102.52,12032.0,13.238,163.32,30.464,110.07,-60064.0,-93.459,90.0,0.001,11.0,Marquart2020,String[],alkane,alkanes,
C16,544-76-3,Rxi17SilMS,-97.152,12156.0,12.381,176.25,30.635,102.94,-63691.0,-97.996,90.0,0.001,10.0,Marquart2020,String[],alkanes,alkane,
C17,629-78-7,Rxi17SilMS,-103.86,12977.0,13.248,188.54,31.069,110.15,-67900.0,-104.09,90.0,0.001,10.0,Marquart2020,String[],alkanes,alkane,
C18,593-45-3,Rxi17SilMS,-108.07,13647.0,13.76,200.23,31.415,114.41,-71919.0,-109.71,90.0,0.001,10.0,Marquart2020,String[],alkanes,alkane,
C19,629-92-5,Rxi17SilMS,-107.18,13990.0,13.556,211.31,31.618,112.71,-75391.0,-113.97,90.0,0.001,10.0,Marquart2020,String[],alkanes,alkane,
C20,112-95-8,Rxi17SilMS,-108.39,14459.0,13.652,221.86,31.821,113.51,-78994.0,-118.6,90.0,0.001,10.0,Marquart2020,String[],alkanes,alkane,
C21,629-94-7,Rxi17SilMS,-122.79,15760.0,15.601,232.17,32.419,129.72,-83931.0,-126.55,90.0,0.001,7.0,Marquart2020,String[],alkanes,alkane,
C22,629-97-0,Rxi17SilMS,-109.28,15265.0,13.637,241.56,32.126,113.38,-85749.0,-126.85,90.0,0.001,11.0,Marquart2020,String[],alkanes,alkane,
C23,638-67-5,Rxi17SilMS,-108.91,15595.0,13.522,250.79,32.255,112.43,-88840.0,-130.36,90.0,0.001,11.0,Marquart2020,String[],alkanes,alkane,
C24,646-31-1,Rxi17SilMS,-110.2,16029.0,13.641,259.66,32.403,113.42,-92086.0,-134.29,90.0,0.001,10.0,Marquart2020,String[],alkanes,alkane,
C25,629-99-2,Rxi17SilMS,-112.36,16516.0,13.881,268.17,32.555,115.42,-95404.0,-138.42,90.0,0.001,9.0,Marquart2020,String[],alkanes,alkane,
C26,630-01-3,Rxi17SilMS,-111.42,16783.0,13.694,276.33,32.609,113.85,-98199.0,-141.35,90.0,0.001,8.0,Marquart2020,String[],alkanes,alkane,
