Name,CAS,Phase,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,phi0,N,R²,χ²,χ̄²,Source,flag,Cat_1,Cat_2,Cat_3
Naphthalene,91-20-3,Rxi17SilMS,-55.345,1.1909,8245.0,72.729,6.8777,0.16856,157.31,0.061995,35.064,0.030504,57.185,1.4015,-43937.0,40.264,-56.163,0.090006,-47786.0,103.06,-65.886,0.25533,90.0,0.001,52.0,0.99997,0.0036268,7.4016e-5,Duong2022,String[],PAH,,
Acenaphthylene,208-96-8,Rxi17SilMS,-48.691,1.9742,8775.0,131.74,5.8101,0.27538,204.51,0.083343,38.029,0.042695,48.308,2.2896,-49884.0,58.648,-58.525,0.11865,-55416.0,268.97,-71.766,0.63899,90.0,0.001,54.0,0.99994,0.0059732,0.00011712,Duong2022,String[],PAH,,
Acenaphthene,83-32-9,Rxi17SilMS,-51.254,2.0363,9053.9,136.64,6.1442,0.28378,207.59,0.082206,37.887,0.044792,51.086,2.3595,-50719.0,62.421,-59.593,0.12603,-56727.0,284.69,-73.924,0.67407,90.0,0.001,53.0,0.99995,0.0058179,0.00011636,Duong2022,String[],PAH,,
Fluorene,86-73-7,Rxi17SilMS,-55.301,1.6727,9652.0,114.89,6.6557,0.23224,220.75,0.057685,38.327,0.037462,55.338,1.9309,-52919.0,53.181,-61.236,0.10547,-60155.0,258.19,-78.254,0.60328,90.0,0.001,49.0,0.99997,0.0025185,5.4751e-5,Duong2022,String[],PAH,,
Phenanthrene,85-01-8,Rxi17SilMS,-63.807,1.6064,10831.0,116.33,7.7736,0.22117,251.47,0.036938,40.759,0.04949,64.633,1.8389,-56145.0,68.63,-61.112,0.13016,-66582.0,304.84,-84.888,0.68896,90.0,0.001,37.0,0.99999,0.00059593,1.7527e-5,Duong2022,String[],PAH,,
Anthracene,120-12-7,Rxi17SilMS,-55.547,2.8072,10312.0,203.46,6.6152,0.38644,252.13,0.063707,40.356,0.081339,55.002,3.213,-56847.0,115.4,-62.314,0.21852,-65764.0,533.65,-82.616,1.206,90.0,0.001,43.0,0.99996,0.0024732,6.1829e-5,Duong2022,String[],PAH,,
Fluoranthene,206-44-0,Rxi17SilMS,-53.6,6.5044,10881.0,497.69,6.2696,0.88774,286.09,0.12335,42.41,0.19969,52.128,7.3811,-61316.0,289.97,-63.732,0.51681,-71538.0,1476.3,-86.24,3.2287,90.0,0.001,48.0,0.99981,0.011389,0.00025308,Duong2022,String[],PAH,,
Pyrene,129-00-0,Rxi17SilMS,-50.635,4.1769,10768.0,324.13,5.8661,0.56883,295.1,0.07039,43.431,0.13979,48.774,4.7295,-61818.0,199.56,-62.878,0.3504,-71822.0,990.4,-84.717,2.1465,90.0,0.001,43.0,0.99994,0.0026722,6.6805e-5,Duong2022,String[],PAH,,
Benz[a]anthracene,56-55-3,Rxi17SilMS,-56.099,7.9487,12091.0,647.57,6.4811,1.0746,326.45,0.17364,43.817,0.34432,53.887,8.9347,-68219.0,537.52,-67.867,0.89465,-80961.0,2180.1,-94.889,4.5688,90.0,0.001,33.0,0.99993,0.0016116,5.372e-5,Duong2022,String[],PAH,,
Chrysene,218-01-9,Rxi17SilMS,-56.423,7.8785,12151.0,644.54,6.5252,1.0645,329.02,0.18997,44.101,0.36034,54.254,8.8506,-68362.0,560.24,-67.619,0.9283,-81330.0,2188.6,-95.057,4.5713,90.0,0.001,33.0,0.99993,0.0015814,5.2713e-5,Duong2022,String[],PAH,,
