Name,Cnumber,Hnumber,Onumber,Nnumber,Ringnumber,Molmass,width,Phase,Tchar,thetachar,DeltaCp
u1,7,16,0,0,0,100.2,0,FS5ms,56.71528,27.20083,0.7235
u2,7,16,0,0,0,100.2,0,FS5ms,57.18917,27.41883,-9.31585
u3,7,16,0,0,0,100.2,0,FS5ms,59.42872,27.57849,-3.28858
u4,7,16,0,0,0,100.2,0,FS5ms,63.01804,27.50939,4.80196
u5,8,18,0,0,0,114.2,0,FS5ms,63.65152,26.27345,-94.89312
u6,8,18,0,0,0,114.2,0,FS5ms,72.00785,27.00553,-64.2577
u7,8,18,0,0,0,114.2,0,FS5ms,76.96694,26.38027,-54.73204
C9,9,20,0,0,0,128.3,0,FS5ms,98.04148,30.16794,89.33541
C10,10,22,0,0,0,142.3,0,FS5ms,118.08755,32.2439,112.49427
C11,11,24,0,0,0,156.3,0,FS5ms,137.06724,33.71067,116.04194
C12,12,26,0,0,0,170.3,0,FS5ms,154.782,34.92063,121.44143
C13,13,28,0,0,0,184.4,0,FS5ms,171.31848,35.9285,125.62409
C14,14,30,0,0,0,198.4,0,FS5ms,186.83259,36.75978,126.75852
C15,15,32,0,0,0,212.4,0,FS5ms,201.25233,37.39081,129.62078
C16,16,34,0,0,0,226.5,0,FS5ms,215.1029,38.45816,142.17924
C17,17,36,0,0,0,240.5,0,FS5ms,227.90707,38.95243,145.36149
C18,18,38,0,0,0,254.5,0,FS5ms,240.10378,39.57574,153.28826
C19,19,40,0,0,0,268.5,0,FS5ms,251.79937,40.21112,159.4735
C20,20,42,0,0,0,282.6,0,FS5ms,262.80709,40.67479,164.99344
C21,21,44,0,0,0,296.6,0,FS5ms,273.39222,41.43008,179.46714
C22,22,46,0,0,0,310.6,0,FS5ms,283.55153,41.89174,183.34827
C23,23,48,0,0,0,324.6,0,FS5ms,293.11083,42.24507,188.99009
C24,24,50,0,0,0,338.7,0,FS5ms,302.04722,42.20679,188.52772
C25,25,52,0,0,0,352.7,0,FS5ms,310.67465,42.26108,189.5066
C26,26,54,0,0,0,366.7,0,FS5ms,320.42005,44.16145,216.76864
C27,27,56,0,0,0,380.7,0,FS5ms,326.62167,41.90328,184.17462
C28,28,58,0,0,0,394.8,0,FS5ms,334.19187,41.82183,183.91453
C29,29,60,0,0,0,408.8,0,FS5ms,341.39609,41.66817,183.06594
C30,30,62,0,0,0,422.8,0,FS5ms,348.38866,41.57034,183.27924
