Name,CAS,Cnumber,Hnumber,Onumber,Nnumber,Ringnumber,Molmass,Phase,Tchar,thetachar,DeltaCp,phi0,Annotation
C7,142-82-5,7,16,0,0,0,100.21,SLB5ms,44.738,25.519,60.910,1E-03,Blumberg.2017a
C8,111-65-9,8,18,0,0,0,114.2,SLB5ms,67.346,26.779,66.363,1E-03,Blumberg.2017a
C9,111-84-2,9,20,0,0,0,128.26,SLB5ms,87.420,27.699,71.797,1E-03,Blumberg.2017a
C10,124-18-5,10,22,0,0,0,142.28,SLB5ms,106.437,28.588,76.602,1E-03,Blumberg.2017a
C11,1120-21-4,11,24,0,0,0,156.31,SLB5ms,124.746,29.628,83.819,1E-03,Blumberg.2017a
C12,112-40-3,12,26,0,0,0,170.34,SLB5ms,141.255,30.301,92.491,1E-03,Blumberg.2017a
C13,629-50-5,13,28,0,0,0,184.37,SLB5ms,156.657,30.962,98.511,1E-03,Blumberg.2017a
C14,629-59-4,14,30,0,0,0,198.39,SLB5ms,171.120,31.564,103.961,1E-03,Blumberg.2017a
C15,629-62-9,15,32,0,0,0,212.42,SLB5ms,184.746,32.117,109.405,1E-03,Blumberg.2017a
1-Octanol,111-87-5,8,18,1,0,0,130.23,SLB5ms,119.497,29.317,92.778,1E-03,Blumberg.2017a
1-Nonanol,143-08-8,9,20,1,0,0,144.26,SLB5ms,136.593,30.235,99.004,1E-03,Blumberg.2017a
2-Octanol,123-96-6,8,18,1,0,0,130.23,SLB5ms,107.026,28.644,88.469,1E-03,Blumberg.2017a
2-Nonanol,628-99-9,9,20,1,0,0,144.26,SLB5ms,124.844,29.561,93.722,1E-03,Blumberg.2017a
5-Nonanol,623-93-8,9,20,1,0,0,144.26,SLB5ms,122.918,29.571,90.768,1E-03,Blumberg.2017a
5-Decanol,5205-34-5,10,22,1,0,0,158.28,SLB5ms,139.539,30.354,96.469,1E-03,Blumberg.2017a
2-Octanone,111-13-7,8,16,1,0,0,128.21,SLB5ms,105.291,28.876,81.294,1E-03,Blumberg.2017a
2-Decanone,693-54-9,10,20,1,0,0,156.27,SLB5ms,140.205,30.591,91.994,1E-03,Blumberg.2017a
