Name,CAS,Cnumber,Hnumber,Onumber,Nnumber,Ringnumber,Molmass,Phase,Tchar,thetachar,DeltaCp,phi0,Annotation
C7,142-82-5,7,16,0,0,0,100.21,SPB50,28.239,24.906,50.692,1E-03,Blumberg.2017a
C8,111-65-9,8,18,0,0,0,114.2,SPB50,51.055,26.156,58.211,1E-03,Blumberg.2017a
C9,111-84-2,9,20,0,0,0,128.26,SPB50,71.914,27.275,62.689,1E-03,Blumberg.2017a
C10,124-18-5,10,22,0,0,0,142.28,SPB50,91.129,28.227,66.861,1E-03,Blumberg.2017a
C11,1120-21-4,11,24,0,0,0,156.31,SPB50,108.954,29.003,74.488,1E-03,Blumberg.2017a
C12,112-40-3,12,26,0,0,0,170.34,SPB50,125.518,29.710,80.744,1E-03,Blumberg.2017a
C13,629-50-5,13,28,0,0,0,184.37,SPB50,140.988,30.370,85.071,1E-03,Blumberg.2017a
C14,629-59-4,14,30,0,0,0,198.39,SPB50,155.514,30.950,89.343,1E-03,Blumberg.2017a
C15,629-62-9,15,32,0,0,0,212.42,SPB50,169.186,31.461,93.281,1E-03,Blumberg.2017a
1-Octanol,111-87-5,8,18,1,0,0,130.23,SPB50,121.996,30.178,80.169,1E-03,Blumberg.2017a
1-Nonanol,143-08-8,9,20,1,0,0,144.26,SPB50,138.268,30.925,85.390,1E-03,Blumberg.2017a
2-Octanol,123-96-6,8,18,1,0,0,130.23,SPB50,107.115,29.065,78.130,1E-03,Blumberg.2017a
2-Nonanol,628-99-9,9,20,1,0,0,144.26,SPB50,124.179,29.919,81.323,1E-03,Blumberg.2017a
5-Nonanol,623-93-8,9,20,1,0,0,144.26,SPB50,121.566,29.894,81.309,1E-03,Blumberg.2017a
5-Decanol,5205-34-5,10,22,1,0,0,158.28,SPB50,137.362,30.558,84.657,1E-03,Blumberg.2017a
2-Octanone,111-13-7,8,16,1,0,0,128.21,SPB50,110.704,29.424,76.479,1E-03,Blumberg.2017a
2-Decanone,693-54-9,10,20,1,0,0,156.27,SPB50,143.143,30.959,85.186,1E-03,Blumberg.2017a
