Name,CAS,Cnumber,Hnumber,Onumber,Nnumber,Ringnumber,Molmass,Phase,Tchar,thetachar,DeltaCp,phi0,Annotation
C7,142-82-5,7,16,0,0,0,100.21,Wax,0.932,23.664,50.469,1E-03,Blumberg.2017a
C8,111-65-9,8,18,0,0,0,114.2,Wax,24.632,25.016,61.678,1E-03,Blumberg.2017a
C9,111-84-2,9,20,0,0,0,128.26,Wax,46.169,26.346,67.749,1E-03,Blumberg.2017a
C10,124-18-5,10,22,0,0,0,142.28,Wax,66.044,27.526,74.429,1E-03,Blumberg.2017a
C11,1120-21-4,11,24,0,0,0,156.31,Wax,84.475,28.633,76.138,1E-03,Blumberg.2017a
C12,112-40-3,12,26,0,0,0,170.34,Wax,101.695,29.608,81.796,1E-03,Blumberg.2017a
C13,629-50-5,13,28,0,0,0,184.37,Wax,117.853,30.510,87.457,1E-03,Blumberg.2017a
C14,629-59-4,14,30,0,0,0,198.39,Wax,133.079,31.340,92.855,1E-03,Blumberg.2017a
C15,629-62-9,15,32,0,0,0,212.42,Wax,147.466,32.122,98.572,1E-03,Blumberg.2017a
1-Octanol,111-87-5,8,18,1,0,0,130.23,Wax,155.402,32.317,97.290,1E-03,Blumberg.2017a
1-Nonanol,143-08-8,9,20,1,0,0,144.26,Wax,169.041,33.106,102.053,1E-03,Blumberg.2017a
2-Octanol,123-96-6,8,18,1,0,0,130.23,Wax,135.173,30.775,95.604,1E-03,Blumberg.2017a
2-Nonanol,628-99-9,9,20,1,0,0,144.26,Wax,149.456,31.600,102.932,1E-03,Blumberg.2017a
5-Nonanol,623-93-8,9,20,1,0,0,144.26,Wax,143.665,31.212,100.051,1E-03,Blumberg.2017a
5-Decanol,5205-34-5,10,22,1,0,0,158.28,Wax,157.255,31.981,107.111,1E-03,Blumberg.2017a
2-Octanone,111-13-7,8,16,1,0,0,128.21,Wax,118.769,32.266,70.902,1E-03,Blumberg.2017a
2-Decanone,693-54-9,10,20,1,0,0,156.27,Wax,150.109,33.907,78.098,1E-03,Blumberg.2017a
