Compound\T [°C] ->,60,80,100,120,140,160,180,200,220,240,260,280,300,320
C7,-0.2510,-0.5326,-0.7839,,,,,,,,,,,
1,-0.2068,-0.5014,-0.7576,,,,,,,,,,,
34,0.0162,-0.2726,-0.5230,-0.7397,-0.9357,,,,,,,,,
50,-0.0726,-0.3549,-0.5993,-0.8096,,,,,,,,,,
2,0.1636,-0.1658,-0.4496,-0.6959,-0.9158,,,,,,,,,
C8,0.1163,-0.2002,-0.4747,-0.7129,-0.9276,,,,,,,,,
3,0.5276,0.1609,-0.1552,-0.4279,-0.6697,-0.8811,,,,,,,,
7,0.0758,-0.2362,-0.5052,-0.7397,,,,,,,,,,
35,0.3485,0.0266,-0.2518,-0.4945,-0.7114,-0.9008,-1.0787,,,,,,,
8,0.4416,0.0919,-0.2089,-0.4705,-0.7018,-0.9063,,,,,,,,
C9,0.4797,0.1261,-0.1796,-0.4456,-0.6820,-0.8899,,,,,,,,
4,0.8870,0.4826,0.1345,-0.1671,-0.4329,-0.6659,-0.8706,-1.0548,,,,,,
9,0.8037,0.4159,0.0820,-0.2078,-0.4627,-0.6856,-0.8824,-1.0598,,,,,,
C10,0.8408,0.4485,0.1099,-0.1848,-0.4439,-0.6724,-0.8756,-1.0573,,,,,,
39,0.7351,0.3571,0.0324,-0.2496,-0.4977,-0.7144,-0.9053,-1.0752,,,,,,
37,0.7550,0.3639,0.0321,-0.2530,-0.4999,-0.7144,-0.9035,-1.0700,,,,,,
38,1.1948,0.7683,0.4004,0.0812,-0.1989,-0.4430,-0.6592,-0.8497,-1.0214,,,,,
36,1.0287,0.6344,0.2940,-0.0026,-0.2640,-0.4947,-0.6956,-0.8770,-1.0399,,,,,
26,0.7489,0.3833,0.0693,-0.2031,-0.4424,-0.6536,-0.8369,-1.0009,-1.1589,,,,,
40,0.8201,0.4356,0.1058,-0.1796,-0.4301,-0.6494,-0.8400,-1.0098,,,,,,
10,1.1653,0.7385,0.3711,0.0524,-0.2274,-0.4730,-0.6868,-0.8787,-1.0543,,,,,
C11,1.1996,0.7686,0.3966,0.0731,-0.2117,-0.4622,-0.6813,-0.8770,-1.0568,,,,,
16,1.0603,0.6657,0.3251,0.0292,-0.2314,-0.4602,-0.6602,-0.8390,-1.0014,,,,,
11,1.5244,1.0589,0.6582,0.3104,0.0054,-0.2621,-0.4953,-0.7032,-0.8911,-1.0605,,,,
5,,1.1225,0.7078,0.3488,0.0339,-0.2415,-0.4828,-0.6966,-0.8877,-1.0605,,,,
C12,,1.0875,0.6820,0.3295,0.0196,-0.2521,-0.4901,-0.7016,-0.8956,-1.0654,,,,
17,1.4012,0.9687,0.5955,0.2707,-0.0147,-0.2650,-0.4846,-0.6790,-0.8567,-1.0121,,,,
41,1.4393,1.0229,0.6625,0.3478,0.0701,-0.1744,-0.3894,-0.5807,-0.7548,-0.9078,-1.0473,,,
18,,1.2348,0.8330,0.4840,0.1779,-0.0914,-0.3273,-0.5362,-0.7252,-0.8909,-1.0427,-1.1915,,
