Name,CAS,Cnumber,Hnumber,Onumber,Nnumber,Ringnumber,Molmass,Phase,Tchar,thetachar,DeltaCp,phi0,Annotation
2-Hexanone,591-78-6,6,12,1,0,0,100.16,Rxi17SilMS,69.15195,26.86962,286.15311,1.00E-03,Brehmer.2022
2-Heptanone,110-43-0,7,14,1,0,0,114.19,Rxi17SilMS,85.53488,27.02354,113.81271,1.00E-03,Brehmer.2022
2-Octanone,111-13-7,8,16,1,0,0,128.21,Rxi17SilMS,103.34767,28.22862,110.02851,1.00E-03,Brehmer.2022
2-Nonanone,821-55-6,9,18,1,0,0,142.24,Rxi17SilMS,120.19565,29.00216,105.59911,1.00E-03,Brehmer.2022
2-Decanone,693-54-9,10,20,1,0,0,156.27,Rxi17SilMS,139.58025,33.93392,177.8773,1.00E-03,Brehmer.2022
2-Undecanone,112-12-9,11,22,1,0,0,170.29,Rxi17SilMS,154.13058,34.48274,204.74649,1.00E-03,Brehmer.2022
2-Dodecanone,6175-49-1,12,24,1,0,0,184.32,Rxi17SilMS,168.16986,34.45398,182.66759,1.00E-03,Brehmer.2022
2-Tridecanone,593-08-8,13,26,1,0,0,198.34,Rxi17SilMS,181.46891,34.7366,178.68805,1.00E-03,Brehmer.2022
2-Pentadecanone,2345-28-0,15,30,1,0,0,226.4,Rxi17SilMS,205.93396,35.20034,177.091,1.00E-03,Brehmer.2022
2-Pentadecanone_Std,2345-28-0,15,30,1,0,0,226.4,Rxi17SilMS,205.65041,35.05704,175.21321,1.00E-03,Brehmer.2022
4-Methyl-2-pentanone,108-10-1,6,12,1,0,0,100.16,Rxi17SilMS,58.05849,22.84968,588.31189,1.00E-03,Brehmer.2022
