Name,CAS,Cnumber,Hnumber,Onumber,Nnumber,Ringnumber,Molmass,Phase,Tchar,thetachar,DeltaCp,phi0,Annotation
C8,111-65-9,8,18,0,0,0,114.2,Rxi17SilMS,45.50814,24.90556,149.92042,0.001,Masterthesis.Marquart.2020
C9,111-84-2,9,20,0,0,0,128.26,Rxi17SilMS,65.78109,26.94611,94.7473,0.001,Masterthesis.Marquart.2020
C10,124-18-5,10,22,0,0,0,142.28,Rxi17SilMS,85.07082,27.70966,85.40681,0.001,Masterthesis.Marquart.2020
C11,1120-21-4,11,24,0,0,0,156.31,Rxi17SilMS,102.86408,28.28014,86.37212,0.001,Masterthesis.Marquart.2020
C12,112-40-3,12,26,0,0,0,170.34,Rxi17SilMS,119.42052,28.85848,91.17925,0.001,Masterthesis.Marquart.2020
C13,629-50-5,13,28,0,0,0,184.37,Rxi17SilMS,134.92186,29.31155,91.16982,0.001,Masterthesis.Marquart.2020
C14,629-59-4,14,30,0,0,0,198.39,Rxi17SilMS,149.61082,30.27018,117.07609,0.001,Masterthesis.Marquart.2020
C15,629-62-9,15,32,0,0,0,212.42,Rxi17SilMS,163.31641,30.46362,110.07079,0.001,Masterthesis.Marquart.2020
C16,544-76-3,16,34,0,0,0,226.45,Rxi17SilMS,176.24635,30.63485,102.94024,0.001,Masterthesis.Marquart.2020
C17,629-78-7,17,36,0,0,0,240.47,Rxi17SilMS,188.54479,31.06858,110.14145,0.001,Masterthesis.Marquart.2020
C18,593-45-3,18,38,0,0,0,254.5,Rxi17SilMS,200.23004,31.41543,114.41008,0.001,Masterthesis.Marquart.2020
C19,629-92-5,19,40,0,0,0,268.53,Rxi17SilMS,211.30952,31.61836,112.71429,0.001,Masterthesis.Marquart.2020
C20,112-95-8,20,42,0,0,0,282.55,Rxi17SilMS,221.8647,31.82072,113.51519,0.001,Masterthesis.Marquart.2020
C21,629-94-7,21,44,0,0,0,296.58,Rxi17SilMS,231.93317,31.96744,111.33578,0.001,Masterthesis.Marquart.2020
C22,629-97-0,22,46,0,0,0,310.61,Rxi17SilMS,241.55866,32.12619,113.3873,0.001,Masterthesis.Marquart.2020
C23,638-67-5,23,48,0,0,0,324.63,Rxi17SilMS,250.79291,32.2549,112.42604,0.001,Masterthesis.Marquart.2020
C24,646-31-1,24,50,0,0,0,338.66,Rxi17SilMS,259.6572,32.40239,113.41122,0.001,Masterthesis.Marquart.2020
C25,629-99-2,25,52,0,0,0,352.69,Rxi17SilMS,268.17167,32.55473,115.42416,0.001,Masterthesis.Marquart.2020
C26,630-01-3,26,54,0,0,0,366.71,Rxi17SilMS,276.32958,32.60897,113.86802,0.001,Masterthesis.Marquart.2020
C27,593-49-7,27,56,0,0,0,380.74,Rxi17SilMS,284.23755,32.80295,120.83821,0.001,Masterthesis.Marquart.2020
C28,630-02-4,28,58,0,0,0,394.77,Rxi17SilMS,291.90217,33.05628,131.07776,0.001,Masterthesis.Marquart.2020
C29,630-03-5,29,60,0,0,0,408.8,Rxi17SilMS,299.42087,33.38611,140.53651,0.001,Masterthesis.Marquart.2020
C30,638-68-6,30,62,0,0,0,422.82,Rxi17SilMS,306.72277,33.76185,152.96546,0.001,Masterthesis.Marquart.2020
alpha-Pinene,80-56-8,10,16,0,0,2,136.24,Rxi17SilMS,83.2274,29.98872,82.19659,0.001,Masterthesis.Marquart.2020
beta-Pinene,18172-67-3,10,16,0,0,2,136.24,Rxi17SilMS,96.53587,31.14868,72.5517,0.001,Masterthesis.Marquart.2020
Limonene,138-86-3,10,16,0,0,1,136.24,Rxi17SilMS,106.13838,30.82848,80.64634,0.001,Masterthesis.Marquart.2020
Benzaldehyd,100-52-7,7,6,1,0,1,106.13,Rxi17SilMS,116.86325,32.05274,79.19004,0.001,Masterthesis.Marquart.2020
Terpinolene,586-62-9,10,16,0,0,1,136.23,Rxi17SilMS,119.45758,31.28527,75.1939,0.001,Masterthesis.Marquart.2020
Linalool,78-70-6,10,18,1,0,0,154.25,Rxi17SilMS,120.72299,29.52874,89.818,0.001,Masterthesis.Marquart.2020
Benzylalkohol,100-51-6,7,8,1,0,1,108.14,Rxi17SilMS,129.20391,32.20642,82.8377,0.001,Masterthesis.Marquart.2020
Salicylaldehyd,90-02-8,7,6,2,0,1,122.13,Rxi17SilMS,131.97957,33.17546,73.49817,0.001,Masterthesis.Marquart.2020
Menthol,89-78-1,10,20,1,0,1,156.27,Rxi17SilMS,137.29767,31.87388,78.52437,0.001,Masterthesis.Marquart.2020
Citronellol,106-22-9,10,20,1,0,0,156.27,Rxi17SilMS,143.10228,30.48837,98.71043,0.001,Masterthesis.Marquart.2020
Methyl-2-Octynoate,111-12-6,9,14,2,0,0,154.21,Rxi17SilMS,147.71447,29.75235,64.16389,0.001,Masterthesis.Marquart.2020
Geraniol,106-24-1,10,18,1,0,0,154.25,Rxi17SilMS,150.49682,31.08216,95.20921,0.001,Masterthesis.Marquart.2020
Citral A,141-27-5,10,16,1,0,0,152.24,Rxi17SilMS,152.75132,31.57547,96.36151,0.001,Masterthesis.Marquart.2020
Methylsalicylat,119-36-8,8,8,3,0,1,152.14,Rxi17SilMS,154.11465,34.12335,95.50866,0.001,Masterthesis.Marquart.2020
Citral B,106-26-3,10,16,1,0,0,152.24,Rxi17SilMS,157.465,31.54095,100.77921,0.001,Masterthesis.Marquart.2020
Isobornylacetat,125-12-2,12,20,2,0,2,196.29,Rxi17SilMS,157.55178,33.04402,81.26782,0.001,Masterthesis.Marquart.2020
Carvone,6485-40-1,10,14,1,0,1,150.22,Rxi17SilMS,160.06687,33.28458,82.81006,0.001,Masterthesis.Marquart.2020
Hydroxycitronellal,107-75-5,10,20,2,0,0,172.27,Rxi17SilMS,160.17095,31.10265,112.47399,0.001,Masterthesis.Marquart.2020
Anethol,4180-23-8,10,12,1,0,1,148.22,Rxi17SilMS,166.7329,33.18492,85.20036,0.001,Masterthesis.Marquart.2020
beta-Caryophyllene,87-44-5,15,24,0,0,1,204.36,Rxi17SilMS,172.85285,34.68604,61.7693,0.001,Masterthesis.Marquart.2020
d-Damascone,57378-68-4,13,20,1,0,1,192.3,Rxi17SilMS,173.30337,34.65713,113.26228,0.001,Masterthesis.Marquart.2020
Anisalkohol,105-13-5,8,10,2,0,1,138.17,Rxi17SilMS,174.13181,33.26199,81.44532,0.001,Masterthesis.Marquart.2020
Cinnamic aldehyd,1437-10-9,9,8,1,0,1,132.16,Rxi17SilMS,174.35623,34.53988,88.44913,0.001,Masterthesis.Marquart.2020
Ebanol A,67801-20-1,14,24,1,0,1,208.34,Rxi17SilMS,175.00543,33.36042,98.39363,0.001,Masterthesis.Marquart.2020
Ebanol B,67801-20-1,14,24,1,0,1,208.34,Rxi17SilMS,176.36339,33.32848,101.40443,0.001,Masterthesis.Marquart.2020
alpha Damascone,43052-87-5,13,20,1,0,1,192.3,Rxi17SilMS,176.45911,33.70495,93.34397,0.001,Masterthesis.Marquart.2020
Cinnamylalkohol A,203-212-3,9,10,1,0,1,134.18,Rxi17SilMS,177.16939,34.33185,87.28894,0.001,Masterthesis.Marquart.2020
Eugenol,97-53-0,10,12,2,0,1,164.2,Rxi17SilMS,178.39651,34.04666,93.48009,0.001,Masterthesis.Marquart.2020
E-beta-Damascone,23726-91-2,13,20,1,0,1,192.3,Rxi17SilMS,179.91832,33.96857,92.21312,0.001,Masterthesis.Marquart.2020
Cinnamylalkohol B,203-212-3,9,10,1,0,1,134.18,Rxi17SilMS,180.75749,33.82887,87.6652,0.001,Masterthesis.Marquart.2020
Majantol,103694-68-4,12,18,1,0,1,178.27,Rxi17SilMS,183.57852,34.55758,96.66965,0.001,Masterthesis.Marquart.2020
Isomethyl-alpha-Ionon,127-51-5,14,22,1,0,1,206.32,Rxi17SilMS,184.70876,34.197,95.21322,0.001,Masterthesis.Marquart.2020
Isoeugenol,97-54-1,10,12,2,0,1,164.2,Rxi17SilMS,193.83331,34.72842,92.01503,0.001,Masterthesis.Marquart.2020
Amylsalicylate,2050-08-0,12,16,3,0,1,208.25,Rxi17SilMS,202.07173,35.06722,100.49822,0.001,Masterthesis.Marquart.2020
