Name,E13_2021_06_01_3,E13_2021_06_01_4,E13_2021_06_01_5,E13_2021_06_01_6,E13_2021_06_01_7,E13_2021_06_01_8,E13_2021_06_01_9
Naphthalin,7.2651,6.0539,5.0163,8.3577,9.3233,6.1555,11.6822
Acenaphthylene,11.6229,9.2725,7.3498,12.525,16.0993,11.5425,16.7092
Acenaphthene,11.966,9.5181,7.5235,12.8468,16.8405,12.0295,17.0268
Fluorene,13.2873,10.4795,8.2138,14.0877,18.725,13.7023,18.1872
Phenanthrene,16.2137,12.6224,9.7595,16.8405,21.266,16.7176,20.4275
Anthracene,16.3026,12.6817,9.8019,16.9252,21.3296,16.8023,20.4868
Fluoranthene,19.5847,15.0702,11.5171,19.9828,23.4005,19.8558,22.7186
Pyrene,20.3851,15.6631,11.9533,20.7197,23.8621,20.7832,23.248
Benz[a]anthracene,23.608,18.0178,13.6091,23.7477,25.6365,23.951,25.2258
Chrysene,23.8409,18.1914,13.7404,23.9595,25.7636,24.1416,25.3613
Benzo[b]fluoranthene,26.4793,20.1183,15.1465,26.4285,27.1823,26.1829,26.8689
Benzo[k]fluoranthene,26.5386,20.1522,15.1761,26.4835,27.2077,26.2294,26.9028
Benzo[a]pyrene,27.5084,20.8806,15.8029,27.3898,27.7413,26.924,27.4534
"Indeno[1,2,3-cd]pyrene",29.9478,22.9473,17.6832,29.6217,29.249,28.6476,28.9864
"Dibenzo[a,h]anthracene",29.8927,22.8711,17.607,29.592,29.1982,28.601,28.9356
Benzo[ghi]perylene,30.8032,23.7435,18.4455,30.2908,29.8377,29.2532,29.5751
