Name,A,B,C,Tchar,thetachar,DeltaCp
Ethyl butyrate,-68.8174,7420.2,9.0267,69.57323415608215,27.14853214873012,75.05249715000001
D-Limonene,-60.4796,7796.4,7.7145,117.34474079202221,31.874671257068716,64.14221025
Eucalyptol,-68.2129,8165.7,8.8576,118.44314464620555,32.64660941186664,73.64651520000001
Benzoic acid,-105.154,11092.0,13.8959,136.16981169598375,31.002699888961093,115.53746055
Geraniol,-86.5375,10383.0,11.1781,152.57283439988169,32.224857368762656,92.94031245000001
Cinnamic aldehyde,-74.9637,9544.0,9.621,158.56463948849233,34.575354383447454,79.99380450000001
Hydroxycitronellal,-86.0447,10470.0,11.0897,157.76845374933055,32.62744069088926,92.20531065000002
Thymol,-104.4491,11567.0,13.7069,158.32882494135373,32.935040766849326,113.96602005
Cinnamyl alcohol,-80.8089,10096.0,10.3939,162.71368163798422,34.13370318475907,86.42008155
Vanillin,-85.1955,10665.0,10.9715,177.22693104652922,35.438571568677204,91.22253675000002
Cinnamyl acetate,-87.0583,11113.0,11.1349,181.62126888150925,34.18931786612289,92.58112605000001
Benzyl salicylate,-91.9069,12735.0,11.6265,237.8696888147212,38.4391169659487,96.66853425000001
"2,3-Butanediol",-151.6313,11425.0,21.1835,64.89037504295038,26.798319276338397,176.13021075
C10g,-68.2384,8284.1,8.7613,109.32006537077581,29.65304230090801,72.84582885
1-Octanol,-95.3708,10075.0,12.6077,121.66841281264288,30.581518154984092,104.82672165000001
C11g,-73.7645,9040.1,9.4613,126.89057510049298,30.452234031686462,78.66597885
Nonanal,-81.0839,9404.2,10.5383,128.2440779670244,31.138640746096424,87.62069535
"2,6-Dimethylphenol",-84.3535,9445.9,11.0772,130.35351167793925,32.71868640495032,92.1013794
2-Ethylhexanoic acid,-130.8548,12421.0,17.5805,127.12291889275429,29.75823766494063,146.17306725000003
"2,6-Xylidine",-75.5619,9128.7,9.8029,142.12654182975797,34.096859819430726,81.50621205
C10 FAME,-90.2938,10984.0,11.6153,161.92277270144842,31.917771239953876,96.57541185000001
Dicyclohexylamine,-86.3265,10716.0,11.1558,181.13591463065927,36.539106169973415,92.7548991
C11 FAME,-94.0772,11639.0,12.0653,176.0591820612293,32.44634391918732,100.31693685000002
C12 FAME,-98.8309,12348.0,12.6542,189.36219581823866,32.93431407039847,105.21334590000001
C8,-78.3546,7885.5,10.4266,69.34365990783908,27.188113124788952,86.69196570000001
C9,-40.7502,6439.8,4.8422,90.15177819864215,28.19886647229171,40.260471900000006
C10,-46.8867,7200.1,5.6461,109.10215298560496,28.98067997297403,46.94449845
C11,-55.8759,8115.5,6.8599,126.6189261084653,29.743434222198562,57.03663855
C12,-69.7305,9296.4,8.7734,142.99621131174257,30.675983261707113,72.9464343
C13,-69.688,9718.3,8.6837,158.3188859218697,31.175370914787944,72.20062365000001
C14,-76.1154,10493.0,9.5251,172.72877844375182,31.829836175113577,79.19644395
C15,-80.2163,11148.0,10.0277,186.17533418127425,32.24992505351687,83.37531165
C16,-90.4369,12166.0,11.3994,198.94619554634227,32.851137479906185,94.78031130000001
C17,-91.9692,12647.0,11.5439,211.0118148798661,33.21287922348587,95.98175655000001
C18,-99.292,13500.0,12.5001,222.41582400826633,33.617082910114405,103.93208145000001
C19,-104.4553,14202.0,13.1575,233.3968731793886,34.043519492224235,109.39803375000001
C20,-112.5298,15103.0,14.2184,243.8044185777701,34.470655932634926,118.21888680000002
C21,-119.3704,15924.0,15.106,253.73805852050498,34.854612274806776,125.598837
C22,-122.9751,16528.0,15.5424,263.1933354569204,35.11552413606549,129.2272848
C23,-129.3688,17320.0,16.3667,272.29702611242226,35.448398431394516,136.08092715000004
C24,-134.4363,18023.0,17.0059,280.98567395349073,35.70777997063064,141.39555555
C25,-139.7793,18746.0,17.6829,289.3679974078425,35.961436666029215,147.02447205
C26,-144.5641,19423.0,18.2843,297.40661561804336,36.20766531099115,152.02481235000002
C27,-149.1632,20089.0,18.8593,305.159535486379,36.42171447207485,156.80564985
C28,-152.3337,20653.0,19.2369,312.54939113952776,36.54861083434872,159.94520505
C29,-166.5954,22017.0,21.1392,319.4499866037721,37.00506439819624,175.7618784
C30,-171.5317,22684.0,21.7697,327.3274830021942,37.51365588205139,181.00417065000002
