Name,CAS,Cnumber,Hnumber,Onumber,Nnumber,Ringnumber,Molmass,Phase,Tchar,thetachar,DeltaCp,phi0,Annotation
Ethyl butyrate,105-54-4,6,12,2,0,0,116.16,Rxi5MS,69.57323415608220,27.14853214873010,75.05249715000000,1E-03,Gaida.2021
D-Limonene,5989-27-5,10,16,0,0,1,136.24,Rxi5MS,117.34474079202200,31.874671257068700,64.14221025,1E-03,Gaida.2021
Eucalyptol,470-82-6,10,18,1,0,2,154.25,Rxi5MS,118.44314464620600,32.64660941186660,73.64651520000000,1E-03,Gaida.2021
Benzoic acid,65-85-0,7,6,2,0,1,122.12,Rxi5MS,136.16981169598400,31.002699888961100,115.53746055,1E-03,Gaida.2021
Geraniol,106-24-1,10,18,1,0,0,154.25,Rxi5MS,152.57283439988200,32.224857368762700,92.94031245000000,1E-03,Gaida.2021
trans Cinnamic aldehyde,14371-10-9,9,8,1,0,1,132.16,Rxi5MS,158.56463948849200,34.575354383447500,79.99380450000000,1E-03,Gaida.2021
Hydroxycitronellal,107-75-5,10,20,2,0,0,172.27,Rxi5MS,157.76845374933100,32.62744069088930,92.20531065000000,1E-03,Gaida.2021
Thymol,89-83-8,10,14,1,0,1,150.22,Rxi5MS,158.32882494135400,32.935040766849300,113.96602005,1E-03,Gaida.2021
Cinnamyl alcohol,104-54-1,9,10,1,0,1,134.18,Rxi5MS,162.71368163798400,34.13370318475910,86.42008155,1E-03,Gaida.2021
Vanillin,121-33-5,8,8,3,0,1,152.14,Rxi5MS,177.22693104652900,35.438571568677200,91.22253675000000,1E-03,Gaida.2021
Cinnamyl acetate,103-54-8,11,12,2,0,1,176.22,Rxi5MS,181.62126888150900,34.18931786612290,92.58112605000000,1E-03,Gaida.2021
Benzyl salicylate,118-58-1,14,12,3,0,2,228.25,Rxi5MS,237.8696888147210,38.4391169659487,96.66853425000000,1E-03,Gaida.2021
"2,3-Butanediol",513-85-9,4,10,2,0,0,90.12,Rxi5MS,64.89037504295040,26.798319276338400,176.13021075,1E-03,Gaida.2021
C10g,124-18-5,10,22,0,0,0,142.28,Rxi5MS,109.32006537077600,29.65304230090800,72.84582885,1E-03,Gaida.2021
