Name,CAS,Cnumber,Hnumber,Onumber,Nnumber,Ringnumber,Molmass,Phase,Tchar,thetachar,DeltaCp,phi0,Annotation
C8,111-65-9,8,18,0,0,0,114.2,Rxi17SilMS,45.50814,24.90556,149.92042,1E-03,Masterthesis.Marquart.2020
C9,111-84-2,9,20,0,0,0,128.26,Rxi17SilMS,65.78109,26.94611,94.7473,1E-03,Masterthesis.Marquart.2020
C10,124-18-5,10,22,0,0,0,142.28,Rxi17SilMS,85.07082,27.70966,85.40681,1E-03,Masterthesis.Marquart.2020
C11,1120-21-4,11,24,0,0,0,156.31,Rxi17SilMS,102.86408,28.28014,86.37212,1E-03,Masterthesis.Marquart.2020
C12,112-40-3,12,26,0,0,0,170.34,Rxi17SilMS,119.42052,28.85848,91.17925,1E-03,Masterthesis.Marquart.2020
C13,629-50-5,13,28,0,0,0,184.37,Rxi17SilMS,134.92186,29.31155,91.16982,1E-03,Masterthesis.Marquart.2020
C14,629-59-4,14,30,0,0,0,198.39,Rxi17SilMS,149.61082,30.27018,117.07609,1E-03,Masterthesis.Marquart.2020
C15,629-62-9,15,32,0,0,0,212.42,Rxi17SilMS,163.31641,30.46362,110.07079,1E-03,Masterthesis.Marquart.2020
C16,544-76-3,16,34,0,0,0,226.45,Rxi17SilMS,176.24635,30.63485,102.94024,1E-03,Masterthesis.Marquart.2020
C17,629-78-7,17,36,0,0,0,240.47,Rxi17SilMS,188.54479,31.06858,110.14145,1E-03,Masterthesis.Marquart.2020
C18,593-45-3,18,38,0,0,0,254.5,Rxi17SilMS,200.23004,31.41543,114.41008,1E-03,Masterthesis.Marquart.2020
C19,629-92-5,19,40,0,0,0,268.53,Rxi17SilMS,211.30952,31.61836,112.71429,1E-03,Masterthesis.Marquart.2020
C20,112-95-8,20,42,0,0,0,282.55,Rxi17SilMS,221.86470,31.82072,113.51519,1E-03,Masterthesis.Marquart.2020
C21,629-94-7,21,44,0,0,0,296.58,Rxi17SilMS,231.93317,31.96744,111.33578,1E-03,Masterthesis.Marquart.2020
C22,629-97-0,22,46,0,0,0,310.61,Rxi17SilMS,241.55866,32.12619,113.3873,1E-03,Masterthesis.Marquart.2020
C23,638-67-5,23,48,0,0,0,324.63,Rxi17SilMS,250.79291,32.2549,112.42604,1E-03,Masterthesis.Marquart.2020
C24,646-31-1,24,50,0,0,0,338.66,Rxi17SilMS,259.65720,32.40239,113.41122,1E-03,Masterthesis.Marquart.2020
C25,629-99-2,25,52,0,0,0,352.69,Rxi17SilMS,268.17167,32.55473,115.42416,1E-03,Masterthesis.Marquart.2020
C26,630-01-3,26,54,0,0,0,366.71,Rxi17SilMS,276.32958,32.60897,113.86802,1E-03,Masterthesis.Marquart.2020
