Name,A,B,C,Tchar,thetachar,DeltaCp,phi0
C13:0,57.08,-0.001,-9.534,137.72845404948083,27.13356473968855,369.60424158966566,0.0008019241042077164
C14:0,63.82,-0.01528,-10.61,144.69592546767922,27.44454120823013,360.65783958509166,0.0008019241042077164
C14:1,67.14,-0.01528,-11.12,151.37193405455332,28.65771878652372,356.417444585086,0.0008019241042077164
C15:0,70.84,-0.01528,-11.73,151.61757164142136,27.59992251288152,351.345599586753,0.0008019241042077164
C15:1,73.98,-0.01528,-12.21,158.14230426051762,28.75652501531389,347.3546395861496,0.0008019241042077164
C16:0,77.24,-0.01528,-12.74,159.3895323777333,28.152140835338702,342.9479513850156,0.0008019241042077164
C16:1,78.54,-0.01528,-12.92,165.34985559743012,29.67877167055921,341.45134528483055,0.0008019241042077164
C17:0,84.17,-0.01528,-13.85,164.5843916059207,27.700297821567123,333.7188592985312,0.0008019241042077164
C17:1,84.4,-0.01528,-13.85,171.17687150290345,29.676116019129815,333.7188595994612,0.0008019241042077164
C18:0,90.51,-0.01528,-14.85,171.55143601449822,27.92276711452237,325.404359594163,0.0008019241042077164
trans-C18:1n9,89.99,-0.01528,-14.74,175.88250440365795,29.377289675109473,326.3189545952306,0.0008019241042077164
cis-C18:1n9c,89.98,-0.01528,-14.74,175.58916948450656,29.28979070036439,326.31895459947646,0.0008019241042077164
trans-C18:2n6,93.1,-0.01528,-15.22,181.10284702786163,30.00679734111369,322.3279945945895,0.0008019241042077164
cis-C18:2n6,93.71,-0.01528,-15.31,182.88821867003378,30.36753532993576,321.57968958797665,0.0008019241042077164
C18:3n6,95.23,-0.01528,-15.53,188.20524920035672,31.559731417091506,319.7504995929951,0.0008019241042077164
C18:3n3,97.29,-0.01528,-15.85,191.24834751774796,31.82840909246825,317.0898595959004,0.0008019241042077164
C20:0,103.2,-0.01528,-16.85,184.58811812657257,27.982711048098658,308.77535959165,0.0008019241042077164
C20:1n9,101.8,-0.01528,-16.61,186.6039890959716,28.94568753625107,310.7708395865576,0.0008019241042077164
C20:2,104.8,-0.01528,-17.06,193.61689086265017,30.049768588228865,307.0293145623412,0.0008019241042077164
C20:3n6,105.7,-0.01528,-17.17,200.51774539152024,31.834996592933027,306.1147195892542,0.0008019241042077164
C20:3n3,105.5,-0.01528,-17.13,202.01001808268177,32.37560424635787,306.44729924549006,0.0008019241042077164
C20:4n6,108.4,-0.01528,-17.6,202.10680125754794,31.399124563822603,302.53948457873787,0.0008019241042077164
C20:5n3,109.4,-0.01528,-17.72,210.53745317490723,33.68778917109874,301.5417445887412,0.0008019241042077164
C21:0,109.6,-0.01528,-17.87,188.64263730460868,27.311743734839936,300.29456958979245,0.0008019241042077164
C22:0,115.5,-0.01528,-18.8,193.78606471892266,27.062292214187853,292.56208457830166,0.0008019241042077164
C22:1n9,113.1,-0.01528,-18.39,197.16062784772936,28.559327444923643,295.97102952238527,0.0008019241042077164
C22:2,116.0,-0.01528,-18.84,200.86043100521704,28.707958666995452,292.22950459775006,0.0008019241042077164
C22:6n3,120.5,-0.01528,-19.45,223.43907422697544,33.61535358078481,287.15765961696326,0.0008019241042077164
C23:0,121.5,-0.01528,-19.75,197.9914562739708,26.564082135385355,284.663309501266,0.0008019241042077164
C24:0,128.0,-0.01528,-20.78,202.07930422013044,25.941922644023414,276.0993745808351,0.0008019241042077164
C24:1,124.9,-0.01528,-20.25,206.61924408849006,27.73009409663556,280.5060595835807,0.0008019241042077164
