Name,A,B,C,Tchar,thetachar,DeltaCp,phi0
C13:0,57.42,-0.001,-9.585,137.9576746864584,22.853341198528042,582.5111920950161,0.0008019241042077731
C14:0,63.69,-0.01528,-10.58,144.32135277451238,23.663724980488443,574.2382645978563,0.0008019241042077731
C14:1,69.02,-0.01528,-11.42,150.47640288491618,24.597934774670946,567.2540714326619,0.0008019241042077731
C15:0,70.1,-0.01528,-11.61,148.81025676535705,23.773178972423082,565.6743287621189,0.0008019241042077731
C15:1,75.45,-0.01528,-12.44,156.78007199526172,25.306073789180314,558.7732945996978,0.0008019241042077731
C16:0,76.5,-0.01528,-12.62,155.74939558341958,24.689789736512555,557.2766846137183,0.0008019241042077731
C16:1,80.48,-0.01528,-13.24,161.23954861356617,25.66576306603696,552.1216945899503,0.0008019241042077731
C17:0,82.91,-0.01528,-13.64,161.2501633712019,25.07674665095294,548.795888506172,0.0008019241042077731
C17:1,86.59,-0.01528,-14.21,166.73151674182657,26.098780199169084,544.0566274541968,0.0008019241042077731
C18:0,88.98,-0.01528,-14.61,165.60282069044302,25.120142874254043,540.7308263382057,0.0008019241042077731
trans-C18:1n9,91.18,-0.01528,-14.94,170.4955670468721,26.272492296825053,537.9870445694571,0.0008019241042077731
cis-C18:1n9c,91.74,-0.01528,-15.02,172.41260618294916,26.816455966134956,537.3218845739696,0.0008019241042077731
trans-C18:2n6,95.63,-0.01528,-15.64,175.2670510268618,26.82220650356674,532.166904177617,0.0008019241042077731
cis-C18:2n6,96.69,-0.01528,-15.79,179.19746547510255,27.98014203516703,530.9197195880486,0.0008019241042077731
C18:3n6,99.62,-0.01528,-16.24,184.21635199286737,29.060127998233774,527.1781945978483,0.0008019241042077731
C18:3n3,101.9,-0.01528,-16.59,188.18572186466184,29.941960110687884,524.2681195638337,0.0008019241042077731
C20:0,100.7,-0.01528,-16.47,175.32454968953715,25.571914755607654,525.2658681416024,0.0008019241042077731
C20:1n9,102.9,-0.01528,-16.78,183.44022236921973,27.818557733905426,522.6883645779045,0.0008019241042077731
C20:2,107.2,-0.01528,-17.45,188.8879248442522,28.611959774183305,517.1176495950838,0.0008019241042077731
C20:3n6,109.5,-0.01528,-17.78,197.00715613655245,31.08374752012782,514.3738645982896,0.0008019241042077731
C20:3n3,110.3,-0.01528,-17.91,197.01027778783555,30.820104147184363,513.2929796021302,0.0008019241042077731
C20:4n6,117.3,-0.01528,-19.03,200.1879181935817,29.848271363216462,503.9807396069657,0.0008019241042077731
C20:5n3,114.6,-0.01528,-18.55,208.51795136351393,34.268749277109556,507.9717003448295,0.0008019241042077731
C21:0,106.4,-0.01528,-17.37,180.46039196626992,25.885183759814513,517.7828097194365,0.0008019241042077731
C22:0,112.1,-0.01528,-18.27,185.38968800598627,26.103662783399276,510.29975961016703,0.0008019241042077731
C22:1n9,113.3,-0.01528,-18.42,192.99463707585608,28.374627729825413,509.0525846012683,0.0008019241042077731
C22:2,111.7,-0.01528,-18.14,196.5499072782037,30.185501966589285,511.3806446833287,0.0008019241042077731
C22:6n3,124.9,-0.01528,-20.15,222.45907351175288,36.598785736491195,494.66850175339255,0.0008019241042077731
C23:0,117.5,-0.01528,-19.11,191.9203819958159,26.886428111263477,503.3155796088466,0.0008019241042077731
C24:0,122.8,-0.01528,-19.94,197.26253644411054,27.280253658000607,496.4145445228183,0.0008019241042077731
C24:1,123.3,-0.01528,-20.0,200.89359439286346,28.36156645527386,495.91567473814894,0.0008019241042077731
