Name,A,B,C
C13:0,5.708E+01,-1E-03,-9.534E+00
C14:0,6.382E+01,-1.528E-02,-1.061E+01
C14:1,6.714E+01,-1.528E-02,-1.112E+01
C15:0,7.084E+01,-1.528E-02,-1.173E+01
C15:1,7.398E+01,-1.528E-02,-1.221E+01
C16:0,7.724E+01,-1.528E-02,-1.274E+01
C16:1,7.854E+01,-1.528E-02,-1.292E+01
C17:0,8.417E+01,-1.528E-02,-1.385E+01
C17:1,8.44E+01,-1.528E-02,-1.385E+01
C18:0,9.051E+01,-1.528E-02,-1.485E+01
trans-C18:1n9,8.999E+01,-1.528E-02,-1.474E+01
cis-C18:1n9c,8.998E+01,-1.528E-02,-1.474E+01
trans-C18:2n6,9.31E+01,-1.528E-02,-1.522E+01
cis-C18:2n6,9.371E+01,-1.528E-02,-1.531E+01
C18:3n6,9.523E+01,-1.528E-02,-1.553E+01
C18:3n3,9.729E+01,-1.528E-02,-1.585E+01
C20:0,1.032E+02,-1.528E-02,-1.685E+01
C20:1n9,1.018E+02,-1.528E-02,-1.661E+01
C20:2,1.048E+02,-1.528E-02,-1.706E+01
C20:3n6,1.057E+02,-1.528E-02,-1.717E+01
C20:3n3,1.055E+02,-1.528E-02,-1.713E+01
C20:4n6,1.084E+02,-1.528E-02,-1.76E+01
C20:5n3,1.094E+02,-1.528E-02,-1.772E+01
C21:0,1.096E+02,-1.528E-02,-1.787E+01
C22:0,1.155E+02,-1.528E-02,-1.88E+01
C22:1n9,1.131E+02,-1.528E-02,-1.839E+01
C22:2,1.16E+02,-1.528E-02,-1.884E+01
C22:6n3,1.205E+02,-1.528E-02,-1.945E+01
C23:0,1.215E+02,-1.528E-02,-1.975E+01
C24:0,1.28E+02,-1.528E-02,-2.078E+01
C24:1,1.249E+02,-1.528E-02,-2.025E+01
