Name;CAS;homologous series
C5;109-66-0;alkanes
C6;110-54-3;alkanes
C7;142-82-5;alkanes
C8;111-65-9;alkanes
C9;111-84-2;alkanes
C10;124-18-5;alkanes
C11;1120-21-4;alkanes
C12;112-40-3;alkanes
C13;629-50-5;alkanes
C14;629-59-4;alkanes
C15;629-62-9;alkanes
C16;544-76-3;alkanes
C17;629-78-7;alkanes
C18;593-45-3;alkanes
C19;629-92-5;alkanes
C20;112-95-8;alkanes
C21;629-94-7;alkanes
C22;629-97-0;alkanes
C23;638-67-5;alkanes
C24;646-31-1;alkanes
C25;629-99-2;alkanes
C26;630-01-3;alkanes
C27;593-49-7;alkanes
C28;630-02-4;alkanes
C29;630-03-5;alkanes
C30;638-68-6;alkanes
C31;630-04-6;alkanes
C32;544-85-4;alkanes
C33;630-05-7;alkanes
C34;14167-59-0;alkanes
C35;630-07-9;alkanes
C36;630-06-8;alkanes
C37;7194-84-5;alkanes
C38;7194-85-6;alkanes
C39;7194-86-7;alkanes
C40;4181-95-7;alkanes
Methanol;67-56-1;alcohols
Ethanol;64-17-5;alcohols
1-Propanol;71-23-8;alcohols
1-Butanol;71-36-3;alcohols
1-Pentanol;71-41-0;alcohols
1-Hexanol;111-27-3;alcohols
1-Heptanol;111-70-6;alcohols
1-Octanol;111-87-5;alcohols
1-Nonanol;143-08-8;alcohols
1-Decanol;112-30-1;alcohols
1-Undecanol;112-42-5;alcohols
1-Dodecanol;112-53-8;alcohols
1-Tridecanol;112-70-9;alcohols
1-Tetradecanol;112-72-1;alcohols
1-Pentadecanol;629-76-5;alcohols
Methyl butanoate;623-42-7;FAMEs
Methyl pentanoate;624-24-8;FAMEs
Methyl hexanoate;106-70-7;FAMEs
Methyl heptanoate;106-73-0;FAMEs
Methyl octanoate;111-11-5;FAMEs
Methyl nonanoate;1731-84-6;FAMEs
Methyl decanoate;110-42-9;FAMEs
Methyl undecanoate;1731-86-8;FAMEs
Methyl dodecanoate;111-82-0;FAMEs
Methyl tridecanoate;1731-88-0;FAMEs
Methyl tetradecanoate;124-10-7;FAMEs
Methyl pentadecanoate;7132-64-1;FAMEs
Methyl hexadecanoate;112-39-0;FAMEs
Methyl heptadecanoate;1731-92-6;FAMEs
Methyl octadecanoate;112-61-8;FAMEs
Methyl nonadecanoate;1731-94-8;FAMEs
Methyl eicosanoate;1120-28-1;FAMEs
Methyl heneicosanoate;6064-90-0;FAMEs
Methyl docosanoate;929-77-1;FAMEs
Methyl tricosanoate;2433-97-8;FAMEs
2-Pentanone;107-87-9;alkanones
2-Hexanone;591-78-6;alkanones
2-Heptanone;110-43-0;alkanones
2-Octanone;111-13-7;alkanones
2-Nonanone;821-55-6;alkanones
2-Decanone;693-54-9;alkanones
2-Undecanone;112-12-9;alkanones
2-Dodecanone;6175-49-1;alkanones
2-Tridecanone;593-08-8;alkanones
2-Tetradecanone;2345-27-9;alkanones
2-Pentadecanone;2345-28-0;alkanones
2-Hexadecanone;18787-63-8;alkanones
Acetophenone;98-86-2;phenones
Propiophenone;93-55-0;phenones
Butyrophenone;495-40-9;phenones
Valerophenone;1009-14-9;phenones
Hexanophenone;942-92-7;phenones
Heptanophenone;1671-75-6;phenones
Octanophenone;1674-37-9;phenones
Propyl acetate;109-60-4;carboxylate esters
Butyl acetate;123-86-4;carboxylate esters
Pentyl acetate;628-63-7;carboxylate esters
Hexyl acetate;142-92-7;carboxylate esters
Heptyl acetate;112-06-1;carboxylate esters
Octyl acetate;112-14-1;carboxylate esters
Nonyl acetate;143-13-5;carboxylate esters
Decyl acetate;112-17-4;carboxylate esters
Aniline;62-53-3;anilines
4-Ethylaniline;589-16-2;anilines
4-Butylaniline;104-13-2;anilines
4-Hexylaniline;33228-45-4;anilines
4-Octylaniline;16245-79-7;anilines
4-Decylaniline;37529-30-9;anilines
4-Dodecylaniline;104-42-7;anilines
