shortname,name
C1,methane
C2,ethane
C3,propane
C4,n-butane
C5,n-pentane
C6,n-hexane
C7,n-heptane
C8,n-octane
C9,n-nonane
C10,n-decane
C10g,n-decane
C11,n-undecane
C11g,n-undecane
C12,n-dodecane
C13,n-tridecane
C14,n-tetradecane
C15,n-pentadecane
C16,n-hexadecane
C17,n-heptadecane
C18,n-octadecane
C19,n-nonadecane
C20,n-icosane
C21,n-henicosane
C22,n-docosane
C23,n-tricosane
C24,n-tetracosane
C24*,n-tetracosane
C25,n-pentacosane
C25*,n-pentacosane
C26,n-hexacosane
C26*,n-hexacosane
C27,n-heptacosane
C27*,n-heptacosane
C28,n-octacosane
C28*,n-octacosane
C29,n-nonacosane
C29*,n-nonacosane
C30,n-triacontane
C30*,n-triacontane
C31,n-hentriacontane
C32,n-dotriacontane
C33,n-tritriacontane
C34,n-tetratriacontane
C35,n-pentatriacontane
C36,n-hexatriacontane
C37,n-heptatriacontane
C38,n-octatriacontane
C39,n-nonatriacontane
C40,n-tetracontane
C41,n-hentetracontane
C42,n-dotetracontane
C43,n-tritetracontane
C44,n-tetratetracontane
C45,n-pentatetracontane
C46,n-hexatetracontane
C47,n-heptatetracontane
C48,n-octatetracontane
C49,n-nonatetracontane
C50,n-pentacontane
C51,n-henpentacontane
C52,n-dopentacontane
C53,n-tripentacontane
C54,n-tetrapentacontane
C55,n-pentapentacontane
C56,n-hexapentacontane
C57,n-heptapentacontane
C58,n-octapentacontane
C59,n-nonapentacontane
C60,n-hexacontane
C61,n-henhexacontane
C62,n-dohexacontane
C63,n-trihexacontane
C64,n-tetrahexacontane
C65,n-pentahexacontane
C66,n-hexahexacontane
C67,n-heptahexacontane
C68,n-octahexacontane
C69,n-nonahexacontane
C70,n-heptacontane
C71,n-henheptacontane
C72,n-doheptacontane
C73,n-triheptacontane
C74,n-tetraheptacontane
C75,n-pentaheptacontane
C76,n-hexaheptacontane
C77,n-heptaheptacontane
C78,n-octaheptacontane
C79,n-nonaheptacontane
C80,n-octacontane
C10 FAME, Methyl decanoate
C10 acid methyl ester, Methyl decanoate
C11 FAME, Methyl undecanoate
C11 acid methyl ester, Methyl undecanoate
C12 FAME, Methyl laurate
C12 acid methyl ester, Methyl laurate
